,MLLT10 (8028)
ACH-000004,0.10908789390799999
ACH-000007,0.11850796823899999
ACH-000009,0.459458463512
ACH-000011,0.511315694197
ACH-000012,0.454414126465
ACH-000013,0.0923126572218
ACH-000014,-0.019703868007099997
ACH-000015,0.209060870198
ACH-000017,0.248320221599
ACH-000018,0.155457757699
ACH-000019,0.00197109458279
ACH-000021,0.07206056627469999
ACH-000022,0.260067629078
ACH-000025,0.183126288858
ACH-000028,0.226565305746
ACH-000030,0.14595529475400001
ACH-000035,0.33984902123000005
ACH-000036,0.106581867513
ACH-000037,0.219442748241
ACH-000039,0.246970371651
ACH-000040,0.153310320665
ACH-000041,0.27391757876999995
ACH-000042,-0.025501328842599997
ACH-000045,0.235023321998
ACH-000047,0.41072488858999995
ACH-000052,0.122807547419
ACH-000053,0.277503574851
ACH-000054,0.17885305552499997
ACH-000055,0.247269576053
ACH-000060,-0.129972415859
ACH-000067,0.434244597566
ACH-000070,0.09826736341129999
ACH-000075,0.0829529962131
ACH-000078,0.30501430276700003
ACH-000082,0.207166748386
ACH-000085,0.054642493080699996
ACH-000086,0.145597525422
ACH-000087,-0.11873998393200001
ACH-000092,0.0126045337742
ACH-000095,0.0293140242806
ACH-000097,0.0846261989673
ACH-000098,-0.0117819426587
ACH-000099,0.162877277279
ACH-000108,0.48591176739799996
ACH-000113,-0.190124624292
ACH-000115,-0.042282720147099995
ACH-000116,0.09617329793130001
ACH-000118,-0.00264055824578
ACH-000120,0.0350847580293
ACH-000123,-0.128366940699
ACH-000127,0.19253651037500003
ACH-000128,0.145521864037
ACH-000132,0.0629154365748
ACH-000133,0.213293442232
ACH-000137,0.250889921609
ACH-000138,0.40062635689599996
ACH-000142,0.27897517238499997
ACH-000143,-0.5333356866910001
ACH-000146,0.370153601409
ACH-000148,0.155303684462
ACH-000150,0.145703670631
ACH-000152,0.281704206728
ACH-000153,0.260389202235
ACH-000159,0.0463161590274
ACH-000160,0.60207709203
ACH-000163,0.081888623429
ACH-000167,0.832913131129
ACH-000168,0.223279235262
ACH-000169,0.221490182938
ACH-000178,-0.033791413028799996
ACH-000182,0.23734240939399998
ACH-000183,-0.0503602460896
ACH-000188,0.166717255832
ACH-000189,0.275032496602
ACH-000190,0.485193812845
ACH-000198,-0.303428124348
ACH-000204,0.07712728278239998
ACH-000206,0.260330892486
ACH-000207,0.169938838803
ACH-000211,0.160962750264
ACH-000215,0.195641291866
ACH-000221,0.22874536080400001
