,ITM2C (81618)
ACH-000004,-0.167571160414
ACH-000007,-0.0787725467078
ACH-000009,-0.23322452890700002
ACH-000011,0.0502809716083
ACH-000012,-0.285319408001
ACH-000013,0.00292377174446
ACH-000014,-0.174436635189
ACH-000015,-0.17322663780499997
ACH-000017,-0.09976941053610001
ACH-000018,-0.323732293504
ACH-000019,-0.08686407010460001
ACH-000021,-0.069781221603
ACH-000022,-0.198424635216
ACH-000025,0.0424153823898
ACH-000028,-0.208588680386
ACH-000030,-0.16940637377099999
ACH-000035,-0.104137374901
ACH-000036,-0.195540685368
ACH-000037,-0.385727696238
ACH-000039,-0.115223144417
ACH-000040,-0.278528666363
ACH-000041,-0.0737871024833
ACH-000042,-0.257418559905
ACH-000045,-0.0887803266296
ACH-000047,-0.0015508684844800001
ACH-000052,-0.17065411462400001
ACH-000053,-0.185002784009
ACH-000054,-0.0289199306788
ACH-000055,0.0648397230255
ACH-000060,-0.11345283075099999
ACH-000067,-0.16841703110300002
ACH-000070,-6.77441859529e-05
ACH-000075,-0.303442787285
ACH-000078,-0.27085003563099996
ACH-000082,-0.040215564178
ACH-000085,-0.192519595073
ACH-000086,-0.106483957709
ACH-000087,-0.11958551627599999
ACH-000092,-0.0169446562034
ACH-000095,-0.08966235612739999
ACH-000097,-0.125220383233
ACH-000098,-0.105209981074
ACH-000099,-0.14040658724400001
ACH-000108,-0.290919623652
ACH-000113,0.00487774422853
ACH-000115,0.10076364716700001
ACH-000116,-0.0661754249127
ACH-000118,-0.0556447952883
ACH-000120,-0.134053837874
ACH-000123,-0.0299074444657
ACH-000127,-0.166878238541
ACH-000128,-0.23597824386100003
ACH-000132,0.019472893437400003
ACH-000133,-0.00430501676072
ACH-000137,-0.0541475871156
ACH-000138,-0.137085895581
ACH-000142,-0.106276131342
ACH-000143,-0.12238692572899999
ACH-000146,-0.11612843086300001
ACH-000148,-0.03385111599
ACH-000150,-0.218084955072
ACH-000152,-0.18821534424699998
ACH-000153,-0.0236438691817
ACH-000159,-0.150266769562
ACH-000160,-0.0862348592591
ACH-000163,-0.22656464387699998
ACH-000167,-0.41431596147
ACH-000168,-0.38142439280999996
ACH-000169,-0.033406851880099994
ACH-000178,-0.17669814872
ACH-000182,-0.0862775082342
ACH-000183,-0.148258800238
ACH-000188,-0.0772783405348
ACH-000189,-0.38746311614100004
ACH-000190,-0.254129101357
ACH-000198,-0.21588634127099998
ACH-000204,-0.0829303450625
ACH-000206,-0.0500287423111
ACH-000207,-0.13716687138800002
ACH-000211,-0.17255018926100002
ACH-000215,-0.182039463137
ACH-000221,0.0233709009779
ACH-000222,-0.35855288934199997
ACH-000223,-0.184267913846
ACH-000226,-0.048706202586
ACH-000227,-0.0380436848206
ACH-000228,-0.0142692404818
ACH-000231,-0.176914024089
ACH-000232,-0.179304439445
ACH-000233,-0.293791756627
ACH-000234,-0.133705261489
ACH-000235,-0.211441268165
ACH-000237,-0.14106092624299998
ACH-000238,-0.0781981441159
ACH-000243,-0.216042428906
ACH-000244,-0.261535461965
ACH-000246,-0.11217411993899999
ACH-000248,-0.0201467413852
ACH-000250,-0.210284286112
ACH-000251,-0.166028449785
ACH-000253,-0.158019220175
ACH-000255,-0.220502369821
ACH-000256,-0.0603944093304
ACH-000257,0.112229937457
ACH-000258,-0.309891413637
ACH-000259,-0.0355190277607
ACH-000260,-0.113875109986
ACH-000261,0.018003712774099997
ACH-000262,0.034942694608100004
ACH-000263,0.613070650739
ACH-000264,-0.030713123153900002
ACH-000265,-0.0713766062514
ACH-000266,-0.241893269896
ACH-000272,-0.167876351743
ACH-000273,-0.094370875991
ACH-000274,-0.0657018763619
ACH-000277,-0.0162223611578
ACH-000278,-0.0972032935815
ACH-000279,-0.042242189770300004
ACH-000280,-0.256662887558
ACH-000281,-0.0267855888721
ACH-000288,-0.143813960446
ACH-000291,-0.146857190137
ACH-000293,-0.07150535809139999
ACH-000294,-0.186049720861
ACH-000295,0.0467773704347
ACH-000296,0.0691958763067
ACH-000302,-0.120058544574
ACH-000304,-0.137728272334
ACH-000307,-0.186152832084
ACH-000308,-0.147968069492
ACH-000310,-0.147367220129
ACH-000311,-0.247494431819
ACH-000312,-0.260635703581
ACH-000315,-0.494242695018
ACH-000316,-0.106284599482
ACH-000317,-0.225999502373
ACH-000318,-0.054344365424100004
ACH-000319,0.00452923891746
ACH-000320,-0.336907501703
ACH-000322,-0.196969863968
ACH-000323,-0.148638123476
ACH-000324,-0.285486949793
ACH-000329,-0.310884754384
ACH-000330,-0.0556693219922
ACH-000331,-0.122763231082
ACH-000332,-0.21710967411600002
ACH-000334,0.05806499624969999
ACH-000335,-0.21732306189199999
ACH-000336,-0.16876518998
ACH-000337,-0.336155599811
ACH-000339,-0.184615541393
ACH-000341,-0.148285345486
