,OSCP1 (127700)
ACH-000004,-0.11115988885500001
ACH-000007,-0.0430260237201
ACH-000009,-0.106848395986
ACH-000011,0.038967359431
ACH-000012,-0.0924841254417
ACH-000013,-0.223401899556
ACH-000014,-0.306570696978
ACH-000015,-0.10684604330900001
ACH-000017,-0.24462533297400002
ACH-000018,-0.230307925182
ACH-000019,-0.148241840368
ACH-000021,-0.102473383629
ACH-000022,-0.0901762349678
ACH-000025,-0.0047128840193999995
ACH-000028,-0.31423341875300004
ACH-000030,0.0183628338731
ACH-000035,-0.150932865572
ACH-000036,-0.14219750805
ACH-000037,-0.0149449331164
ACH-000039,0.0271846611477
ACH-000040,-0.09967090030379999
ACH-000041,-0.0680240196971
ACH-000042,-0.181103696243
ACH-000045,-0.207731373504
ACH-000047,-0.13065704502800002
ACH-000052,-0.140682995836
ACH-000053,-0.008724806924120001
ACH-000054,-0.110416927362
ACH-000055,-0.590202565056
ACH-000060,-0.247893197786
ACH-000067,-0.0107503243869
ACH-000070,-0.154565466749
ACH-000075,-0.303367916014
ACH-000078,0.00356940156334
ACH-000082,-0.103861438944
ACH-000085,-0.20821248564599998
ACH-000086,-0.166775824202
ACH-000087,0.183628726223
ACH-000092,-0.375579016826
ACH-000095,-0.20850047695
ACH-000097,-0.11528953023499999
ACH-000098,-0.225550496729
ACH-000099,-0.07664665245889998
ACH-000108,-0.303042173284
ACH-000113,-0.34195905572400004
ACH-000115,-0.05554810137
ACH-000116,-0.09218249294669999
ACH-000118,-0.19306659665399997
ACH-000120,-0.24621085389000003
ACH-000123,-0.158320830483
ACH-000127,-0.070319507475
ACH-000128,-0.17545941728599998
ACH-000132,-0.335043507467
ACH-000133,-0.276346131438
ACH-000137,-0.290272470715
ACH-000138,-0.102012820474
ACH-000142,-0.15606983686200002
ACH-000143,-0.229016052783
ACH-000146,-0.11013740126299999
ACH-000148,-0.194518415807
ACH-000150,-0.514338273169
ACH-000152,-0.100886429298
ACH-000153,0.149234368423
ACH-000159,-0.184060746492
ACH-000160,-0.12810860378
ACH-000163,-0.2967089812
ACH-000167,-0.13205752968599999
ACH-000168,-0.10832755491800002
ACH-000169,-0.35185700768100003
ACH-000178,-0.204027483541
ACH-000182,0.0009412531875610001
ACH-000183,-0.223915743675
ACH-000188,-0.415986112653
ACH-000189,-0.307484646796
ACH-000190,-0.322644688253
ACH-000198,-0.130808181675
ACH-000204,-0.186508039671
ACH-000206,-0.010830330255499999
ACH-000207,-0.0823187282385
ACH-000211,-0.006907049975149999
ACH-000215,-0.06876329887739999
ACH-000221,-0.32575318611299997
ACH-000222,-0.22642492892299998
ACH-000223,-0.119664720174
ACH-000226,0.0192936406347
