,NBL1 (4681)
ACH-000004,-0.162134541121
ACH-000007,-0.30537620238200003
ACH-000009,-0.122992809742
ACH-000011,-0.147816223307
ACH-000012,-0.28111542334899997
ACH-000013,-0.169996997641
ACH-000014,-0.205274513953
ACH-000015,-0.105595762993
ACH-000017,-0.33087372178
ACH-000018,-0.127121736305
ACH-000019,-0.0388686603809
ACH-000021,-0.0514765046232
ACH-000022,0.032729364189299996
ACH-000025,-0.16284294802000002
ACH-000028,-0.107725573191
ACH-000030,-0.157849327697
ACH-000035,-0.44222175957099996
ACH-000036,-0.13975743473899999
ACH-000037,-0.188137539474
ACH-000039,-0.435289339819
ACH-000040,-0.172764536969
ACH-000041,-0.303514094322
ACH-000042,-0.13523246282600002
ACH-000045,-0.260159455981
ACH-000047,-0.041771485
ACH-000052,-0.17589859859999998
ACH-000053,-0.332158755157
ACH-000054,-0.27792999847399996
ACH-000055,-0.328217817929
ACH-000060,-0.188858823744
ACH-000067,-0.287743482653
ACH-000070,-0.230628503786
ACH-000075,-0.108678708124
ACH-000078,-0.11828172910599999
ACH-000082,-0.158488087478
ACH-000085,-0.0407294966715
ACH-000086,-0.20921155701900002
ACH-000087,-0.020462019967400002
ACH-000092,-0.404181213891
ACH-000095,-0.102049816899
ACH-000097,-0.0334948668279
ACH-000098,-0.160815167472
ACH-000099,-0.244993592606
ACH-000108,-0.121608662173
ACH-000113,-0.266220659682
ACH-000115,-0.197048104547
ACH-000116,-0.194347527449
ACH-000118,-0.11523756077299999
ACH-000120,-0.225635166861
ACH-000123,-0.16878412592
ACH-000127,-0.24680408724
ACH-000128,-0.294849127097
ACH-000132,-0.14232299408
ACH-000133,-0.189389577355
ACH-000137,-0.181078071353
ACH-000138,-0.142016035905
ACH-000142,-0.50171930306
ACH-000143,-0.32821866388300003
ACH-000146,0.0292370091547
ACH-000148,-0.298148724538
ACH-000150,-0.485199328536
ACH-000152,-0.592112905665
ACH-000153,0.08467019160849999
ACH-000159,-0.300221798276
ACH-000160,-0.0557474202044
ACH-000163,-0.08753792505899999
ACH-000167,-0.276768589132
ACH-000168,-0.180611107572
ACH-000169,-0.0782450664365
ACH-000178,-0.07783743533189999
ACH-000182,0.0183486354171
ACH-000183,0.011524109229700001
ACH-000188,-0.313919093646
ACH-000189,-0.174025473721
ACH-000190,-0.530958982988
ACH-000198,-0.0317961350264
ACH-000204,-0.5193970980579999
ACH-000206,-0.0600323516206
ACH-000207,-0.108662679376
ACH-000211,-0.117177062446
ACH-000215,-0.088961558698
ACH-000221,-0.238219617024
ACH-000222,0.11527772479000001
ACH-000223,-0.10908046357699999
ACH-000226,-0.12486117932
ACH-000227,-0.122388712619
ACH-000228,0.119778521863
ACH-000231,-0.272756488167
ACH-000232,-0.27023956551899997
ACH-000233,-0.13489418414100002
ACH-000234,-0.26538407538000003
ACH-000235,-0.0951397427166
ACH-000237,-0.311398661011
ACH-000238,-0.331148768682
ACH-000243,-0.159850358732
ACH-000244,-0.184690784109
ACH-000246,-0.19051325790100002
ACH-000248,-0.37681523536899997
ACH-000250,-0.134460132234
ACH-000251,0.008715487552160001
ACH-000253,-0.305143608547
ACH-000255,-0.114878355993
ACH-000256,-0.141649808507
ACH-000257,-0.13076114202199998
ACH-000258,-0.302829772102
ACH-000259,-0.104027645429
ACH-000260,-0.13125262048699998
ACH-000261,-0.06599311624269999
ACH-000262,-0.0627775475869
ACH-000263,-0.33958321481
ACH-000264,-0.208724937429
ACH-000265,-0.0431482528156
ACH-000266,-0.18353922645399998
ACH-000272,-0.0854372517911
ACH-000273,-0.326681628263
ACH-000274,-0.379104853273
ACH-000277,-0.22741568547600002
ACH-000278,-0.08902661242969999
ACH-000279,-0.34868020551299994
ACH-000280,-0.0500438073233
ACH-000281,-0.2727626309
ACH-000288,-0.251172920306
ACH-000291,-0.181940973274
ACH-000293,-0.159868378615
ACH-000294,-0.0720663125412
ACH-000295,-0.14478182176100002
ACH-000296,-0.179481001395
ACH-000302,-0.202046506998
ACH-000304,-0.39351789220600003
ACH-000307,-0.09231787987460001
ACH-000308,-0.07387302051689999
ACH-000310,0.0826762531923
ACH-000311,-0.27390294109700003
ACH-000312,-0.195191566806
ACH-000315,-0.166817049792
ACH-000316,-0.228678260147
ACH-000317,-0.0664543909961
ACH-000318,-0.104245457524
ACH-000319,-0.34204231426799997
ACH-000320,-0.0693240314711
ACH-000322,-0.159684962789
ACH-000323,-0.16361547289
ACH-000324,-0.154965435498
ACH-000329,-0.34336876707099995
ACH-000330,-0.0652038608695
ACH-000331,-0.237125669012
ACH-000332,-0.10590382264
ACH-000334,-0.245196297945
ACH-000335,-0.006792677549899999
ACH-000336,-0.329367331432
ACH-000337,-0.150869328181
ACH-000339,-0.0699921437675
ACH-000341,-0.253756376921
ACH-000348,-0.213714483724
ACH-000350,0.00729263359381
ACH-000352,-0.151026273555
ACH-000356,-0.19060533486499998
ACH-000361,-0.44392561301100003
ACH-000362,-0.106238236155
ACH-000363,-0.215571979978
ACH-000364,-0.0304970783248
ACH-000365,-0.309980349444
ACH-000366,-0.229371328204
ACH-000368,-0.30115794954799996
ACH-000374,-0.09488361285210001
ACH-000375,-0.27529493203899996
ACH-000376,-0.24247136730500002
ACH-000381,-0.15133044132999998
ACH-000383,-0.137257191714
ACH-000387,-0.132667806384
ACH-000389,-0.16157154449799999
ACH-000390,-0.18509942184
ACH-000393,-0.13785674348899998
ACH-000395,-0.0259882318255
ACH-000397,-0.0976798393366
ACH-000401,-0.340006718851
ACH-000402,-0.167318850433
ACH-000403,-0.14603214840999998
ACH-000404,-0.0829240702207
ACH-000406,-0.220382424163
ACH-000407,-0.252290348128
ACH-000408,-0.255699789149
ACH-000410,-0.0702054075593
ACH-000411,-0.15959907363700002
ACH-000414,-0.08402248181780002
ACH-000415,-0.26162552370000003
ACH-000416,-0.288315589639
ACH-000420,-0.11513535065500001
ACH-000421,-0.009090188835780002
ACH-000424,-0.249340514425
ACH-000425,-0.219961594067
ACH-000426,-0.145120363135
ACH-000427,-0.0855559662588
ACH-000433,-0.270626271407
ACH-000436,-0.282967052966
ACH-000444,-0.0459511421144
ACH-000445,-0.183864250198
ACH-000448,-0.185181903967
ACH-000450,-0.18133503554900002
ACH-000452,-0.188797389659
ACH-000454,-0.27591955020799996
ACH-000458,-0.24939087969
ACH-000459,-0.299931433167
ACH-000460,-0.130711930004
ACH-000461,-0.180351406637
ACH-000463,-0.0874858686611
ACH-000464,-0.28773614927200003
ACH-000466,-0.110282258317
ACH-000467,-0.24644244084300002
ACH-000468,-0.116603449013
ACH-000469,-0.36447753150300005
ACH-000470,0.12712295540100002
ACH-000471,-0.100201357037
ACH-000472,-0.115364637586
ACH-000473,-0.261342310581
ACH-000475,-0.12420045835200001
ACH-000476,-0.238134481859
ACH-000477,-0.311169496328
ACH-000480,-0.133680128418
ACH-000481,-0.0283917251634
ACH-000483,-0.217839757023
ACH-000484,0.0985534692771
ACH-000485,-0.22381362019
ACH-000486,-0.222504781176
ACH-000487,-0.142606577402
ACH-000488,-0.19483951917700001
ACH-000490,-0.152166840103
ACH-000491,0.0865620809631
ACH-000495,-0.293985781686
ACH-000496,-0.219960950329
ACH-000499,-0.210490127786
ACH-000500,-0.443554706852
ACH-000502,-0.152414311847
ACH-000503,-0.197694033504
ACH-000505,-0.188200815
ACH-000507,-0.249954964908
ACH-000510,-0.19526292266399997
ACH-000511,-0.240664961428
ACH-000512,-0.5370502407559999
ACH-000516,-0.14386092362199998
ACH-000517,-0.06247339537280001
ACH-000518,0.00593285364014
ACH-000520,-0.293380314507
ACH-000521,-0.40294861894199996
ACH-000522,-0.310800808805
ACH-000524,-0.0611632037218
ACH-000527,-0.10766607552600001
ACH-000528,-0.08997990882120001
ACH-000537,-0.104483363468
ACH-000541,-0.0926589598699
ACH-000542,-0.035897836415199995
ACH-000544,-0.204152242009
ACH-000545,-0.20655563983199998
ACH-000547,-0.524925650865
ACH-000548,-0.267998702117
ACH-000549,-0.07962854653080001
ACH-000550,-0.22737977759300002
ACH-000552,-0.165053503913
ACH-000556,-0.10450375736600001
ACH-000557,-0.07555398341639999
ACH-000570,-0.132832546577
ACH-000571,-0.23826223472
ACH-000573,-0.14667142730799998
ACH-000576,-0.171070911026
ACH-000580,-0.190778530008
ACH-000584,-0.0306808636296
ACH-000585,-0.21811968707899998
ACH-000588,-0.14449828271600001
ACH-000589,-0.297913784793
ACH-000591,-0.299419596253
ACH-000593,-0.09008829821730001
ACH-000600,-0.23873725695300002
ACH-000601,-0.220092716757
ACH-000604,0.11360034180800001
ACH-000605,-0.249324883602
ACH-000606,-0.23611728183000003
ACH-000608,-0.08601879658299999
ACH-000614,-0.10833012173699999
ACH-000616,-0.100575475704
ACH-000618,-0.134711456417
ACH-000619,-0.14342878204
ACH-000620,-0.20808584392499999
ACH-000621,-0.03447094735740001
ACH-000622,-0.241709553713
ACH-000623,-0.267242314822
ACH-000624,-0.09370778948610001
ACH-000627,-0.40387829997100005
ACH-000630,-0.241429081521
ACH-000632,-0.441884899987
ACH-000633,-0.24531417674400002
ACH-000637,-0.148331612633
ACH-000638,-0.351568761548
ACH-000646,-0.0868471883605
ACH-000647,-0.0187508222335
ACH-000648,-0.09535066017269998
ACH-000649,-0.20712479600699998
ACH-000651,-0.179648800792
ACH-000652,-0.19715031358
ACH-000653,-0.0811100936907
ACH-000657,-0.13196541496
ACH-000658,-0.0026782410382199997
ACH-000661,-0.150556690574
ACH-000662,-0.44120275677000004
ACH-000663,-0.0189901688665
ACH-000665,0.00155663707838
ACH-000671,-0.250953447854
ACH-000673,-0.22027132598299998
ACH-000676,-0.0373744829945
ACH-000677,0.0414467858808
ACH-000681,-0.11679339840500001
ACH-000682,-0.377267234427
ACH-000683,-0.278820359178
ACH-000684,-0.184345089883
ACH-000688,0.12024392302100001
ACH-000693,-0.247983986514
ACH-000694,-0.044225958023699996
ACH-000695,-0.35584698495399997
ACH-000696,-0.186828377182
ACH-000697,-0.0780566787731
ACH-000699,-0.585839483808
ACH-000701,-0.09817662018829999
ACH-000706,-0.24228015091999996
ACH-000711,-0.130743562211
ACH-000713,-0.376211413351
ACH-000714,-0.223216835487
ACH-000718,-0.118963586199
ACH-000720,-0.265298999311
ACH-000721,-0.32245521977200003
ACH-000724,-0.0075195975124899995
ACH-000725,-0.296025889802
ACH-000732,-0.153694096059
ACH-000734,-0.20813819600400002
ACH-000735,-0.303422360402
ACH-000736,-0.260002367606
ACH-000738,-0.133099837565
ACH-000746,-0.21937472901000002
ACH-000747,-0.17829822190000003
ACH-000748,-0.12791217910900002
ACH-000753,-0.164932493141
ACH-000756,-0.0647982352782
ACH-000757,-0.315699186358
ACH-000758,-0.281068769282
ACH-000760,-0.290436233893
ACH-000763,-0.227589752466
ACH-000764,-0.145456420847
ACH-000765,-0.27917997850299997
ACH-000766,-0.20333129596400001
ACH-000767,-0.0931837295598
ACH-000768,0.0157554805836
ACH-000769,-0.09655832276630001
ACH-000770,-0.18052780947900002
ACH-000771,-0.0830781181012
ACH-000773,-0.27017660104400004
ACH-000776,-0.383342942364
ACH-000777,-0.267880463667
ACH-000778,-0.05119341373380001
ACH-000781,-0.07433345813999999
ACH-000782,-0.0786155089634
ACH-000783,-0.140178799237
ACH-000784,-0.234376594071
ACH-000785,-0.17181559085
ACH-000787,-0.08161875955789999
ACH-000788,-0.163805784689
ACH-000791,-0.150952625432
ACH-000792,-0.0763921498954
ACH-000794,-0.290286609146
ACH-000796,-0.0928128525317
ACH-000799,-0.07675869008439999
ACH-000800,-0.411587300235
ACH-000802,0.0178142496438
ACH-000804,0.0227979416942
ACH-000805,-0.277264063892
ACH-000809,-0.10763010841800001
ACH-000810,-0.21284275829799998
ACH-000811,-0.114973647751
ACH-000817,-0.425538991365
ACH-000819,-0.0275784735763
ACH-000820,0.0017503246293399998
ACH-000821,-0.108293996115
ACH-000822,-0.16463123863
ACH-000823,-0.196046544809
ACH-000824,-0.0736152744041
ACH-000827,-0.109929868898
ACH-000829,-0.38300973403000005
ACH-000831,-0.173597452733
ACH-000832,-0.0801320214386
ACH-000833,-0.393603995398
ACH-000834,-0.061984202052
ACH-000835,-0.200988035317
ACH-000836,-0.185512733132
ACH-000837,-0.186216261926
ACH-000838,-0.10288382162000001
ACH-000839,-0.38016606255400004
