,FCRLA (84824)
ACH-000004,0.252254028764
ACH-000007,0.278255522715
ACH-000009,0.19875434435800002
ACH-000011,0.38173464390699996
ACH-000012,0.123693539231
ACH-000013,0.22035148229600002
ACH-000014,0.18402201838399998
ACH-000015,0.271277051179
ACH-000017,0.218858189171
ACH-000018,0.135680820221
ACH-000019,0.19466921216
ACH-000021,0.157160448088
ACH-000022,0.177461645544
ACH-000025,0.0864453946208
ACH-000028,0.125171720627
ACH-000030,0.24764831414500002
ACH-000035,0.194712403307
ACH-000036,0.25850623048
ACH-000037,0.259862689285
ACH-000039,0.113037137156
ACH-000040,0.294544933372
ACH-000041,0.198904962062
ACH-000042,0.343010577681
ACH-000045,0.14955319185799998
ACH-000047,0.145464812616
ACH-000052,-0.15680329644899998
ACH-000053,0.0969491039274
ACH-000054,0.238200073085
ACH-000055,0.299993560227
ACH-000060,0.248231069164
ACH-000067,0.41550732278700003
ACH-000070,0.47727526723200003
ACH-000075,0.310610337643
ACH-000078,0.26359058623000003
ACH-000082,0.26319610730500004
ACH-000085,0.106650139867
ACH-000086,0.200076663854
ACH-000087,0.00598786619874
ACH-000092,0.246571245159
ACH-000095,0.202224282782
ACH-000097,0.16032440158
ACH-000098,0.0957945173801
ACH-000099,0.315978550181
ACH-000108,0.188205851657
ACH-000113,0.151802679306
ACH-000115,0.46720037500100003
ACH-000116,0.274886169427
ACH-000118,0.236297412966
ACH-000120,0.22329243490400003
ACH-000123,0.263146117248
ACH-000127,0.158642154105
ACH-000128,0.16485150113299998
ACH-000132,0.22343152651599998
ACH-000133,0.265483766807
ACH-000137,0.119014535845
ACH-000138,0.18955171055199999
ACH-000142,0.24868879381700001
ACH-000143,0.292875832638
ACH-000146,0.0815661928027
ACH-000148,0.234934453754
ACH-000150,0.259451363899
ACH-000152,0.241922759934
ACH-000153,0.148941731632
ACH-000159,0.27978989168699997
ACH-000160,0.21739929076099998
ACH-000163,0.17235572659200002
ACH-000167,0.215050801334
ACH-000168,0.165454438175
ACH-000169,0.262195936841
ACH-000178,0.16721996549499998
ACH-000182,0.212713654905
ACH-000183,0.031113602987599995
ACH-000188,0.380555491422
ACH-000189,0.269083644163
ACH-000190,0.0473789374544
ACH-000198,0.23605675503899998
ACH-000204,-0.07163878262000001
ACH-000206,0.225512221327
ACH-000207,0.08966184025450001
ACH-000211,0.223325030291
ACH-000215,0.22859187697900002
ACH-000221,0.21463640893599997
ACH-000222,0.49988896915299996
ACH-000223,0.215938973282
ACH-000226,0.126161826675
ACH-000227,0.40376312949500004
ACH-000228,0.042144679494000005
ACH-000231,0.268321848999
ACH-000232,0.15886186945699998
ACH-000233,0.256385763429
ACH-000234,0.260604428141
ACH-000235,0.25613632852699997
ACH-000237,0.210145937044
ACH-000238,0.362258752096
ACH-000243,0.25252580579
ACH-000244,0.30801092584
ACH-000246,0.192728129471
ACH-000248,0.100740772726
ACH-000250,0.230953263177
ACH-000251,0.23446947888099998
ACH-000253,0.305992299756
ACH-000255,0.217721073068
ACH-000256,0.0504542880956
ACH-000257,0.249584567896
ACH-000258,0.18130867083000002
ACH-000259,0.184149932894
ACH-000260,0.137074841014
ACH-000261,0.315400783118
ACH-000262,-0.0209353781456
ACH-000263,0.110934756962
ACH-000264,0.163096083027
