,CSNK1A1 (1452)
ACH-000004,-0.7030523835889999
ACH-000007,-0.520080233475
ACH-000009,-0.570235124239
ACH-000011,-1.0
ACH-000012,-0.326505055425
ACH-000013,-0.788792987562
ACH-000014,-1.0292292998700001
ACH-000015,0.11608536596699999
ACH-000017,-1.02391209781
ACH-000018,-0.622843278302
ACH-000019,-0.845387613944
ACH-000021,-0.38815114371699994
ACH-000022,-0.818225234441
ACH-000025,-0.618224762573
ACH-000028,-0.738590710367
ACH-000030,-0.800766777148
ACH-000035,-0.437253256242
ACH-000036,-0.7185430849259999
ACH-000037,-0.9126337610999999
ACH-000039,-0.577582130641
ACH-000040,-0.444060313938
ACH-000041,-0.19045473507599997
ACH-000042,-0.207914334399
ACH-000045,-0.802084261057
ACH-000047,-0.308873688472
ACH-000052,-0.468115278305
ACH-000053,-0.506121182084
ACH-000054,-0.928030346443
ACH-000055,-0.38659757874899997
ACH-000060,-0.22487925459199998
ACH-000067,-0.7798331421789999
ACH-000070,-0.7669463492280001
ACH-000075,-0.302507132742
ACH-000078,-0.943289144547
ACH-000082,-0.835532124942
ACH-000085,-0.8434205010410001
ACH-000086,-0.248175873269
ACH-000087,-0.359568172034
ACH-000092,-0.7099772667829999
ACH-000095,-0.605599261096
ACH-000097,-0.85841601486
ACH-000098,-0.56218587842
ACH-000099,-0.509111584644
ACH-000108,-0.684970762836
ACH-000113,-0.766541901401
ACH-000115,-0.689514709111
ACH-000116,-0.8004788068500001
ACH-000118,-0.473221044995
ACH-000120,-0.7149384371619999
ACH-000123,-0.434413602235
ACH-000127,-0.659063539098
ACH-000128,-0.53511940943
ACH-000132,-0.893342574551
ACH-000133,-0.778543044784
ACH-000137,-0.9412302126279999
ACH-000138,-0.657574357924
ACH-000142,-0.5711404056139999
ACH-000143,-0.186907455787
ACH-000146,-0.340907993959
ACH-000148,-0.62289744973
ACH-000150,-0.7662115084829999
ACH-000152,-0.363405291704
ACH-000153,-0.396327743293
ACH-000159,-0.7524639611839999
ACH-000160,-0.621010115155
ACH-000163,-0.43849152618
ACH-000167,-1.18120871264
ACH-000168,-0.7302093926309999
ACH-000169,-0.790207555738
ACH-000178,-0.728590671788
ACH-000182,-0.651462711808
ACH-000183,-0.44302869483900004
ACH-000188,-0.956584057433
ACH-000189,-0.94127769729
ACH-000190,-0.7849330569499999
ACH-000198,-0.949687741148
ACH-000204,-0.84422148768
ACH-000206,-0.6254646706520001
ACH-000207,-0.245257835905
ACH-000211,-0.767815764234
ACH-000215,-0.455408254194
ACH-000221,-0.46353424311700003
ACH-000222,-0.499273038549
ACH-000223,-0.725599495761
ACH-000226,-0.7681785812399999
ACH-000227,-0.471253800259
ACH-000228,-0.5685695243159999
ACH-000231,-0.820568728854
ACH-000232,-0.656256966595
ACH-000233,-0.659778026935
ACH-000234,-0.484303698893
ACH-000235,-0.580137137286
ACH-000237,-0.9992623650489999
ACH-000238,-0.778195123536
ACH-000243,-0.954390393753
ACH-000244,-0.9946926467020001
ACH-000246,-0.526981190844
ACH-000248,-0.8116550768240001
ACH-000250,-0.663022498677
ACH-000251,-0.565349796463
ACH-000253,-0.540766049873
ACH-000255,-0.42862422425700003
ACH-000256,-0.716814993406
ACH-000257,-0.10455624121200001
ACH-000258,-0.9218535204189999
ACH-000259,-0.790034865246
ACH-000260,-0.44564018260399996
ACH-000261,-0.603538179718
ACH-000262,-0.6155308035
ACH-000263,-1.21304902123
ACH-000264,-0.9893849668860001
ACH-000265,-0.5024790270880001
ACH-000266,-0.027838000447299997
ACH-000272,-1.0
ACH-000273,-0.642842819685
ACH-000274,-0.9683997757549999
ACH-000277,-0.7185785957940001
ACH-000278,-0.8399913314899999
ACH-000279,-0.737833068233
ACH-000280,-0.930561035847
ACH-000281,-0.642343479262
ACH-000288,-0.870824464842
ACH-000291,-0.585566352777
ACH-000293,-0.837133076452
ACH-000294,-0.377633887858
ACH-000295,-0.684723874335
ACH-000296,-0.918287597241
ACH-000302,-0.7007335349959999
ACH-000304,-0.43431542402400003
ACH-000307,-0.6877856737720001
ACH-000308,-0.270895700489
ACH-000310,-1.103762898
ACH-000311,-0.6458962936
ACH-000312,-0.315825787434
ACH-000315,0.0700895264136
ACH-000316,-0.39808745328199996
ACH-000317,-0.50135403708
ACH-000318,-0.356833841178
ACH-000319,-0.856521667922
ACH-000320,-0.624499374851
ACH-000322,-0.526592982207
ACH-000323,-0.44261593503799995
ACH-000324,-0.7221583951389999
ACH-000329,-0.902089779358
ACH-000330,-0.8499365269689999
ACH-000331,-0.253935102613
ACH-000332,-0.684208275673
ACH-000334,-0.149856133309
ACH-000335,-0.746705888054
ACH-000336,-0.6072640030650001
ACH-000337,-0.49524570743199997
ACH-000339,-0.963819357236
ACH-000341,-0.8487484034460001
ACH-000348,-0.9235503787720001
ACH-000350,-1.0015148090100001
ACH-000352,-0.700286468754
ACH-000356,-0.700559260546
ACH-000361,-0.858443826118
ACH-000362,-0.905537076372
ACH-000363,-0.58673810964
ACH-000364,-0.6963130468150001
ACH-000365,-0.6977076835680001
ACH-000366,-0.701098422474
ACH-000368,-1.0070779242499999
ACH-000374,-0.497478368556
ACH-000375,-0.600231126686
ACH-000376,-0.704324310425
ACH-000381,-0.784109346738
ACH-000383,-0.9115015896940001
ACH-000387,-0.726460522647
ACH-000389,-0.584271774811
ACH-000390,-0.627012250537
ACH-000393,-0.705785017493
ACH-000395,-0.858285365371
ACH-000397,-0.445891125337
ACH-000401,-0.657741395305
ACH-000402,0.1727352009
ACH-000403,-0.800648547014
ACH-000404,-0.45048033975199997
ACH-000406,-0.237084414217
ACH-000407,-0.788746370361
ACH-000408,-0.538360696397
ACH-000410,-0.5383838712510001
ACH-000411,-0.811245241501
ACH-000414,-0.814458130106
ACH-000415,-0.565461865448
ACH-000416,-0.50717038696
ACH-000420,-0.633387490853
ACH-000421,-0.581761880612
ACH-000424,-0.451565909968
ACH-000425,-0.507379180945
ACH-000426,-0.199563336902
ACH-000427,-0.645780481143
ACH-000433,-0.261588333154
ACH-000436,-0.759047047744
ACH-000444,-0.8907808250110001
ACH-000445,-0.906240584474
ACH-000448,-0.891909156361
ACH-000450,-0.403186454542
ACH-000452,-0.44484564603
ACH-000454,-0.7578224310089999
ACH-000458,-0.53103567196
ACH-000459,-0.599501453875
ACH-000460,-0.916692587769
ACH-000461,-0.642116993274
ACH-000463,-0.80490273795
ACH-000464,-0.904823382784
ACH-000466,-0.731491704874
ACH-000467,-0.718297916489
ACH-000468,-0.677614806277
ACH-000469,-0.920551224133
ACH-000470,0.0158120579738
ACH-000471,-0.553433963373
ACH-000472,-0.646030020637
ACH-000473,-0.639376894429
ACH-000475,-0.569260571451
ACH-000476,-0.9317777434219999
ACH-000477,-0.7378462134170001
ACH-000480,-0.568394115709
ACH-000481,-0.574310424322
ACH-000483,-0.655388224574
ACH-000484,-0.748335013017
ACH-000485,-1.0024888707600002
ACH-000486,-0.773540292251
ACH-000487,-0.7139690538339999
ACH-000488,-0.966492503464
ACH-000490,-1.0608234952
ACH-000491,-0.41268611977799996
ACH-000495,-0.609364776146
ACH-000496,-0.474196358676
ACH-000499,-0.507525980004
ACH-000500,-0.637427214432
ACH-000502,-0.49356703068
ACH-000503,-0.543347643186
ACH-000505,-0.8282759211399999
ACH-000507,-0.824635320107
ACH-000510,-0.471573830739
ACH-000511,-0.511501096468
ACH-000512,-0.863820206524
ACH-000516,-0.725093367969
ACH-000517,-0.538604124101
ACH-000518,-0.6788445367649999
ACH-000520,-0.45343765108
ACH-000521,0.268018382865
ACH-000522,-0.39553701836499994
ACH-000524,-1.02390108205
ACH-000527,-0.582874624186
ACH-000528,-0.751138896405
ACH-000537,-0.7748634259270001
ACH-000541,-0.360815422087
ACH-000542,-0.704982707129
ACH-000544,-0.7956697371889999
ACH-000545,-0.717124645852
ACH-000547,-0.57931915056
ACH-000548,-0.880404073864
ACH-000549,-0.256812780897
ACH-000550,-0.7377524796789999
ACH-000552,-0.8958549675409999
ACH-000556,-0.5298072252380001
ACH-000557,-0.33780462984399995
ACH-000570,-0.822011813399
ACH-000571,-0.414280693035
ACH-000573,-0.34558946784999994
ACH-000576,-0.43928309218500006
ACH-000580,-0.7243074803470001
ACH-000584,-0.508352217685
ACH-000585,-0.8246459689219999
ACH-000588,-0.548099423429
ACH-000589,-0.779899701438
ACH-000591,-0.773185837211
ACH-000593,-0.409958982419
ACH-000600,-0.6929016505069999
ACH-000601,-0.486431956831
ACH-000604,-0.554438147715
ACH-000605,-0.798321287627
ACH-000606,-0.715095597758
ACH-000608,-0.359671261582
ACH-000614,-0.549630259981
ACH-000616,-0.186924645752
ACH-000618,-0.586362281124
ACH-000619,-0.6481001275630001
ACH-000620,-0.7477597891
ACH-000621,-0.598163161561
ACH-000622,-0.8579343669480001
ACH-000623,-0.805662568355
ACH-000624,-0.461400427113
ACH-000627,-0.563562444507
ACH-000630,-0.887289038896
ACH-000632,-0.902867930291
ACH-000633,-0.641867526671
ACH-000637,-0.585904261932
ACH-000638,-0.698782257042
ACH-000646,-0.925545246214
ACH-000647,-0.692528523706
ACH-000648,-0.9853052807430001
ACH-000649,-0.559935803139
ACH-000651,-0.29752533702
ACH-000652,-0.594501029809
ACH-000653,0.035504055014900004
ACH-000657,-0.529486263392
ACH-000658,-0.39563648302
ACH-000661,-0.518564178728
ACH-000662,-0.44788039304099997
ACH-000663,-0.5683070684570001
ACH-000665,-0.732936163556
ACH-000671,-0.603606903801
ACH-000673,-0.8172448491869999
ACH-000676,-0.476781934761
ACH-000677,-0.414279009388
ACH-000681,-0.769713545115
ACH-000682,-0.544072502465
ACH-000683,-0.8766529392739999
ACH-000684,-1.09276512726
ACH-000688,-1.0166475255399998
ACH-000693,-0.5701159048800001
ACH-000694,-0.589738768916
ACH-000695,-0.109044975278
ACH-000696,-0.514370039846
ACH-000697,-0.83984354718
ACH-000699,-1.03798880552
ACH-000701,-0.691993324855
ACH-000706,-0.278552927566
ACH-000711,-0.8260233823280001
ACH-000713,-0.658217321999
ACH-000714,-0.757462237545
ACH-000718,-0.572620836455
ACH-000720,-0.87707440645
ACH-000721,-0.125678256483
ACH-000724,-0.38060390780299996
ACH-000725,-0.776873240828
ACH-000732,-0.46200965946199996
ACH-000734,-0.730991588358
ACH-000735,-0.932267670892
ACH-000736,-0.140252670762
ACH-000738,-0.651265246541
ACH-000746,-0.429188620507
ACH-000747,-0.507025844819
ACH-000748,-0.495929505643
ACH-000753,-0.717462585518
ACH-000756,-0.993866597278
ACH-000757,-0.526984864926
ACH-000758,-0.584509596921
ACH-000760,-1.0562988572799998
ACH-000763,-0.464779146561
ACH-000764,-0.49523400686
ACH-000765,-0.627106887785
ACH-000766,-0.39444679061800003
ACH-000767,-0.37525856673299995
ACH-000768,-0.6939794883849999
ACH-000769,-0.248616676567
ACH-000770,-0.5313576461999999
ACH-000771,-0.826466167023
ACH-000773,-0.75011769581
ACH-000776,-0.900102503316
ACH-000777,-0.406115676774
ACH-000778,-0.317353941832
ACH-000781,-0.45940536999399995
ACH-000782,-0.616034577019
ACH-000783,-0.527683536924
ACH-000784,-0.521481583815
ACH-000785,-0.267322721833
ACH-000787,-0.60367960841
ACH-000788,-0.79234426252
ACH-000791,-0.6794636036139999
ACH-000792,-0.765180902462
ACH-000794,-0.869124369251
ACH-000796,-0.246459332296
ACH-000799,-0.883505642559
ACH-000800,-1.0135607258700001
ACH-000802,-0.724955470184
ACH-000804,-0.8228091658460001
ACH-000805,-0.635870821916
ACH-000809,-0.8974945535950001
ACH-000810,-0.528986764736
ACH-000811,-0.556011820022
ACH-000817,-0.483288122459
ACH-000819,-0.553050637848
ACH-000820,-0.25675204366500004
ACH-000821,-0.677440073089
ACH-000822,-0.5630817537389999
ACH-000823,-0.781088974742
ACH-000824,-0.499946320048
ACH-000827,-0.775368575115
ACH-000829,-0.863216148959
ACH-000831,-0.476698050241
ACH-000832,-0.6844173866590001
ACH-000833,-0.644529985711
ACH-000834,-0.729137397306
ACH-000835,-0.582143783495
ACH-000836,-0.6979934509110001
ACH-000837,-0.421270474437
ACH-000838,-0.689076502711
ACH-000839,-0.745936761818
ACH-000840,-0.940484101833
ACH-000841,-0.657434368553
ACH-000843,-0.506852980353
ACH-000846,-0.609976833024
ACH-000847,-0.643666708452
ACH-000848,-0.6281614002489999
ACH-000849,-0.731414787023
ACH-000851,-0.880309764367
ACH-000855,-0.511183881733
ACH-000856,-0.504998568346
ACH-000858,-0.891192958776
ACH-000859,-0.760234076382
ACH-000861,-0.8074055981880001
ACH-000862,-0.652117902241
ACH-000865,-0.513492765644
ACH-000866,-0.8202317968
ACH-000867,-0.278333499626
ACH-000869,-0.939907011399
ACH-000872,-0.6820558872589999
ACH-000873,-0.342943824652
ACH-000876,-0.47107656715199997
ACH-000878,-0.577971300805
ACH-000880,-0.7409624862980001
ACH-000881,-0.645019994632
ACH-000882,-0.746103063108
ACH-000884,-0.548200490262
ACH-000885,-0.8021002170489999
ACH-000887,-0.677051895255
ACH-000888,-0.511298563017
ACH-000889,-0.419047095054
ACH-000890,-0.48623201045500003
ACH-000896,-0.818700924895
ACH-000898,-0.812253439189
ACH-000900,-0.5506902980030001
ACH-000901,-0.543386378952
ACH-000905,-1.2488864324700002
ACH-000906,-0.36312909200800003
ACH-000907,-0.6267451633519999
ACH-000910,-0.352395989705
ACH-000911,-0.684511022062
ACH-000912,-0.595291872033
ACH-000913,-0.344976902644
ACH-000915,-0.6978768484569999
ACH-000916,-0.516746081211
ACH-000917,-0.6930250993520001
ACH-000921,-0.584733255103
ACH-000924,-0.793621824246
ACH-000926,-0.849024783025
ACH-000928,-0.476101487822
ACH-000929,-0.672265816167
ACH-000932,-0.768529011123
ACH-000935,-0.769980193602
ACH-000936,-0.666254356613
ACH-000937,-0.304257421371
ACH-000938,-0.938963440828
ACH-000939,-0.688387648745
ACH-000941,-0.40421126261
ACH-000943,-0.47565518410400004
ACH-000946,-0.7376704037019999
ACH-000947,-0.492114587862
ACH-000948,-0.702223034333
ACH-000950,-0.640189464424
ACH-000953,-0.8224459846789999
ACH-000957,-0.6854005752050001
ACH-000958,-0.42573887374799996
ACH-000960,-1.23923816907
ACH-000963,-1.4636248101
ACH-000968,-0.9743449049899999
ACH-000969,-0.621349931169
ACH-000973,-0.547994766775
ACH-000974,-0.824551224435
ACH-000975,-0.842486534765
ACH-000976,-0.621710650524
ACH-000978,-0.350481460008
ACH-000980,-0.292059624726
ACH-000984,-0.282736383633
ACH-000986,-0.949385156873
ACH-000988,-0.8253622427830001
ACH-000993,-0.906909098096
ACH-000994,-0.193433463214
ACH-000996,-0.717434805722
ACH-001001,-0.335245331666
ACH-001020,-0.697092265048
ACH-001028,-0.17251987902
ACH-001031,-0.45001842826399996
ACH-001038,-0.450308448201
ACH-001048,-0.668353573989
ACH-001050,-0.782843592706
ACH-001053,-1.0142272323600001
ACH-001054,-0.473398918242
ACH-001061,-0.571605604184
ACH-001067,-0.542907572136
ACH-001075,-0.86396995855
ACH-001096,-0.539118930614
ACH-001128,-0.7989179069589999
ACH-001134,-0.792911707227
ACH-001151,-0.273731190471
ACH-001163,-0.281875233009
ACH-001164,-0.91416434725
ACH-001173,-0.725697587869
ACH-001183,-0.611920727256
ACH-001184,-0.446258696905
ACH-001190,-0.8003490086849999
ACH-001192,-0.540157179693
ACH-001193,-0.571621975116
ACH-001196,-0.664094242307
ACH-001197,-0.102901153092
ACH-001205,-0.757998171817
ACH-001211,-0.782559599364
ACH-001212,-0.9646276492479999
ACH-001228,-0.755416301095
ACH-001232,-0.875594670464
ACH-001239,-0.714367613213
ACH-001274,-0.716705743848
ACH-001275,-0.596592541091
ACH-001277,-0.7407389648270001
ACH-001278,-0.41699651709299995
ACH-001280,-0.48887039035700003
ACH-001283,-0.520879258241
ACH-001289,-0.607731297308
ACH-001295,-0.6811843585940001
ACH-001300,-0.793549111821
ACH-001301,-1.0406802719700001
ACH-001302,-1.01762935917
ACH-001303,-0.596165512751
ACH-001306,-0.905751352643
ACH-001318,-0.9094375558200001
ACH-001322,-0.717420411292
ACH-001328,-1.04223446469
ACH-001332,-0.570058996571
ACH-001333,-0.26451464333
ACH-001336,-0.713977807269
ACH-001340,-0.808043960859
ACH-001346,-0.575244900968
ACH-001353,-0.894675652869
ACH-001354,-0.8609567094320001
ACH-001367,-0.49555312838
ACH-001368,-0.608085051224
ACH-001374,-0.27842458825800004
ACH-001375,-0.232992553876
ACH-001377,-0.535368040237
ACH-001380,-0.673072253556
ACH-001391,-0.9201863785400001
ACH-001407,-0.96949558344
ACH-001408,-0.749769071189
ACH-001413,-0.910933418753
ACH-001430,-0.83467867767
ACH-001431,-0.682528510314
ACH-001450,-0.8539227057340001
ACH-001496,-0.7097581288060001
ACH-001500,-0.558549269229
ACH-001521,-0.873256451827
ACH-001523,-0.721534766496
ACH-001532,-0.688645066822
ACH-001536,-0.42479177083999997
ACH-001550,-0.566439213642
ACH-001552,-0.631365047926
ACH-001554,-0.8057724011759999
ACH-001645,-1.31457637375
ACH-001654,-0.830389525791
ACH-001715,-0.792708975032
ACH-001735,-0.785849489428
ACH-001736,-0.194124155553
ACH-001737,-0.40703142232699996
ACH-001740,-0.671187709549
ACH-001745,-0.654720428329
ACH-001750,-0.9822312440209999
ACH-001765,-0.5071891911159999
ACH-001956,-0.541689500091
ACH-001957,-0.6457925523899999
