,PPME1 (51400)
ACH-000004,-0.199230456771
ACH-000007,-0.7073695433380001
ACH-000009,-0.457192832771
ACH-000011,-0.999533830903
ACH-000012,-0.641513045257
ACH-000013,-0.62304480987
ACH-000014,-0.270749948305
ACH-000015,-0.523907214472
ACH-000017,-0.521108664172
ACH-000018,-0.59910954433
ACH-000019,-0.510897694188
ACH-000021,-0.34767055467200003
ACH-000022,-0.825340793041
ACH-000025,-0.1875799956
ACH-000028,-0.762294595554
ACH-000030,-0.473293228453
ACH-000035,-0.334294524934
ACH-000036,-0.425959546787
ACH-000037,-0.788298065926
ACH-000039,-0.350691288965
ACH-000040,-0.726345018559
ACH-000041,-0.89041917455
ACH-000042,-0.601120909271
ACH-000045,-0.177107888836
ACH-000047,-0.284814985061
ACH-000052,-0.233600048154
ACH-000053,-0.608780321837
ACH-000054,-0.35012732841
ACH-000055,-0.390845091065
ACH-000060,-0.0306521368422
ACH-000067,-0.5456545996850001
ACH-000070,-0.275921807378
ACH-000075,-0.594878630283
ACH-000078,-0.656692960143
ACH-000082,-0.438710174365
ACH-000085,-0.535309620021
ACH-000086,-0.47474098814800003
ACH-000087,-0.5854856722339999
ACH-000092,-0.209968817265
ACH-000095,-0.4436914978
ACH-000097,-0.639512049882
ACH-000098,-0.264892190884
ACH-000099,-0.870932561919
ACH-000108,-0.471905073776
ACH-000113,-0.503043722337
ACH-000115,-0.339866305781
ACH-000116,-0.672068335539
ACH-000118,-0.617574447546
ACH-000120,-0.558487186001
ACH-000123,-0.6061652787290001
ACH-000127,-0.48404599033699997
ACH-000128,-0.26308310731
ACH-000132,-0.472819071342
ACH-000133,-0.7487655856450001
ACH-000137,-0.574096015264
ACH-000138,-0.802858449072
ACH-000142,-0.19860146089699998
ACH-000143,-0.010156283582299998
ACH-000146,-0.591551438234
ACH-000148,-0.588904509966
ACH-000150,-0.309319980888
ACH-000152,-0.499985854413
ACH-000153,-0.44969538725
ACH-000159,-0.263514132818
ACH-000160,-0.9238702275540001
ACH-000163,-0.5241070832460001
ACH-000167,-0.7319267854000001
ACH-000168,-0.38632167839299997
ACH-000169,-0.522162802497
ACH-000178,-0.389521612935
