,SLC7A6OS (84138)
ACH-000004,-1.33591586111
ACH-000007,-0.94600178655
ACH-000009,-1.01793508216
ACH-000011,-1.1691162012899998
ACH-000012,-1.0257909193
ACH-000013,-1.4804717898700002
ACH-000014,-0.9420481592669999
ACH-000015,-0.8545886120389999
ACH-000017,-1.43996571281
ACH-000018,-1.27300185921
ACH-000019,-1.41370276582
ACH-000021,-1.29754709455
ACH-000022,-1.15478167829
ACH-000025,-1.35087188229
ACH-000028,-1.0619009510500002
ACH-000030,-1.20881731017
ACH-000035,-1.23029665411
ACH-000036,-1.20640773725
ACH-000037,-0.931165026389
ACH-000039,-1.0486243247
ACH-000040,-0.855770988916
ACH-000041,-1.17643111158
ACH-000042,-1.11428842424
ACH-000045,-1.3924231256900002
ACH-000047,-1.29738700267
ACH-000052,-1.15940803703
ACH-000053,-1.36490196294
ACH-000054,-1.32835739429
ACH-000055,-1.08935413035
ACH-000060,-1.3020777770899998
ACH-000067,-1.24251304885
ACH-000070,-0.851200616864
ACH-000075,-1.14260514834
ACH-000078,-1.11039479656
ACH-000082,-1.67391637607
ACH-000085,-0.893331722673
ACH-000086,-1.2372817173000001
ACH-000087,-1.39776068916
ACH-000092,-0.929531644126
ACH-000095,-1.26067946665
ACH-000097,-1.17414097454
ACH-000098,-1.1964672656200002
ACH-000099,-1.1020557466
ACH-000108,-1.39948143626
ACH-000113,-1.33721160791
ACH-000115,-1.49205546381
ACH-000116,-1.33394404448
ACH-000118,-1.15992800926
ACH-000120,-1.17501280819
ACH-000123,-1.1061497446
ACH-000127,-1.43907355755
ACH-000128,-1.1327648362
ACH-000132,-1.29109033448
ACH-000133,-1.20086461532
ACH-000137,-1.27749746014
ACH-000138,-1.04886405199
ACH-000142,-1.2998386182
ACH-000143,-1.29352131852
ACH-000146,-1.7766321340400002
ACH-000148,-1.34002385843
ACH-000150,-1.22818856999
ACH-000152,-1.4107362827899999
ACH-000153,-1.16266356325
ACH-000159,-0.749357274561
ACH-000160,-1.13493659832
ACH-000163,-1.3409076807
ACH-000167,-1.5434766258000001
ACH-000168,-1.38600939114
ACH-000169,-1.27828280104
ACH-000178,-1.19964375862
ACH-000182,-1.4233982581400002
ACH-000183,-1.41003563866
ACH-000188,-1.0202670734100001
ACH-000189,-0.7790967458370001
ACH-000190,-1.5388452467500002
ACH-000198,-1.24958755745
ACH-000204,-1.13249210509
ACH-000206,-1.248533189
ACH-000207,-1.3816425730500002
ACH-000211,-1.0273556958
ACH-000215,-1.27234698393
ACH-000221,-1.1534238014
ACH-000222,-1.2800059289799999
ACH-000223,-1.30963401843
ACH-000226,-1.27597945265
ACH-000227,-1.2524334582899999
ACH-000228,-1.1531276158700001
ACH-000231,-1.3194055266299998
ACH-000232,-1.13750561272
ACH-000233,-1.31001285859
ACH-000234,-1.2306841316
ACH-000235,-1.2696165928299998
ACH-000237,-1.3870842237099998
ACH-000238,-1.0
ACH-000243,-1.28161114983
ACH-000244,-1.18941379609
ACH-000246,-0.88500263517
ACH-000248,-1.43246274
ACH-000250,-1.06599845923
ACH-000251,-1.12284529303
ACH-000253,-1.09846348111
ACH-000255,-1.03477109511
ACH-000256,-1.4273524563
ACH-000257,-1.4915053588
ACH-000258,-1.3372994563299998
ACH-000259,-1.1626653406
ACH-000260,-1.27364100193
ACH-000261,-1.0520644752700001
ACH-000262,-1.09801680439
ACH-000263,-1.27931292048
ACH-000264,-1.22486124164
ACH-000265,-1.0778928552
ACH-000266,-1.42476518426
ACH-000272,-0.8802028441259999
ACH-000273,-1.3059672580600001
ACH-000274,-1.23865390121
ACH-000277,-1.36805094527
ACH-000278,-1.50970975301
ACH-000279,-1.03652147451
ACH-000280,-1.19813439045
ACH-000281,-1.12922913392
ACH-000288,-1.19433199371
ACH-000291,-1.3501532586899998
ACH-000293,-1.92756682447
ACH-000294,-1.1034480549299999
ACH-000295,-1.34678368756
ACH-000296,-0.935895697283
ACH-000302,-1.51312516313
ACH-000304,-1.3383309559799998
ACH-000307,-1.28129083701
ACH-000308,-1.2730894588
ACH-000310,-1.11419694532
ACH-000311,-1.38024203057
ACH-000312,-1.11133629143
ACH-000315,-1.2854386344600002
ACH-000316,-1.6190180153100002
ACH-000317,-1.07070538228
ACH-000318,-1.04319617439
ACH-000319,-1.4234049963
ACH-000320,-1.09524395253
ACH-000322,-1.19377837881
ACH-000323,-1.34098696758
ACH-000324,-1.01719338508
ACH-000329,-1.28082803674
ACH-000330,-1.6740586867899998
ACH-000331,-1.28746001517
ACH-000332,-1.3333715287899999
ACH-000334,-1.7471964927
ACH-000335,-1.34901944333
ACH-000336,-1.45322686626
ACH-000337,-1.20248921573
ACH-000339,-1.24528564211
ACH-000341,-1.40722984933
ACH-000348,-1.24781871064
ACH-000350,-1.1477206944299998
ACH-000352,-1.27192721594
ACH-000356,-1.13370472928
ACH-000361,-1.19998061114
ACH-000362,-1.23302921237
ACH-000363,-1.7672052468000001
ACH-000364,-1.1838492428799998
ACH-000365,-1.261599689
ACH-000366,-1.01983453588
ACH-000368,-1.1373949911599999
ACH-000374,-1.08947405241
ACH-000375,-1.39290647564
ACH-000376,-1.15263719039
ACH-000381,-1.3014735902399999
ACH-000383,-1.6086491179499998
ACH-000387,-1.35136955572
ACH-000389,-1.3045180054899999
ACH-000390,-1.01511564195
ACH-000393,-1.30856395496
ACH-000395,-0.9563369726200001
ACH-000397,-1.2956995121700001
ACH-000401,-1.37384377215
ACH-000402,-1.40238102081
ACH-000403,-1.44475983134
ACH-000404,-1.13259806079
ACH-000406,-1.4964384986100001
ACH-000407,-1.2142924422299999
ACH-000408,-1.05560875421
ACH-000410,-1.48537582986
ACH-000411,-0.949762440331
ACH-000414,-1.30050141772
ACH-000415,-1.01996184051
ACH-000416,-1.1656850116
ACH-000420,-1.4324565497
ACH-000421,-1.2016696289700002
ACH-000424,-0.9086090151389999
ACH-000425,-1.30655374145
ACH-000426,-2.42076958348
ACH-000427,-1.24540599529
ACH-000433,-1.11664137229
ACH-000436,-1.4721972194400001
ACH-000444,-1.23358846935
ACH-000445,-1.2508597063299998
ACH-000448,-1.26572075761
ACH-000450,-1.45279650261
ACH-000452,-1.26885132679
ACH-000454,-1.42495455842
ACH-000458,-1.20249410737
ACH-000459,-1.8161935087
ACH-000460,-1.14824439984
ACH-000461,-1.29191202796
ACH-000463,-1.07133614636
ACH-000464,-0.86362462775
ACH-000466,-1.01396516018
ACH-000467,-1.4319051070700002
ACH-000468,-1.15931534914
ACH-000469,-1.2531840090200002
ACH-000470,-1.4478424997200001
ACH-000471,-1.43578867866
ACH-000472,-1.29045102422
ACH-000473,-1.3007909102700002
ACH-000475,-1.31697846531
ACH-000476,-1.29736017714
ACH-000477,-0.903219090965
ACH-000480,-1.31475839357
ACH-000481,-1.37903234685
ACH-000483,-2.11812594156
ACH-000484,-0.9489388465009999
ACH-000485,-1.27447426393
ACH-000486,-1.04142984701
ACH-000487,-1.37462234995
ACH-000488,-1.30104290343
ACH-000490,-1.07564734622
ACH-000491,-1.38010361914
ACH-000495,-0.393023905711
ACH-000496,-1.1722788252
ACH-000499,-1.3821146420800001
ACH-000500,-0.673198094413
ACH-000502,-1.0672588510799998
ACH-000503,-0.973319301919
ACH-000505,-1.41521126303
ACH-000507,-1.44353300037
ACH-000510,-1.2337646719700002
ACH-000511,-1.33854335248
ACH-000512,-1.06494900804
ACH-000516,-1.32929044598
ACH-000517,-1.48919315849
ACH-000518,-1.18160416768
ACH-000520,-1.342843349
ACH-000521,-0.8868158474600001
ACH-000522,-1.19870428648
ACH-000524,-1.47096535955
ACH-000527,-1.28003549483
ACH-000528,-1.2256322445
ACH-000537,-1.5544779214700002
ACH-000541,-1.8800375559599998
ACH-000542,-1.23210289706
ACH-000544,-1.2392742187
ACH-000545,-1.31680543991
ACH-000547,-1.12935223264
ACH-000548,-1.222954554
ACH-000549,-1.12253240564
ACH-000550,-1.4988683996899999
ACH-000552,-1.3738290544
ACH-000556,-1.01455781574
ACH-000557,-1.44700971189
ACH-000570,-1.10420642054
ACH-000571,-1.25391752029
ACH-000573,-1.3954102868399998
ACH-000576,-1.40361665046
ACH-000580,-1.1258906424
ACH-000584,-1.4211695852700001
ACH-000585,-1.13803952434
ACH-000588,-1.4148081857400001
ACH-000589,-1.22200169919
ACH-000591,-1.0269173198600001
ACH-000593,-1.49357889345
ACH-000600,-1.11956396515
ACH-000601,-1.04805005639
ACH-000604,-1.16936537668
ACH-000605,-1.45854031904
ACH-000606,-1.02846416119
ACH-000608,-1.1027316468100001
ACH-000614,-0.8979109627230001
ACH-000616,-0.91616280076
ACH-000618,-1.20738910388
ACH-000619,-1.1978684932299999
ACH-000620,-1.0395135024200002
ACH-000621,-1.06593409236
ACH-000622,-1.35320894273
ACH-000623,-1.22031770257
ACH-000624,-1.24332060937
ACH-000627,-1.05322676221
ACH-000630,-1.03545524175
ACH-000632,-1.42792724984
ACH-000633,-1.1531258919299998
ACH-000637,-1.40057589725
ACH-000638,-1.1737108140399999
ACH-000646,-1.1818333299500001
ACH-000647,-1.34684244589
ACH-000648,-1.06145817304
ACH-000649,-1.01654103334
ACH-000651,-1.1119839248999999
ACH-000652,-1.23588219628
ACH-000653,-1.08182248749
ACH-000657,-1.23140398747
ACH-000658,-1.30338395979
ACH-000661,-0.873872317802
ACH-000662,-0.869314239038
ACH-000663,-0.950907792826
ACH-000665,-0.789785328635
ACH-000671,-1.00276430698
ACH-000673,-1.1656227556799998
ACH-000676,-1.2019385464599999
ACH-000677,-1.74531218243
ACH-000681,-0.951448490316
ACH-000682,-1.02296123831
ACH-000683,-0.979954895493
ACH-000684,-0.7824976269699999
ACH-000688,-1.6732985386399999
ACH-000693,-1.22134050908
ACH-000694,-0.9478616294399999
ACH-000695,-1.20128340876
ACH-000696,-1.2051558124600001
ACH-000697,-0.9260709400660001
ACH-000699,-1.67531866551
ACH-000701,-1.08605872109
ACH-000706,-1.34493262829
ACH-000711,-1.16173329362
ACH-000713,-1.30385868251
ACH-000714,-1.20941431036
ACH-000718,-1.3067145425
ACH-000720,-1.2145987904200002
ACH-000721,-1.12598778059
ACH-000724,-1.5252368634
ACH-000725,-1.3776649172100002
ACH-000732,-0.867498910647
ACH-000734,-1.01663679421
ACH-000735,-1.1062696839
ACH-000736,-1.54716784225
ACH-000738,-1.3677982550499999
ACH-000746,-1.4117689101800002
ACH-000747,-1.33337333689
ACH-000748,-0.7547328641140001
ACH-000753,-1.18084638874
ACH-000756,-1.1851218493200002
ACH-000757,-1.4288787067299997
ACH-000758,-1.36318787847
ACH-000760,-1.2946115595299998
ACH-000763,-1.4740364905
ACH-000764,-1.42438009136
ACH-000765,-1.35882433867
ACH-000766,-1.17399242778
ACH-000767,-1.5215046181
ACH-000768,-1.3943041895500001
ACH-000769,-1.02183939877
ACH-000770,-1.18134872977
ACH-000771,-1.19198208504
ACH-000773,-1.3598943315399998
ACH-000776,-0.9157359423720001
ACH-000777,-1.4533689707100002
ACH-000778,-1.34951923532
ACH-000781,-1.2235697996700001
ACH-000782,-1.23657920524
ACH-000783,-1.21555601225
ACH-000784,-1.2908134101100002
ACH-000785,-1.41982021946
ACH-000787,-1.11366683689
ACH-000788,-1.2576508136799998
ACH-000791,-1.30660703319
ACH-000792,-1.1201325049
ACH-000794,-1.1295314937899998
ACH-000796,-0.999346976417
ACH-000799,-1.1951439903799999
ACH-000800,-1.4331202272
ACH-000802,-0.9996825675040001
ACH-000804,-0.9187469635179999
ACH-000805,-1.0287447622700001
ACH-000809,-1.06412660514
ACH-000810,-1.16227014356
ACH-000811,-1.31364469734
ACH-000817,-1.2800349138299998
ACH-000819,-1.1450931012
ACH-000820,-1.12107330156
ACH-000821,-1.87646192237
ACH-000822,-1.27509938635
ACH-000823,-1.08801882649
ACH-000824,-1.2634697903
ACH-000827,-1.2381727393200002
ACH-000829,-1.33954958776
ACH-000831,-1.31890602427
ACH-000832,-1.14652632392
ACH-000833,-1.43880574861
ACH-000834,-1.03052414761
ACH-000835,-1.34516151204
ACH-000836,-1.27531338685
ACH-000837,-1.12609313053
ACH-000838,-1.12207172819
ACH-000839,-1.04641808604
ACH-000840,-1.173548674
ACH-000841,-0.9720468150830001
ACH-000843,-1.25072457771
ACH-000846,-1.37179309868
ACH-000847,-1.30935524001
ACH-000848,-1.39544627301
ACH-000849,-1.0
ACH-000851,-0.856209963963
ACH-000855,-1.25063213267
ACH-000856,-1.2012396464700001
ACH-000858,-1.1244536078299998
ACH-000859,-1.29615766728
ACH-000861,-1.2620740181399999
ACH-000862,-1.40811471875
ACH-000865,-1.23391177793
ACH-000866,-1.45169015029
ACH-000867,-1.28297891922
ACH-000869,-1.41122403789
ACH-000872,-1.0990540678799998
ACH-000873,-1.19462009089
ACH-000876,-1.2108119845899998
ACH-000878,-1.1210765030399998
ACH-000880,-1.5413752419600002
ACH-000881,-1.1692881405600002
ACH-000882,-1.02960214203
ACH-000884,-1.45282381067
ACH-000885,-1.1415489802299998
ACH-000887,-1.12058810725
ACH-000888,-1.29721627832
ACH-000889,-1.10778902551
ACH-000890,-1.19624283934
ACH-000896,-1.06698471729
ACH-000898,-1.12542770082
ACH-000900,-1.08916688156
ACH-000901,-0.7319779798880001
ACH-000905,-1.2250086231200001
ACH-000906,-1.12530525813
ACH-000907,-1.1991249428
ACH-000910,-1.28408535471
ACH-000911,-1.3476357389500002
ACH-000912,-1.2180349916700002
ACH-000913,-1.1171519559799998
ACH-000915,-1.05905752971
ACH-000916,-1.8935552595900003
ACH-000917,-1.04361248609
ACH-000921,-1.30165972483
ACH-000924,-0.972954087438
ACH-000926,-0.9292520038150001
ACH-000928,-1.04430836831
ACH-000929,-1.27635378787
ACH-000932,-1.34303898502
ACH-000935,-1.18188130987
ACH-000936,-1.08322406059
ACH-000937,-1.35745949125
ACH-000938,-1.17660769223
ACH-000939,-1.6564059788299998
ACH-000941,-0.9044423617
ACH-000943,-1.59616529997
ACH-000946,-1.2630984860299999
ACH-000947,-1.2133266759999999
ACH-000948,-1.18627471294
ACH-000950,-1.08514798496
ACH-000953,-1.17060528607
ACH-000957,-1.05811211912
ACH-000958,-1.59203166464
ACH-000960,-1.14713169225
ACH-000963,-0.5646466299189999
ACH-000968,-1.53520883723
ACH-000969,-1.4601083180899999
ACH-000973,-1.29206900874
ACH-000974,-1.0454339011
ACH-000975,-0.992791319729
ACH-000976,-1.4614785750600001
ACH-000978,-1.36285312218
ACH-000980,-1.2662047541099999
ACH-000984,-1.2464001052
ACH-000986,-1.25752112832
ACH-000988,-1.37689456065
ACH-000993,-1.1926248525799998
ACH-000994,-1.7986892092299998
ACH-000996,-1.2786961030700001
ACH-001001,-1.20882456851
ACH-001020,-1.40813901311
ACH-001028,-1.10965162344
ACH-001031,-1.14733106418
ACH-001038,-1.4827422077399999
ACH-001048,-1.4524830728
ACH-001050,-1.1595383044299998
ACH-001053,-1.10711996232
ACH-001054,-1.30078553445
ACH-001061,-1.3846964442200003
ACH-001067,-1.19426594523
ACH-001075,-1.29905455853
ACH-001096,-1.182474258
ACH-001128,-0.82454434996
ACH-001134,-1.4857218731900002
ACH-001151,-1.31861172188
ACH-001163,-1.01900600763
ACH-001164,-1.3554001629299999
ACH-001173,-1.2521145175
