,RPS15A (6210)
ACH-000004,-1.3943982845299998
ACH-000007,-1.59211060739
ACH-000009,-1.32024292793
ACH-000011,-1.14344430633
ACH-000012,-1.4374051514700001
ACH-000013,-1.5955016036399998
ACH-000014,-1.71791300382
ACH-000015,-1.59226525926
ACH-000017,-1.31738108262
ACH-000018,-1.5776760747799998
ACH-000019,-1.82586709877
ACH-000021,-1.2856583914700002
ACH-000022,-1.58635875684
ACH-000025,-1.6027117946599998
ACH-000028,-1.48105889609
ACH-000030,-1.5418312885699998
ACH-000035,-1.21668545544
ACH-000036,-1.3401013733299998
ACH-000037,-2.26768960532
ACH-000039,-1.6987434494100002
ACH-000040,-1.56313900369
ACH-000041,-1.5580178644100002
ACH-000042,-1.4658222566999999
ACH-000045,-1.61577127606
ACH-000047,-1.25674768314
ACH-000052,-1.36053715311
ACH-000053,-1.49178568014
ACH-000054,-1.3867018944999998
ACH-000055,-1.51234187064
ACH-000060,-1.59129854661
ACH-000067,-1.4544382753
ACH-000070,-1.6782121259799998
ACH-000075,-1.7592555992299999
ACH-000078,-1.7489358598599998
ACH-000082,-1.85167002431
ACH-000085,-1.36297156098
ACH-000086,-1.54711408291
ACH-000087,-1.4306769234399999
ACH-000092,-1.7430291613900002
ACH-000095,-1.6456418753400002
ACH-000097,-1.73232620818
ACH-000098,-1.67749260822
ACH-000099,-1.60058586317
ACH-000108,-1.18065968313
ACH-000113,-1.47865709961
ACH-000115,-1.97800412931
ACH-000116,-1.26428928029
ACH-000118,-1.45421574381
ACH-000120,-1.68598770408
ACH-000123,-1.44862615086
ACH-000127,-1.2690894583299999
ACH-000128,-1.5129278930399999
ACH-000132,-1.8059155655
ACH-000133,-1.2511448525700002
ACH-000137,-1.5667047787200001
ACH-000138,-1.6659723638600001
ACH-000142,-1.9370638264400002
ACH-000143,-1.50662081286
ACH-000146,-1.52414675208
ACH-000148,-1.82986748548
ACH-000150,-1.76359036381
ACH-000152,-1.27549115283
ACH-000153,-1.57291610963
ACH-000159,-1.4580751742500002
ACH-000160,-1.2793038949700002
ACH-000163,-1.67417832674
ACH-000167,0.461385439586
ACH-000168,-1.79384829003
ACH-000169,-1.65686449738
ACH-000178,-1.52110650619
ACH-000182,-1.66119834272
ACH-000183,-1.68164229871
ACH-000188,-1.3021327011100001
ACH-000189,-1.82320254238
ACH-000190,-1.7819565472099999
ACH-000198,-1.6831651602000002
ACH-000204,-1.7230330236400002
ACH-000206,-2.00472463525
ACH-000207,-1.36584958727
ACH-000211,-1.4662710608899998
ACH-000215,-1.8125651419
ACH-000221,-1.28899711253
ACH-000222,-1.5633298815099999
ACH-000223,-1.31585295973
ACH-000226,-1.59921071515
ACH-000227,-1.7769141026900002
ACH-000228,-0.999314287984
ACH-000231,-1.59693207519
ACH-000232,-1.7187648679599998
ACH-000233,-1.36010905886
ACH-000234,-1.8050654862900002
ACH-000235,-1.51789849493
ACH-000237,-1.47033527311
ACH-000238,-1.20207564005
ACH-000243,-1.49519643071
ACH-000244,-1.8490503132599998
ACH-000246,-1.0480957678
ACH-000248,-1.54274240387
ACH-000250,-1.49543825413
ACH-000251,-1.00357649017
ACH-000253,-1.5462670389200002
ACH-000255,-1.3902849053200002
ACH-000256,-1.6813430714200002
ACH-000257,-1.7374471174900001
ACH-000258,-2.28106377575
ACH-000259,-1.50578562467
ACH-000260,-1.49392882227
ACH-000261,-1.57615149016
ACH-000262,-1.4134474467200002
ACH-000263,-1.79228307432
ACH-000264,-1.7108441124399998
ACH-000265,-1.50917307982
ACH-000266,-1.4549987929
ACH-000272,-1.5165572017299997
ACH-000273,-1.48584587933
ACH-000274,-1.7568460614099997
ACH-000277,-1.74153654279
ACH-000278,-1.59283651751
ACH-000279,-1.29535766343
ACH-000280,-1.89000269595
ACH-000281,-1.49703603318
ACH-000288,-1.7275712904400002
ACH-000291,-1.50795828785
ACH-000293,-1.488743133
ACH-000294,-0.931569749517
ACH-000295,-1.39448036065
ACH-000296,-1.6385514775499999
ACH-000302,-1.26407252903
ACH-000304,-1.6745167115700001
ACH-000307,-1.5591561854700002
