,CYS1 (192668)
ACH-000004,-0.671355588415
ACH-000007,-0.44861282821500004
ACH-000009,-0.7522972907100001
ACH-000011,-0.711051467235
ACH-000012,-0.45291544311099996
ACH-000013,-0.303803741853
ACH-000014,-0.443213821412
ACH-000015,-0.383885909572
ACH-000017,-0.590095115102
ACH-000018,-0.47270071457900004
ACH-000019,-0.508100439748
ACH-000021,-0.390004650237
ACH-000022,-0.56275757019
ACH-000025,-0.612701389977
ACH-000028,-0.137951463252
ACH-000030,-0.600406971387
ACH-000035,-0.335229012066
ACH-000036,-0.53065700595
ACH-000037,-0.6984446082670001
ACH-000039,-0.544720578566
ACH-000040,-0.778096621099
ACH-000041,-0.48444604069799996
ACH-000042,-0.479299683505
ACH-000045,-0.460703165586
ACH-000047,-0.435155320641
ACH-000052,-0.308037370496
ACH-000053,-0.426536120571
ACH-000054,-0.674807156288
ACH-000055,-0.6784152234990001
ACH-000060,-0.648417970088
ACH-000067,-0.632323680571
ACH-000070,-0.5848015189410001
ACH-000075,-0.6869644957969999
ACH-000078,-0.380271267734
ACH-000082,-0.5235168128719999
ACH-000085,-0.189818090251
ACH-000086,-0.319839198501
ACH-000087,-0.9007853095980001
ACH-000092,-0.741142407446
ACH-000095,-0.476812838685
ACH-000097,-0.535105878229
ACH-000098,-0.414007521239
ACH-000099,-0.40921280002099997
ACH-000108,-0.398677547082
ACH-000113,-0.479690794617
ACH-000115,-0.555669121999
ACH-000116,-0.367891919583
ACH-000118,-0.523344950801
ACH-000120,-0.284674467395
ACH-000123,-0.631917533584
ACH-000127,-0.30458306004999997
ACH-000128,-0.551389545661
ACH-000132,-0.543811873842
ACH-000133,-0.587262644484
ACH-000137,-0.508654772473
ACH-000138,-0.450122393169
ACH-000142,-0.304475729391
ACH-000143,-0.635107200172
ACH-000146,-0.347608101754
ACH-000148,-0.562605391639
ACH-000150,-0.234706360267
ACH-000152,-0.6182695726690001
ACH-000153,-0.676251078207
ACH-000159,-0.399990930242
ACH-000160,-0.44975343806900003
ACH-000163,-0.45762054215400005
ACH-000167,-0.461913582535
ACH-000168,-0.428575620198
ACH-000169,-0.474664080762
ACH-000178,-0.5265202122029999
ACH-000182,-0.48698483858499997
ACH-000183,-0.210941077448
ACH-000188,-0.738480907655
ACH-000189,-0.107378070637
ACH-000190,-0.551321651863
ACH-000198,-0.486865478059
ACH-000204,-0.44832242293700003
ACH-000206,-0.443593966008
ACH-000207,-0.36215513901
ACH-000211,-0.395006613671
ACH-000215,-0.674739934892
ACH-000221,-0.211591222311
ACH-000222,-0.6901960400339999
ACH-000223,-0.462388452089
ACH-000226,-0.6598366529349999
ACH-000227,-0.0956879195935
ACH-000228,-0.619857386782
ACH-000231,-0.47675723327299996
ACH-000232,-0.711177341138
ACH-000233,-0.539308592934
ACH-000234,-0.7710231701350001
ACH-000235,-0.435056115876
ACH-000237,-0.374657057708
ACH-000238,-0.658897902012
ACH-000243,-0.453385856808
ACH-000244,-0.292949882911
ACH-000246,-0.564460172696
ACH-000248,-0.584656402779
ACH-000250,-0.6208062194
ACH-000251,-0.804247662379
ACH-000253,-0.604252811788
ACH-000255,-0.735640107051
ACH-000256,-0.24094286430700002
ACH-000257,-0.5737509693639999
ACH-000258,-0.581146503912
ACH-000259,-0.458819016024
ACH-000260,-0.47061002148599995
ACH-000261,-0.631786850187
ACH-000262,-0.597023518214
ACH-000263,-0.441053974081
ACH-000264,-0.47212819946900003
ACH-000265,-0.333612604081
ACH-000266,-0.477183964322
ACH-000272,-0.558800103292
ACH-000273,-0.570489928796
ACH-000274,-0.703279026651
ACH-000277,-0.546325246221
ACH-000278,-0.53139141561
ACH-000279,-0.621735202487
ACH-000280,-0.34650969332099996
ACH-000281,-0.298744590344
ACH-000288,-0.613262744601
ACH-000291,-0.508334228761
ACH-000293,-0.5235841372119999
ACH-000294,-0.42171826219999997
ACH-000295,-0.646245151834
ACH-000296,-0.42576301228299995
ACH-000302,-0.339706083251
ACH-000304,-0.474318805243
ACH-000307,-0.550415349185
ACH-000308,-0.512054239116
ACH-000310,-0.326991951828
ACH-000311,-0.478282523508
ACH-000312,-0.506370614181
ACH-000315,-0.694246724018
ACH-000316,-0.6101518301
ACH-000317,-0.427042805547
ACH-000318,-0.694863558349
ACH-000319,-0.414171533627
ACH-000320,-0.729033746226
ACH-000322,-0.404288216567
ACH-000323,-0.619764734806
ACH-000324,-0.603651595828
ACH-000329,-0.43898599748000006
ACH-000330,-0.501476066042
ACH-000331,-0.7201573947319999
ACH-000332,-0.5280285557609999
ACH-000334,-0.285363493128
ACH-000335,-0.602924000216
ACH-000336,-0.600923160644
ACH-000337,-0.698239355415
ACH-000339,-0.415489013011
ACH-000341,-0.460745728661
ACH-000348,-0.427867216589
ACH-000350,-0.31653102496999996
ACH-000352,-0.602235176044
ACH-000356,-0.605919910142
ACH-000361,-0.819036999633
ACH-000362,-0.530465676059
ACH-000363,-0.48175128408999995
ACH-000364,-0.391404323741
ACH-000365,-0.313422611244
ACH-000366,-0.475075079049
ACH-000368,-0.718759314605
ACH-000374,-0.6378504987120001
ACH-000375,-0.44177497538099997
ACH-000376,-0.477813604226
ACH-000381,-0.531663159512
ACH-000383,-0.544757958482
ACH-000387,-0.524789950612
ACH-000389,-1.03707626282
ACH-000390,-0.48835899638400004
ACH-000393,-0.690099255555
ACH-000395,-0.438098473352
ACH-000397,-0.553304791289
ACH-000401,-0.402212876276
ACH-000402,-0.588934238055
ACH-000403,-0.656679260761
ACH-000404,-0.27966588684099997
ACH-000406,-0.363319741672
ACH-000407,-0.42343419101199997
ACH-000408,-0.25475309190699996
ACH-000410,-0.397457257341
ACH-000411,-0.7245132656309999
ACH-000414,-0.651186918459
ACH-000415,-0.41484527762400003
ACH-000416,-0.25956258148
ACH-000420,-0.19389419983800002
ACH-000421,-0.641613672681
ACH-000424,-0.460936514412
ACH-000425,-0.506527034675
ACH-000426,-0.627323733235
ACH-000427,-0.803271260279
ACH-000433,-0.618762870505
ACH-000436,-0.470612903184
ACH-000444,-0.427957441303
ACH-000445,-0.495594203552
ACH-000448,-0.715371398556
ACH-000450,-0.636203473845
ACH-000452,-0.503759353969
ACH-000454,-0.43002808760399996
ACH-000458,-0.7087798696719999
ACH-000459,-0.272408030082
ACH-000460,-0.34981792600199996
ACH-000461,-0.407890271466
ACH-000463,-0.470909179053
ACH-000464,-0.830365822035
ACH-000466,-0.472462568075
ACH-000467,-0.535357458325
ACH-000468,-0.28790237903099997
ACH-000469,-0.486197172987
ACH-000470,-0.43504138625699995
ACH-000471,-0.6444389566300001
ACH-000472,-0.351639939674
ACH-000473,-0.5170215976929999
ACH-000475,-0.49389407909999994
ACH-000476,-0.479800197752
ACH-000477,-0.508855712972
ACH-000480,-0.45880554587399996
ACH-000481,-0.664100262627
ACH-000483,-0.213188101522
ACH-000484,-0.42402708024400004
ACH-000485,-0.817709408669
ACH-000486,-0.376673551674
ACH-000487,-0.436965606559
ACH-000488,-0.580824133176
ACH-000490,-0.554376260774
ACH-000491,-0.615578016841
ACH-000495,-0.963312890301
ACH-000496,-0.40539309374399995
ACH-000499,-0.183680703345
ACH-000500,-0.240963026834
ACH-000502,-0.491445406411
ACH-000503,-0.5741359737080001
ACH-000505,-0.539194376965
ACH-000507,-0.29873944981199996
ACH-000510,-0.429954433953
ACH-000511,-0.5139157580579999
ACH-000512,-0.246407434267
ACH-000516,-0.675328704816
ACH-000517,-0.701905714748
ACH-000518,-0.342729265761
ACH-000520,-0.668242647004
ACH-000521,-0.34871776833400003
ACH-000522,-0.595705750778
ACH-000524,-0.6064885232280001
ACH-000527,-0.33763443839699997
ACH-000528,-0.509084214416
ACH-000537,-0.618358626626
ACH-000541,-0.238789595984
ACH-000542,-0.642694670684
ACH-000544,-0.39805568693300003
ACH-000545,-0.568957355829
ACH-000547,-0.498472955943
ACH-000548,-0.424152353556
ACH-000549,-0.504557851207
ACH-000550,-0.5765203081570001
ACH-000552,-0.40760071816200005
ACH-000556,-0.356191024266
ACH-000557,-0.414971868957
ACH-000570,-0.575642878483
ACH-000571,-0.416775896884
ACH-000573,-0.44512808826300004
ACH-000576,-0.360751110663
ACH-000580,-0.623533870302
ACH-000584,-0.45387258032899996
ACH-000585,-0.41859300257
ACH-000588,-0.514990975083
ACH-000589,-0.438297255868
ACH-000591,-0.6006035902800001
ACH-000593,-0.452295683112
ACH-000600,-0.660491491764
ACH-000601,-0.460311136057
ACH-000604,-0.43929575263099996
ACH-000605,-0.48065381030599996
ACH-000606,-0.460363344296
ACH-000608,-0.602069522745
ACH-000614,-0.698704989929
ACH-000616,-0.531185569078
ACH-000618,-0.36152609395999996
ACH-000619,-0.39712259080799994
ACH-000620,-0.46616731003600004
ACH-000621,-0.47075085754900003
ACH-000622,-0.8897161641879999
