,CNOT6L (246175)
ACH-000004,-0.298477820277
ACH-000007,0.179881344217
ACH-000009,0.08704316452189999
ACH-000011,0.0392154794421
ACH-000012,-0.15065972822999998
ACH-000013,-0.058086063425
ACH-000014,-0.0336020153616
ACH-000015,-0.130666693408
ACH-000017,-0.37974169324
ACH-000018,0.00474206335619
ACH-000019,-0.181508066065
ACH-000021,-0.101323971797
ACH-000022,0.078922717201
ACH-000025,0.00213737291791
ACH-000028,-0.277370844569
ACH-000030,-0.0875529791625
ACH-000035,-0.0307168159629
ACH-000036,-0.054084070564400004
ACH-000037,-0.12254530710000001
ACH-000039,-0.0696402129983
ACH-000040,-0.0342505483867
ACH-000041,-0.157447446454
ACH-000042,-0.08555776865739999
ACH-000045,-0.0712424305743
ACH-000047,0.023220779325900002
ACH-000052,0.0679711345078
ACH-000053,0.049713005327500004
ACH-000054,-0.00944703682898
ACH-000055,-0.151179978883
ACH-000060,-0.0274101773192
ACH-000067,-0.239524933492
ACH-000070,0.0108077760751
ACH-000075,-0.27292592073800004
ACH-000078,0.12194076727299999
ACH-000082,-0.133118032928
ACH-000085,-0.0593903179241
ACH-000086,-0.0465677843891
ACH-000087,-0.209211614092
ACH-000092,-0.0909322720281
ACH-000095,-0.107784114848
ACH-000097,-0.253140791039
ACH-000098,0.028861504386100002
ACH-000099,0.016008072273
ACH-000108,0.0403303617864
ACH-000113,0.16996892369000002
ACH-000115,0.146196776778
ACH-000116,-0.187692872261
ACH-000118,0.00766900041794
ACH-000120,0.17320069661200002
ACH-000123,-0.267693372077
ACH-000127,-0.107333635524
ACH-000128,-0.06509275432709999
ACH-000132,0.000513703037214
ACH-000133,2.50535353981e-05
ACH-000137,-0.16246895477499998
ACH-000138,0.134395964023
ACH-000142,-0.12953463248
ACH-000143,-0.132392447517
ACH-000146,0.021662467396499997
ACH-000148,-0.00512813979758
ACH-000150,-0.205620344862
ACH-000152,0.137673113613
ACH-000153,-0.493851160622
ACH-000159,-0.18141795975900002
ACH-000160,-0.0409950798891
ACH-000163,-0.0858726897178
ACH-000167,-0.176585668257
ACH-000168,0.224069944364
ACH-000169,-0.12912024108200001
ACH-000178,-0.039463975523
ACH-000182,-0.11403410668500001
ACH-000183,0.00707867211553
ACH-000188,-0.227821433382
ACH-000189,-0.117578455433
ACH-000190,0.136884453726
ACH-000198,0.018716028166900003
ACH-000204,-0.0359065467835
ACH-000206,0.0414033591786
ACH-000207,-0.0795273217094
ACH-000211,-0.131910363204
ACH-000215,-0.11365756223899999
ACH-000221,0.041402174674900004
ACH-000222,0.196389610835
ACH-000223,-0.056376581645499996
ACH-000226,-0.189630808458
ACH-000227,-0.229190870348
ACH-000228,-0.114557716994
ACH-000231,-0.14853895354399999
ACH-000232,-0.0748187743567
ACH-000233,-0.0492234965838
ACH-000234,-0.17335705315299998
ACH-000235,-0.0613608905044
ACH-000237,-0.0986020201455
ACH-000238,0.006999043934350001
ACH-000243,-0.0511546825277
ACH-000244,0.009375821308600001
ACH-000246,-0.0718159905495
ACH-000248,-0.192107131003
ACH-000250,-0.09925255641580001
ACH-000251,0.0726237408095
ACH-000253,-0.0463841836519
ACH-000255,0.00427869164475
ACH-000256,-0.07071425915360001
ACH-000257,-0.229742475824
ACH-000258,0.0804732791896
ACH-000259,0.034906404023699995
ACH-000260,-0.0554583612009
ACH-000261,-0.135700306141
ACH-000262,-0.030533650869
ACH-000263,0.137473902369
ACH-000264,-0.026470711187200003
ACH-000265,-0.164402238776
ACH-000266,0.0107824516423
ACH-000272,-0.0118138914944
ACH-000273,-0.113616687064
ACH-000274,-0.0375976033412
ACH-000277,0.00367297308727
ACH-000278,0.00890207282482
ACH-000279,0.0143694250608
ACH-000280,0.10904491601199999
ACH-000281,-0.10738417624600001
ACH-000288,-0.0368423317336
ACH-000291,-0.0171385754257
ACH-000293,-0.056501727428
ACH-000294,0.09147452107550001
ACH-000295,-0.18110657368900002
ACH-000296,0.0921614409788
ACH-000302,-0.1048759415
ACH-000304,-0.166449570785
ACH-000307,-0.0732886920898
ACH-000308,-0.103950503144
ACH-000310,-0.125201283645
ACH-000311,-0.107054954635
ACH-000312,0.0694231391361
ACH-000315,0.0267026202914
ACH-000316,-0.263287589712
ACH-000317,-0.0702316467898
ACH-000318,-0.0316275715941
ACH-000319,-0.131360712535
ACH-000320,-0.199266196496
ACH-000322,-0.0265419769608
ACH-000323,-0.0946583711848
ACH-000324,-0.00785020466729
ACH-000329,-0.0413749624914
ACH-000330,-0.299300712655
ACH-000331,-0.0534627454584
ACH-000332,0.07913543361139999
ACH-000334,-0.381991700631
ACH-000335,-0.193536266895
ACH-000336,-0.12031879685699999
ACH-000337,0.0382798658594
ACH-000339,-0.06395981879599999
ACH-000341,-0.0839729943788
ACH-000348,-0.117202460713
ACH-000350,0.09234109981110002
ACH-000352,-0.222208382812
ACH-000356,-0.242886226155
ACH-000361,0.050249440396300006
ACH-000362,0.18246293896899998
ACH-000363,0.126359121717
ACH-000364,-0.107854420972
ACH-000365,0.07881048770719999
ACH-000366,-0.150696326131
ACH-000368,-0.228884365263
ACH-000374,-0.119866875426
ACH-000375,0.031357230964200004
ACH-000376,-0.0934675420684
ACH-000381,-0.108586237124
ACH-000383,-0.138376751293
ACH-000387,-0.10195743579
ACH-000389,-0.122604405098
ACH-000390,-0.156104366455
ACH-000393,-0.0624645334005
ACH-000395,0.131992672063
ACH-000397,-0.0771109557375
ACH-000401,-0.09953762403079999
ACH-000402,-0.030130172483
ACH-000403,-0.122701131033
ACH-000404,-0.5574953859080001
ACH-000406,-0.021458053616999997
ACH-000407,-0.0471272837247
ACH-000408,-0.16370295842
ACH-000410,-0.10667602317500001
ACH-000411,0.0726866399493
ACH-000414,0.053004807383500004
ACH-000415,-0.190093045397
ACH-000416,-0.0728933817715
ACH-000420,0.018062041386400003
ACH-000421,-0.0860186927981
ACH-000424,-0.0972196845465
ACH-000425,-0.127634300713
ACH-000426,-0.0485952802859
ACH-000427,-0.732187912422
ACH-000433,0.0784651240835
ACH-000436,0.161451037569
ACH-000444,0.025453145746299997
ACH-000445,-0.15406950133400002
ACH-000448,-0.0599601615004
ACH-000450,-0.15728731492
ACH-000452,-0.06749992608819999
ACH-000454,-0.261949075823
ACH-000458,0.00868143112177
ACH-000459,-0.17081747026799998
ACH-000460,0.12236603744999999
ACH-000461,-0.324579877535
ACH-000463,-0.0497527041763
ACH-000464,-0.18954373459899998
ACH-000466,-0.188679693561
ACH-000467,0.026985572892299997
ACH-000468,-0.039646575445400005
ACH-000469,-0.25341707597
ACH-000470,0.175506104481
ACH-000471,-0.00119509268504
ACH-000472,-0.0767422730919
ACH-000473,-0.0440289196243
ACH-000475,-0.0442764592659
ACH-000476,-0.161842132734
ACH-000477,0.154127024832
