,FTH1 (2495)
ACH-000004,-0.44062059558300004
ACH-000007,-0.40826323335000003
ACH-000009,-0.41990288781199997
ACH-000011,-0.30272867009599996
ACH-000012,-0.316736841093
ACH-000013,-0.158069740752
ACH-000014,-0.32411616361900003
ACH-000015,-0.30250905128899996
ACH-000017,-0.24237519599100002
ACH-000018,-0.296454840695
ACH-000019,-0.383123187182
ACH-000021,-0.43891732078900003
ACH-000022,-0.462689915128
ACH-000025,-0.442660780525
ACH-000028,-0.306383597746
ACH-000030,-0.38297407194399996
ACH-000035,-0.640014490492
ACH-000036,-0.579527366099
ACH-000037,-0.236720151284
ACH-000039,-0.830454042535
ACH-000040,-0.470443486792
ACH-000041,-0.36572259418200004
ACH-000042,-0.26445271508900003
ACH-000045,-0.24325013035999998
ACH-000047,-0.330726918301
ACH-000052,-0.326335101084
ACH-000053,-0.46083259775799995
ACH-000054,-0.34877422387699997
ACH-000055,-0.411349340273
ACH-000060,-0.29139156696199997
ACH-000067,-0.434254760806
ACH-000070,-0.697962901558
ACH-000075,-0.15215994565
ACH-000078,-0.28945557585799997
ACH-000082,-0.39827443433
ACH-000085,-0.445346015536
ACH-000086,-0.5306292322899999
ACH-000087,-0.533422882647
ACH-000092,-0.36914193455300004
ACH-000095,-0.332279843985
ACH-000097,-0.232580404586
ACH-000098,-0.36997544367299995
ACH-000099,-0.385032101228
ACH-000108,-0.512481188819
ACH-000113,-0.30239096441999996
ACH-000115,-0.5075103622420001
ACH-000116,-0.399173233995
ACH-000118,-0.45518913473800005
ACH-000120,-0.34868933791
ACH-000123,-0.443961425075
ACH-000127,-0.382309919577
ACH-000128,-0.371084777157
ACH-000132,-0.656605987366
ACH-000133,-0.30591601362599996
ACH-000137,-0.309137255037
ACH-000138,-0.42414554477899996
ACH-000142,-0.42292409069200004
ACH-000143,-0.575887108776
ACH-000146,-0.286450308331
ACH-000148,-0.19416170013599998
ACH-000150,-0.5889815161559999
ACH-000152,-0.47190517535
ACH-000153,-0.846411555578
ACH-000159,-0.353007215935
ACH-000160,-0.37896287897200004
ACH-000163,-0.40474114431599995
ACH-000167,-0.510163108017
ACH-000168,-0.325969763772
ACH-000169,-0.563286559388
ACH-000178,-0.37227554331
ACH-000182,-0.522312282619
ACH-000183,-0.477785617132
ACH-000188,-0.43354302099799996
ACH-000189,-0.5094389670889999
ACH-000190,-0.508834600321
ACH-000198,-0.537866258124
ACH-000204,-0.47956570438600005
ACH-000206,-0.327283774553
ACH-000207,-0.595669531254
ACH-000211,-0.510523268429
ACH-000215,-0.29631726275
ACH-000221,-0.336674636874
ACH-000222,-0.103306135735
ACH-000223,-0.516724738856
ACH-000226,-0.288986978041
ACH-000227,-0.307851647936
ACH-000228,-0.483146574107
ACH-000231,-0.371159672146
