,SMARCB1 (6598)
ACH-000004,-1.38439177019
ACH-000007,-0.904874427184
ACH-000009,-0.54919717373
ACH-000011,-1.07756062811
ACH-000012,-1.1815713811700002
ACH-000013,-1.5341830592399999
ACH-000014,-0.597447610316
ACH-000015,-0.534505078039
ACH-000017,-1.63366523477
ACH-000018,-1.14847711785
ACH-000019,-1.24026264411
ACH-000021,-1.3756155144600002
ACH-000022,-1.11255613576
ACH-000025,-1.26077691285
ACH-000028,-1.0522514254700002
ACH-000030,-1.4531183034200001
ACH-000035,-1.04815764364
ACH-000036,-1.26725236474
ACH-000037,-1.0619720026100001
ACH-000039,-0.7155462458699999
ACH-000040,-1.09952170669
ACH-000041,-0.693150104542
ACH-000042,-0.930244151773
ACH-000045,-1.20728743224
ACH-000047,-0.871076197419
ACH-000052,-1.0903837280600002
ACH-000053,-1.16288108214
ACH-000054,-0.745864440504
ACH-000055,-1.39608439607
ACH-000060,-1.2865574039799998
ACH-000067,-1.25016967526
ACH-000070,-1.12704759375
ACH-000075,-1.1066184010200002
ACH-000078,-0.946560143411
ACH-000082,-0.7803289650390001
ACH-000085,-1.3417617634999999
ACH-000086,-1.06993366034
ACH-000087,-1.0889083101200001
ACH-000092,-1.35055653495
ACH-000095,-1.1499357691399998
ACH-000097,-0.9472197820389999
ACH-000098,-1.43581465736
ACH-000099,-0.9615416565200001
ACH-000108,-1.20545443596
ACH-000113,-1.05530858841
ACH-000115,-1.83984370632
ACH-000116,-1.11534750845
ACH-000118,-1.20233343593
ACH-000120,-1.17129429225
ACH-000123,-0.456317668719
ACH-000127,-0.8524345132529999
ACH-000128,-0.854510902077
ACH-000132,-1.30319928988
ACH-000133,-1.2496523078100001
ACH-000137,-0.8025212617030001
ACH-000138,-1.03100412635
ACH-000142,-0.92099462823
ACH-000143,-1.41381972408
ACH-000146,-1.3757167010799998
ACH-000148,-0.690197731629
ACH-000150,-1.5244775570500002
ACH-000152,-0.370761137316
ACH-000153,-0.779199558012
ACH-000159,-1.2203098324
ACH-000160,-0.803799818538
ACH-000163,-1.1231461130299998
ACH-000167,-0.495613363252
ACH-000168,-1.19601637521
ACH-000169,-1.16208305994
ACH-000178,-0.96148107989
ACH-000182,-0.6947998542110001
ACH-000183,-1.6917737314899999
ACH-000188,-1.3678933765299999
ACH-000189,-0.7820120572429999
ACH-000190,-0.8492521050090001
ACH-000198,-1.15464103221
ACH-000204,-1.16798761701
ACH-000206,-1.27479251925
ACH-000207,-0.99672678205
ACH-000211,-0.7274457456450001
ACH-000215,-0.601477969648
ACH-000221,-0.17947958670800002
ACH-000222,-1.17175915683
ACH-000223,-1.01652605601
ACH-000226,-1.02175648292
ACH-000227,-1.4244090312900002
ACH-000228,-1.22830105265
ACH-000231,-0.7204911289210001
ACH-000232,-1.1240709102700002
ACH-000233,-0.8720686117149999
ACH-000234,-0.386691106537
ACH-000235,-0.536911997511
ACH-000237,-0.940742474338
ACH-000238,-1.2608244291
ACH-000243,-1.2449506235799999
ACH-000244,-1.27001287719
ACH-000246,-0.928898383097
ACH-000248,-1.29265351084
ACH-000250,-0.75367092064
ACH-000251,-1.0366384997
ACH-000253,-0.901467729798
ACH-000255,-1.3192663120600001
ACH-000256,-1.39319077132
ACH-000257,-1.3438795149200002
ACH-000258,-1.75685635618
ACH-000259,-1.0288935120799998
ACH-000260,-1.20194819119
ACH-000261,-1.11839693278
ACH-000262,-0.542528173546
ACH-000263,-0.9004051271600001
ACH-000264,-1.64039114872
ACH-000265,-1.25177878056
ACH-000266,-1.25883932522
ACH-000272,-0.223643657477
ACH-000273,-1.12603018893
ACH-000274,-1.33083568642
ACH-000277,-1.2035983243000001
ACH-000278,-1.4517519025799999
ACH-000279,-1.0675411509200001
ACH-000280,-0.8767862278799998
ACH-000281,-1.17757753326
ACH-000288,-1.74496271555
ACH-000291,-0.9212730507189999
ACH-000293,-1.3562495375499999
ACH-000294,-1.3296815455
ACH-000295,-0.351945347229
ACH-000296,-1.1810474036299998
ACH-000302,-0.9532468636579999
ACH-000304,-1.3558397339200001
ACH-000307,-1.15201380258
ACH-000308,-0.188813538431
ACH-000310,-1.21947957306
ACH-000311,-1.27834332898
ACH-000312,-1.2164742458600002
ACH-000315,-1.4371471991799998
ACH-000316,-1.0726870960400001
ACH-000317,-1.13395316293
ACH-000318,-0.81715213299
ACH-000319,-1.0863448396100002
ACH-000320,-1.20748642238
ACH-000322,-1.22213812214
ACH-000323,-1.07561600094
ACH-000324,-1.0741508198799998
ACH-000329,-1.10406605637
ACH-000330,-1.34184679635
ACH-000331,-1.07415720701
ACH-000332,-0.8004403527159999
ACH-000334,-1.1020731786799998
ACH-000335,-0.8200018752220001
ACH-000336,-1.08803532467
ACH-000337,-1.17635534139
ACH-000339,-1.34387564211
ACH-000341,-1.19306117865
ACH-000348,-1.2306812083299998
ACH-000350,-1.36897614641
ACH-000352,-1.52364428588
ACH-000356,-1.31233078061
ACH-000361,-1.18540667477
ACH-000362,-1.24469115569
ACH-000363,-1.34760687438
ACH-000364,-0.7909622119449999
ACH-000365,-1.31812843512
ACH-000366,-1.51148466312
ACH-000368,-0.866626399984
ACH-000374,-0.402543707884
ACH-000375,-0.545552020441
ACH-000376,-1.0900650568999999
ACH-000381,-1.3618815825
ACH-000383,-1.11413376934
ACH-000387,-1.74743614344
ACH-000389,-1.3008817063299998
ACH-000390,-1.18281525881
ACH-000393,-1.0680078259999999
ACH-000395,-1.28780693838
ACH-000397,-0.7728919584399999
ACH-000401,-1.07950165915
ACH-000402,-1.07730871485
ACH-000403,-0.8603176996080001
ACH-000404,-1.05313891214
ACH-000406,-1.64899106061
ACH-000407,-1.32705705294
ACH-000408,-1.01758751836
ACH-000410,-0.998497328387
ACH-000411,-0.8180198762
ACH-000414,-1.1829465109200001
ACH-000415,-1.33447645528
ACH-000416,-1.20280714377
ACH-000420,-0.887297962495
ACH-000421,-1.0385936037999999
ACH-000424,-0.898271794114
ACH-000425,-0.894956510438
ACH-000426,-1.5561423590399999
ACH-000427,-0.630586216588
ACH-000433,-0.450356052284
ACH-000436,-1.2707917353
ACH-000444,-1.12398399802
ACH-000445,-1.08404437729
ACH-000448,-1.05891512767
ACH-000450,-1.3620123609399999
ACH-000452,-0.816473067302
ACH-000454,-1.2914756571700001
ACH-000458,-1.22051429985
ACH-000459,-0.507646220177
ACH-000460,-1.3056685080200001
ACH-000461,-1.3151008393899999
ACH-000463,-0.917861483079
ACH-000464,-0.6752792004189999
ACH-000466,-0.9766285164190001
ACH-000467,-1.16147177058
ACH-000468,-1.0982004999700001
ACH-000469,-1.38782679493
ACH-000470,-0.779258756016
ACH-000471,-0.24413566452
ACH-000472,-0.505171225126
ACH-000473,-1.326623521
ACH-000475,-0.875436773065
ACH-000476,-0.5251150044389999
ACH-000477,-1.1867337558
ACH-000480,-1.27130744055
ACH-000481,-1.04784290637
ACH-000483,-1.7264745744999999
ACH-000484,-0.736613665069
ACH-000485,-1.10878986408
