,MEPCE (56257)
ACH-000004,-1.07702780309
ACH-000007,-0.558694006783
ACH-000009,-0.852379170176
ACH-000011,-0.6715914925300001
ACH-000012,-0.835516946145
ACH-000013,-0.728515404703
ACH-000014,-0.613930572481
ACH-000015,-0.861263918071
ACH-000017,-0.8138446225920001
ACH-000018,-0.8001705204430001
ACH-000019,-0.668929136639
ACH-000021,-0.9295166846420001
ACH-000022,-0.80995730029
ACH-000025,-0.7523393148849999
ACH-000028,-0.614323583006
ACH-000030,-0.801661896278
ACH-000035,-0.9172120766419999
ACH-000036,-0.796209930449
ACH-000037,-1.07514498217
ACH-000039,-1.05067090822
ACH-000040,-1.14585685407
ACH-000041,-1.170434211
ACH-000042,-0.8862825562369999
ACH-000045,-0.8289942109020001
ACH-000047,-0.7830191809020001
ACH-000052,-0.806824938215
ACH-000053,-0.830682930794
ACH-000054,-0.704316696484
ACH-000055,-1.19400124823
ACH-000060,-0.924718134354
ACH-000067,-1.1662370136799998
ACH-000070,-0.72983700384
ACH-000075,-1.24931746137
ACH-000078,-0.819006106313
ACH-000082,-1.0765992214
ACH-000085,-0.753845526398
ACH-000086,-0.70004581141
ACH-000087,-1.07799036506
ACH-000092,-1.08936664404
ACH-000095,-1.15334956998
ACH-000097,-0.8867792044339999
ACH-000098,-0.734870986824
ACH-000099,-0.912898430171
ACH-000108,-0.9117982135070001
ACH-000113,-0.8470390792370001
ACH-000115,-1.0775158991299998
ACH-000116,-0.826676483536
ACH-000118,-0.9426276139499999
ACH-000120,-0.939521762922
ACH-000123,-0.9057796207359999
ACH-000127,-1.02876082393
ACH-000128,-1.00145763971
ACH-000132,-1.12364019965
ACH-000133,-1.0293121625700001
ACH-000137,-0.7630141761679999
ACH-000138,-0.592612896054
ACH-000142,-0.802317553984
ACH-000143,-0.834163753726
ACH-000146,-1.08141013
ACH-000148,-0.831491831656
ACH-000150,-0.481139577195
ACH-000152,-0.9961369411669999
ACH-000153,-0.8354697463899999
ACH-000159,-0.8939690497570001
ACH-000160,-0.833906684457
ACH-000163,-1.03608912604
ACH-000167,-0.920908756867
ACH-000168,-0.563541806388
ACH-000169,-0.9908484559880001
ACH-000178,-0.699471001347
ACH-000182,-0.776306788259
ACH-000183,-0.712821840689
ACH-000188,-0.819702993911
ACH-000189,-0.7593914515710001
ACH-000190,-0.643438579842
ACH-000198,-0.947584443232
ACH-000204,-1.10661114237
ACH-000206,-0.8655328828640001
ACH-000207,-0.757665083893
ACH-000211,-0.688887390323
ACH-000215,-0.688123897466
ACH-000221,-1.09015557593
ACH-000222,-0.889441115149
ACH-000223,-0.916095833672
ACH-000226,-0.8549825028820001
ACH-000227,-1.02734217378
ACH-000228,-0.8364800725820001
ACH-000231,-1.07875148369
ACH-000232,-0.790869393229
ACH-000233,-0.68181691748
ACH-000234,-0.843388900994
ACH-000235,-0.807278682191
ACH-000237,-1.02597248968
ACH-000238,-0.786635444749
ACH-000243,-0.619435131329
ACH-000244,-1.0493166902200002
ACH-000246,-0.5505509515470001
ACH-000248,-0.592148901056
ACH-000250,-0.623800266556
ACH-000251,-0.702668550741
ACH-000253,-1.1039460521200002
ACH-000255,-0.975177457544
ACH-000256,-0.8840631524889999
ACH-000257,-0.910610834165
ACH-000258,-0.974675460254
ACH-000259,-1.1017690570899998
ACH-000260,-0.9371290605239999
ACH-000261,-0.7203124964000001
ACH-000262,-1.00396831874
ACH-000263,-0.769469208189
ACH-000264,-0.919706365978
ACH-000265,-0.7943931654449999
ACH-000266,-0.476756714325
ACH-000272,-0.7831950382840001
ACH-000273,-0.8386132801010001
ACH-000274,-1.043186958
ACH-000277,-0.789722648554
ACH-000278,-1.02593816437
ACH-000279,-0.822515840658
ACH-000280,-0.938114839224
ACH-000281,-0.868218661967
ACH-000288,-0.856849611362
ACH-000291,-0.740461928422
