,RAD51 (5888)
ACH-000004,-1.1964042253799998
ACH-000007,-0.980849541355
ACH-000009,-1.04032455329
ACH-000011,-1.0467830892299999
ACH-000012,-1.17218636244
ACH-000013,-0.570495354548
ACH-000014,-1.04920514345
ACH-000015,-0.904277828909
ACH-000017,-0.680968010184
ACH-000018,-0.821114429357
ACH-000019,-1.63507563813
ACH-000021,-1.00754078467
ACH-000022,-1.22667209582
ACH-000025,-0.9361846064839999
ACH-000028,-1.05107562337
ACH-000030,-1.3114065661
ACH-000035,-0.867519416638
ACH-000036,-0.713717651266
ACH-000037,-1.07376297493
ACH-000039,-1.45373558835
ACH-000040,-1.08774852876
ACH-000041,-1.03601847698
ACH-000042,-1.3018666780200001
ACH-000045,-0.9254116742190001
ACH-000047,-1.1564673481
ACH-000052,-0.9267070642659999
ACH-000053,-0.9165453432009999
ACH-000054,-1.13314685491
ACH-000055,-1.10560886521
ACH-000060,-1.07239920045
ACH-000067,-1.18615378345
ACH-000070,-1.13114958993
ACH-000075,-1.26620896433
ACH-000078,-1.00447108235
ACH-000082,-1.09062751722
ACH-000085,-0.963047012164
ACH-000086,-0.7385437211839999
ACH-000087,-0.874875336739
ACH-000092,-0.7032834035709999
ACH-000095,-1.1060973056299999
ACH-000097,-1.16029431673
ACH-000098,-0.732533114827
ACH-000099,-0.9486499266930001
ACH-000108,-0.762507588415
ACH-000113,-0.9290599150100001
ACH-000115,-1.04813919944
ACH-000116,-1.01614348973
ACH-000118,-1.03807084183
ACH-000120,-1.14187223343
ACH-000123,-0.960546609631
ACH-000127,-1.1459777532
ACH-000128,-1.07750265829
ACH-000132,-0.8852342739200001
ACH-000133,-1.0167023659799999
ACH-000137,-0.906123158093
ACH-000138,-0.929520687466
ACH-000142,-0.803292042386
ACH-000143,-0.759115189226
ACH-000146,-0.7808445388549999
ACH-000148,-0.9291948148450001
ACH-000150,-0.735159160631
ACH-000152,-1.00245060302
ACH-000153,-1.4765210820200003
ACH-000159,-0.9696597837600001
ACH-000160,-1.74278554509
ACH-000163,-0.965087770343
