,YME1L1 (10730)
ACH-000004,-0.21736207471900001
ACH-000007,-0.5606989472039999
ACH-000009,-0.236241989259
ACH-000011,-0.00358117186024
ACH-000012,-0.14770627242599998
ACH-000013,0.135518491619
ACH-000014,-0.35029863617
ACH-000015,-0.332970108585
ACH-000017,-0.525608586455
ACH-000018,-0.519645717917
ACH-000019,-0.951852261756
ACH-000021,-0.584540980819
ACH-000022,-0.791035559213
ACH-000025,-0.0558646976311
ACH-000028,-0.37951320513400005
ACH-000030,-0.474589652948
ACH-000035,-0.714695133565
ACH-000036,-0.305461244464
ACH-000037,-0.274457299255
ACH-000039,-0.623938143275
ACH-000040,-0.728136519015
ACH-000041,-0.09503323765110001
ACH-000042,-0.46408173321
ACH-000045,-0.7823335092910001
ACH-000047,-0.337358309301
ACH-000052,-0.266603243911
ACH-000053,-0.518770263511
ACH-000054,-0.270859332103
ACH-000055,-0.0425440383344
ACH-000060,-0.5843380702350001
ACH-000067,0.0987731436823
ACH-000070,-0.6177384174180001
ACH-000075,-0.36903041982100004
ACH-000078,0.025315518856799998
ACH-000082,-0.162129112582
ACH-000085,-0.57412886429
ACH-000086,-0.149025569818
ACH-000087,-0.25500309180799996
ACH-000092,-0.14565100274
ACH-000095,-0.260638093719
ACH-000097,-0.154410500655
ACH-000098,-0.268228230984
ACH-000099,-0.102853681186
ACH-000108,-0.499292725474
ACH-000113,-0.581866128452
ACH-000115,-0.18836382796300002
ACH-000116,-0.9823036026109999
ACH-000118,-0.559380070627
ACH-000120,-0.34725964747
ACH-000123,-0.359811686413
ACH-000127,-0.702247515141
ACH-000128,-0.660102147336
ACH-000132,-0.17929866373599998
ACH-000133,-0.208315094362
ACH-000137,-0.221670135856
ACH-000138,-0.42847293138400006
ACH-000142,-0.33825170073399996
ACH-000143,-0.156682614975
ACH-000146,-0.463728417059
ACH-000148,-0.395718482432
ACH-000150,-0.084652816757
ACH-000152,0.0577799796385
ACH-000153,-0.541166572911
ACH-000159,-0.37367035542099997
ACH-000160,-0.48005829776000003
ACH-000163,-0.476186027412
ACH-000167,-0.484258848829
ACH-000168,-0.557810767129
ACH-000169,-0.480095230332
