,CALCOCO1 (57658)
ACH-000004,-0.308003253238
ACH-000007,-0.366087910582
ACH-000009,-0.109528963093
ACH-000011,-0.19399323259399998
ACH-000012,-0.292362389758
ACH-000013,-0.299621740561
ACH-000014,-0.130534302879
ACH-000015,-0.280247531453
ACH-000017,-0.0129646475554
ACH-000018,-0.555771276395
ACH-000019,-0.176193265986
ACH-000021,-0.216368221307
ACH-000022,-0.289213989072
ACH-000025,-0.42991717269199997
ACH-000028,-0.492535011982
ACH-000030,-0.34886893044100004
ACH-000035,-0.5201567160530001
ACH-000036,-0.317152367
ACH-000037,-0.53187166675
ACH-000039,-0.353044889815
ACH-000040,-0.323617869492
ACH-000041,-0.433737261594
ACH-000042,-0.230073625966
ACH-000045,-0.46196869830700005
ACH-000047,-0.33465078862799996
ACH-000052,-0.260267829505
ACH-000053,-0.257552675733
ACH-000054,-0.361806900528
ACH-000055,-0.233802170988
ACH-000060,-0.0787893375783
ACH-000067,-0.41317364175300003
ACH-000070,-0.303132939552
ACH-000075,0.11241813050699999
ACH-000078,-0.077692921651
ACH-000082,-0.299895379887
ACH-000085,-0.481980391858
ACH-000086,-0.373427137959
ACH-000087,-0.2550619696
ACH-000092,-0.10635550489600001
ACH-000095,-0.266897363838
ACH-000097,-0.369789522563
ACH-000098,-0.234430381305
ACH-000099,-0.153770100666
ACH-000108,-0.255933295291
ACH-000113,-0.512557269603
ACH-000115,-0.230194045689
ACH-000116,-0.21298246259599998
ACH-000118,-0.35177181694399995
ACH-000120,-0.312110324173
ACH-000123,-0.38794386127400005
ACH-000127,-0.213605242877
ACH-000128,-0.44922858906400004
ACH-000132,-0.0316476829129
ACH-000133,-0.38910904389
ACH-000137,-0.5114419858929999
ACH-000138,-0.39825896635700003
ACH-000142,-0.33764166121100003
ACH-000143,-0.139010628089
ACH-000146,-0.303684737067
ACH-000148,-0.294487207767
ACH-000150,-0.237320273367
ACH-000152,-0.468117808418
ACH-000153,-0.466187900863
ACH-000159,-0.16301971042000002
ACH-000160,0.0326665350028
ACH-000163,-0.360071279559
ACH-000167,0.22685265147300002
ACH-000168,-0.44156233333000006
ACH-000169,-0.250356444229
ACH-000178,-0.28896505761
ACH-000182,-0.26536586181099997
ACH-000183,-0.307583603699
ACH-000188,-0.27224328772399997
ACH-000189,-0.431456462908
ACH-000190,0.199624678006
ACH-000198,-0.497277980248
ACH-000204,-0.33951778510499997
ACH-000206,-0.19129531445999998
ACH-000207,-0.156835925495
ACH-000211,-0.220130715609
ACH-000215,-0.27531465850299996
ACH-000221,-0.22094652267499998
ACH-000222,-0.10560188979599999
ACH-000223,-0.17590941975299998
ACH-000226,-0.301178259414
ACH-000227,0.047121094447599994
ACH-000228,-0.38240239332500003
ACH-000231,-0.215255677959
ACH-000232,-0.21747847473999998
ACH-000233,-0.261067813048
ACH-000234,-0.310353576524
ACH-000235,-0.33335291518300003
ACH-000237,-0.180717845583
ACH-000238,-0.38570999793300004
ACH-000243,-0.26325544004900003
ACH-000244,-0.372620439944
ACH-000246,-0.395991552134
ACH-000248,-0.232201980715
ACH-000250,-0.112655011963
ACH-000251,-0.42224642978
ACH-000253,-0.0715259411618
ACH-000255,-0.41683372756
ACH-000256,-0.41754961825000003
ACH-000257,-0.510094720154
ACH-000258,-0.4255289096
ACH-000259,-0.243768448898
ACH-000260,-0.283097857367
ACH-000261,-0.35202387291500004
ACH-000262,-0.179516836908
ACH-000263,-0.44303765027099995
ACH-000264,-0.293825139974
ACH-000265,-0.269402830356
ACH-000266,-0.287901307871
ACH-000272,-0.159583946137
ACH-000273,-0.143884851944
ACH-000274,-0.451448362809
ACH-000277,-0.223063122122
ACH-000278,-0.242023827879
ACH-000279,-0.276206882615
ACH-000280,-0.33476044103
ACH-000281,-0.444610198113
ACH-000288,-0.331310591411
ACH-000291,-0.27252152305
ACH-000293,-0.336825220479
ACH-000294,-0.427807258111
ACH-000295,-0.27214434030400003
ACH-000296,-0.195227795613
ACH-000302,-0.15345624471799998
ACH-000304,-0.158942568745
ACH-000307,-0.182117626252
ACH-000308,-0.33192502425000003
ACH-000310,-0.33760928895099995
ACH-000311,-0.35307639561399995
ACH-000312,-0.5022528679070001
ACH-000315,-0.19777899427600001
ACH-000316,-0.053560322273699994
ACH-000317,-0.00173837384445
ACH-000318,-0.423231676209
ACH-000319,-0.38642346803000005
ACH-000320,-0.377863073341
ACH-000322,-0.318423654461
ACH-000323,-0.157267871269
ACH-000324,-0.3083123384
ACH-000329,-0.15884955789799998
ACH-000330,-0.33299202446
ACH-000331,-0.222153359201
ACH-000332,-0.228779585929
ACH-000334,-0.18587439480700002
ACH-000335,-0.344251508208
ACH-000336,-0.299548418667
ACH-000337,-0.593723112627
ACH-000339,-0.221918313148
ACH-000341,-0.117450286921
ACH-000348,-0.39349190891999997
ACH-000350,-0.308951274676
ACH-000352,-0.276221533148
ACH-000356,-0.369465386741
ACH-000361,-0.486796823165
ACH-000362,-0.36314919137199997
ACH-000363,-0.35886484077200004
ACH-000364,-0.378430316434
ACH-000365,-0.359592726907
ACH-000366,-0.21515320584699998
ACH-000368,-0.49530118237
ACH-000374,-0.220865687673
ACH-000375,-0.33621246862599996
