,UPK1A (11045)
ACH-000004,-0.163892121329
ACH-000007,-0.0911138632863
ACH-000009,-0.0725267964521
ACH-000011,-0.243302818533
ACH-000012,0.0294976160637
ACH-000013,-0.546587351447
ACH-000014,-0.518591033826
ACH-000015,-0.23469575487599997
ACH-000017,-0.111681564914
ACH-000018,-0.20744492397
ACH-000019,-0.0516096294744
ACH-000021,-0.33495344146
ACH-000022,-0.205711984294
ACH-000025,-0.0727961832214
ACH-000028,-0.102633405642
ACH-000030,-0.291984106966
ACH-000035,-0.386122254868
ACH-000036,-0.06987012242889999
ACH-000037,-0.322935541561
ACH-000039,-0.00355601360027
ACH-000040,-0.0642936896643
ACH-000041,-0.021531024994200003
ACH-000042,-0.174276927445
ACH-000045,-0.13870689740800002
ACH-000047,-0.062808656435
ACH-000052,-0.09825700249939999
ACH-000053,-0.223090209668
ACH-000054,-0.17909731764400003
ACH-000055,-0.212984417218
ACH-000060,-0.13325753472100002
ACH-000067,-0.336627099895
ACH-000070,0.0202601138127
ACH-000075,-0.107457586691
ACH-000078,0.059492738157099996
ACH-000082,-0.132727243344
ACH-000085,-0.315997945021
ACH-000086,-0.126883781164
ACH-000087,0.0497353692795
ACH-000092,-0.430244511083
ACH-000095,-0.0312919099241
ACH-000097,-0.292297148094
ACH-000098,-0.28799677998100004
ACH-000099,-0.02621338975
ACH-000108,-0.49157910119
ACH-000113,-0.259938296853
ACH-000115,-0.199181208245
ACH-000116,-0.12744219582900002
ACH-000118,-0.203962377658
ACH-000120,-0.197175540306
ACH-000123,-0.133720406761
ACH-000127,-0.0701453705496
ACH-000128,0.0275886512403
ACH-000132,-0.0881525564149
ACH-000133,-0.23762322009300002
ACH-000137,-0.468532422332
ACH-000138,-0.225582652333
ACH-000142,-0.231640644786
ACH-000143,0.0595965250536
ACH-000146,-0.11623360996099999
ACH-000148,-0.14877265685399998
ACH-000150,-0.326027410363
ACH-000152,-0.13294940233
ACH-000153,-0.338615647618
ACH-000159,-0.15653496661900002
ACH-000160,-0.0845408562857
ACH-000163,-0.13935716134
ACH-000167,-0.008858621944290001
ACH-000168,-0.12107372976900001
ACH-000169,0.0573145277415
ACH-000178,-0.137081215093
ACH-000182,-0.264664811842
ACH-000183,-0.308618993373
ACH-000188,-0.0810735306282
ACH-000189,-0.19484462930500002
ACH-000190,-0.29820501855799997
ACH-000198,-0.175611904799
ACH-000204,-0.000586967376541
ACH-000206,-0.14251282435
ACH-000207,-0.21616315666299998
ACH-000211,-0.0766368428079
ACH-000215,-0.19733210891
ACH-000221,-0.37047918875
ACH-000222,-0.37158667708400006
ACH-000223,-0.0395251350006
ACH-000226,-0.192275793996
ACH-000227,-0.164553102512
ACH-000228,-0.38101324048699997
ACH-000231,-0.0415872435751
ACH-000232,-0.177054163026
ACH-000233,-0.125720917754
ACH-000234,-0.22106570946100002
ACH-000235,-0.261928952662
ACH-000237,-0.204128095725
ACH-000238,0.153966703994
ACH-000243,-0.261243195516
ACH-000244,-0.20180506078699997
ACH-000246,-0.11760899060100001
ACH-000248,-0.0766274193658
ACH-000250,-0.035899022975800006
ACH-000251,-0.09958566971090001
ACH-000253,-0.116189430361
ACH-000255,-0.300303864109
ACH-000256,-0.110118542181
ACH-000257,0.200493619341
ACH-000258,-0.029489150221299998
ACH-000259,-0.153142245964
ACH-000260,-0.12785143519
ACH-000261,-0.0565392997397
ACH-000262,-0.239309073565
ACH-000263,0.270519265564
ACH-000264,-0.115375568695
ACH-000265,-0.229428272989
ACH-000266,-0.19957335242
ACH-000272,0.0315903352634
ACH-000273,-0.15798318624000002
ACH-000274,-0.0905430678262
ACH-000277,-0.012395634079700001
