,UNK (85451)
ACH-000004,-0.205847214111
ACH-000007,-0.07665069749219999
ACH-000009,-0.27498748865
ACH-000011,-0.041811704935
ACH-000012,-0.104725892807
ACH-000013,-0.138004995303
ACH-000014,-0.0120703253495
ACH-000015,-0.16947762152100002
ACH-000017,-0.301779408874
ACH-000018,-0.20985470314500002
ACH-000019,-0.22806913715100002
ACH-000021,-0.286467158326
ACH-000022,-0.11252178299799999
ACH-000025,-0.09141909637589998
ACH-000028,-0.2914378089
ACH-000030,-0.25664623259799996
ACH-000035,-0.295418356374
ACH-000036,-0.181713665658
ACH-000037,-0.35979263447099996
ACH-000039,0.062239054479599994
ACH-000040,-0.07434262032269999
ACH-000041,-0.217191062597
ACH-000042,-0.260237552184
ACH-000045,-0.0409826185394
ACH-000047,-0.212126602689
ACH-000052,-0.11676942435599999
ACH-000053,-0.272183583424
ACH-000054,-0.12673639592900002
ACH-000055,-0.22856395353599998
ACH-000060,-0.0023064153243899997
ACH-000067,-0.181102975128
ACH-000070,-0.36839798757799996
ACH-000075,0.0921717470666
ACH-000078,-0.178838110048
ACH-000082,-0.231835181283
ACH-000085,-0.10472781782400001
ACH-000086,-0.35371911416199997
ACH-000087,-0.29647033982
ACH-000092,-0.161368099101
ACH-000095,-0.45336905995
ACH-000097,-0.058013178610699996
ACH-000098,-0.26850866391999995
ACH-000099,-0.42689605145099996
ACH-000108,-0.23938980964499998
ACH-000113,-0.20420901214200002
ACH-000115,-0.18794119501899997
ACH-000116,0.00850922255275
ACH-000118,-0.109716354284
ACH-000120,-0.18425427204199998
ACH-000123,-0.396431538956
ACH-000127,-0.154075750874
ACH-000128,-0.135825712573
ACH-000132,-0.16629090260600002
ACH-000133,-0.186323001582
ACH-000137,-0.150332359458
ACH-000138,-0.19187072285
ACH-000142,-0.27887364918499996
ACH-000143,-0.280744644866
ACH-000146,-0.20119670555999997
ACH-000148,-0.304194391458
ACH-000150,-0.241787110207
ACH-000152,-0.216746713655
ACH-000153,-0.127989502847
ACH-000159,-0.261117993166
ACH-000160,-0.335882871676
ACH-000163,-0.0882511673511
ACH-000167,-0.337042011266
ACH-000168,-0.231991936844
ACH-000169,-0.12650855157299998
ACH-000178,-0.12226946292999999
ACH-000182,-0.19736527395
ACH-000183,-0.182009038664
ACH-000188,-0.07731181872710001
ACH-000189,-0.24459785412700003
ACH-000190,-0.279653462442
ACH-000198,-0.31299800830200003
ACH-000204,-0.232258295409
ACH-000206,-0.18639488766800003
ACH-000207,-0.377308557015
ACH-000211,-0.258704990371
ACH-000215,-0.20665701267099998
ACH-000221,-0.17800087270799997
ACH-000222,-0.147537104101
ACH-000223,-0.169912763348
ACH-000226,0.019807488420799997
ACH-000227,-0.329168916696
ACH-000228,-0.165442429403
ACH-000231,-0.219104249934
ACH-000232,-0.025792500362400002
ACH-000233,-0.13840680855999998
ACH-000234,-0.184852086624
ACH-000235,-0.162220849169
ACH-000237,-0.230490550293
ACH-000238,-0.108393735536
ACH-000243,-0.199182359808
ACH-000244,0.00824497624988
ACH-000246,-0.069898891968
ACH-000248,-0.321926013993
ACH-000250,-0.238921217498
ACH-000251,-0.173898040425
ACH-000253,-0.203422054918
ACH-000255,-0.256466172172
ACH-000256,-0.142058091776
ACH-000257,-0.33529079206900003
ACH-000258,-0.125016409656
ACH-000259,-0.148410516617
ACH-000260,-0.142443709539
ACH-000261,-0.255105782068
ACH-000262,-0.00724426322972
ACH-000263,-0.664088743658
ACH-000264,-0.31350235807599997
ACH-000265,-0.06990320520219999
ACH-000266,-0.20374783957400003
ACH-000272,-0.20369747809900002
ACH-000273,-0.10399640162799999
ACH-000274,-0.240959110918
ACH-000277,-0.121378349532
ACH-000278,-0.07403684027480001
ACH-000279,-0.28032440445
ACH-000280,-0.334227778796
ACH-000281,-0.195859320366
ACH-000288,-0.343665753803
ACH-000291,-0.23567546648
ACH-000293,-0.0587007655033
ACH-000294,0.029447562075200003
ACH-000295,-0.30563871471500004
ACH-000296,-0.247427704637
ACH-000302,-0.256244592185
ACH-000304,-0.08444975418310001
ACH-000307,-0.287695701625
ACH-000308,-0.168246992449
ACH-000310,-0.21448553915399998
ACH-000311,-0.230397957552
ACH-000312,-0.298625184934
ACH-000315,-0.21512867686700002
ACH-000316,-0.12937401370999999
ACH-000317,0.21671038203
ACH-000318,-0.288991006409
ACH-000319,-0.243432454723
ACH-000320,-0.035056468066
ACH-000322,-0.19292710237100003
ACH-000323,-0.46014359862899995
ACH-000324,-0.172897198684
ACH-000329,-0.30215993741999997
ACH-000330,-0.07283758169419999
ACH-000331,-0.08263623562149999
ACH-000332,-0.0024057305015500003
ACH-000334,-0.460146024655
ACH-000335,0.0247870143921
ACH-000336,-0.253127540593
ACH-000337,-0.601767280658
ACH-000339,-0.17026422544300002
ACH-000341,0.00810110052043
ACH-000348,-0.20213745364100003
ACH-000350,-0.0667835664262
ACH-000352,-0.10334326047
ACH-000356,-0.0682886636859
ACH-000361,0.00164659198147
ACH-000362,-0.10888073380300001
ACH-000363,-0.33253889005
ACH-000364,-0.09141139084069999
ACH-000365,-0.22874259800900001
ACH-000366,-0.09446284450030001
ACH-000368,0.0775558969004
ACH-000374,-0.154739862276
ACH-000375,0.0393869732578
ACH-000376,-0.137977879506
ACH-000381,-0.0695612213073
ACH-000383,-0.278901348347
ACH-000387,-0.126807502633
ACH-000389,-0.0392308964095
ACH-000390,-0.191853767618
ACH-000393,-0.0914088499002
ACH-000395,-0.228938112031
ACH-000397,-0.0274403768151
ACH-000401,-0.10275500032700001
ACH-000402,-0.0654955235675
ACH-000403,-0.102241184685
ACH-000404,-0.0637596218771
ACH-000406,-0.261520298094
ACH-000407,-0.288913998331
ACH-000408,-0.0671406679837
ACH-000410,-0.0590421041247
ACH-000411,-0.31383561369199997
ACH-000414,-0.0438274946623
ACH-000415,-0.26223891389000004
ACH-000416,-0.258521789251
ACH-000420,-0.0101551470537
ACH-000421,-0.299712805536
ACH-000424,-0.33125888376400003
ACH-000425,-0.227458944394
ACH-000426,-0.192920924292
ACH-000427,-0.09842933586110002
ACH-000433,-0.179932161901
ACH-000436,-0.231548606565
ACH-000444,-0.152553184302
ACH-000445,-0.0557614372262
ACH-000448,-0.14584657777100002
ACH-000450,-0.389027049832
ACH-000452,-0.165629772372
ACH-000454,0.248747465457
ACH-000458,-0.209614020323
ACH-000459,-0.07126171549049999
ACH-000460,-0.07924783649889999
ACH-000461,-0.227641931298
ACH-000463,-0.14183979041300002
ACH-000464,-0.31100169534
ACH-000466,-0.32163055624000003
ACH-000467,0.037447741622099996
ACH-000468,-0.334138005283
