,TSTD1 (100131187)
ACH-000004,-0.146793779218
ACH-000007,-0.08795873697920001
ACH-000009,-0.50202707102
ACH-000011,-0.213517108724
ACH-000012,-0.273673472838
ACH-000013,-0.0803811523524
ACH-000014,-0.0006370367407990001
ACH-000015,-0.31310651402199996
ACH-000017,-0.225656680275
ACH-000018,-0.113906640702
ACH-000019,-0.08503455031749999
ACH-000021,-0.103322267117
ACH-000022,-0.15685779707699998
ACH-000025,-0.165978686012
ACH-000028,-0.053765367013600004
ACH-000030,-0.221793855308
ACH-000035,-0.27545885841699996
ACH-000036,-0.08808390189339999
ACH-000037,0.0810446914068
ACH-000039,-0.23164286878
ACH-000040,-0.25189789175599997
ACH-000041,-0.36002904360699994
ACH-000042,-0.142219933649
ACH-000045,-0.23127296306899997
ACH-000047,-0.28237405743099997
ACH-000052,-0.220001131274
ACH-000053,-0.206227958856
ACH-000054,-0.15028903406400002
ACH-000055,-0.18908535414500002
ACH-000060,-0.13752974124700001
ACH-000067,-0.143988799537
ACH-000070,-0.18649273342999997
ACH-000075,-0.137087773805
ACH-000078,-0.159035498281
ACH-000082,-0.24772674989100002
ACH-000085,-0.133701398422
ACH-000086,-0.240677308187
ACH-000087,-0.005983634448880001
ACH-000092,-0.315099574261
ACH-000095,-0.244466841985
ACH-000097,-0.250197072361
ACH-000098,-0.309134058162
ACH-000099,-0.136414056119
ACH-000108,-0.0800917524568
ACH-000113,-0.216406977042
ACH-000115,-0.205687607688
ACH-000116,-0.067856459664
ACH-000118,-0.21755617386599999
ACH-000120,-0.358386593967
ACH-000123,-0.228485512199
ACH-000127,-0.161339957501
ACH-000128,-0.30285356902
ACH-000132,-0.09235361969239998
ACH-000133,-0.264154746773
ACH-000137,-0.021457303126799998
ACH-000138,-0.183968818246
ACH-000142,-0.178302527324
ACH-000143,-0.198401970721
ACH-000146,-0.176562454524
ACH-000148,-0.14405517641899998
ACH-000150,-0.0685977304693
ACH-000152,0.04691023267490001
ACH-000153,-0.49866645079800004
ACH-000159,-0.263206131266
ACH-000160,-0.210948153154
ACH-000163,-0.04597190527409999
ACH-000167,-0.0505674783514
ACH-000168,0.04142532014730001
ACH-000169,-0.116513594977
ACH-000178,-0.144269260845
ACH-000182,-0.15221691032600002
ACH-000183,-0.29216038634
ACH-000188,-0.24571855472100002
ACH-000189,-0.605586308115
ACH-000190,-0.162255219692
ACH-000198,-0.0768872504374
ACH-000204,-0.36700922429
ACH-000206,-0.050750858479
ACH-000207,-0.141383234011
ACH-000211,-0.22594444377099998
ACH-000215,-0.31023911665
ACH-000221,-0.256373605357
ACH-000222,-0.426652297733
ACH-000223,-0.344946115587
ACH-000226,-0.167825440878
ACH-000227,-0.051172654266999996
ACH-000228,-0.30964039238499996
ACH-000231,-0.0669824010997
ACH-000232,-0.185610148871
ACH-000233,-0.06245787090530001
ACH-000234,-0.340158397509
ACH-000235,-0.241750566378
ACH-000237,-0.219301799588
ACH-000238,-0.17724498686
ACH-000243,-0.135794264551
ACH-000244,-0.408402455502
ACH-000246,-0.257146997819
ACH-000248,-0.407313112267
ACH-000250,-0.20043173362599997
ACH-000251,0.0128966193635
ACH-000253,-0.242658189835
ACH-000255,-0.278305147679
ACH-000256,-0.23040866031399998
ACH-000257,-0.14882629434800002
ACH-000258,-0.187405452385
ACH-000259,-0.22093207728300002
ACH-000260,-0.140644696719
ACH-000261,-0.270910820731
ACH-000262,-0.142801442459
ACH-000263,-0.317572574876
ACH-000264,-0.308473464973
ACH-000265,-0.157832096796
ACH-000266,-0.20484096941500002
ACH-000272,-0.242710832997
ACH-000273,-0.27875593707199997
ACH-000274,-0.07522601047260001
ACH-000277,-0.322273177924
ACH-000278,-0.34264572612099997
ACH-000279,-0.057143388302600004
ACH-000280,-0.0067938024879500005
ACH-000281,-0.17422170584600002
ACH-000288,-0.28334082257800003
ACH-000291,-0.0918459689555
ACH-000293,-0.511224106827
ACH-000294,-0.27065774988499997
ACH-000295,-0.209105518708
ACH-000296,-0.207675790573
ACH-000302,-0.135750238391
ACH-000304,-0.484736048775
ACH-000307,-0.0529478281142
ACH-000308,-0.283420853383
ACH-000310,-0.0746672319512
ACH-000311,-0.360619107044
ACH-000312,-0.212489635705
ACH-000315,0.026945382738900004
ACH-000316,-0.378611300071
ACH-000317,-0.20253457061500002
ACH-000318,-0.309222910511
ACH-000319,-0.24944741449900001
ACH-000320,-0.266400274873
ACH-000322,-0.12701526577299999
ACH-000323,-0.14770865158
ACH-000324,-0.318697652393
ACH-000329,-0.109547314242
ACH-000330,-0.04954270498869999
ACH-000331,-0.059350583111899995
ACH-000332,-0.29042559661600004
ACH-000334,-0.34659302635300004
ACH-000335,-0.456841116271
ACH-000336,-0.199084582511
ACH-000337,-0.186326642199
ACH-000339,-0.195252711857
ACH-000341,-0.422187053803
ACH-000348,-0.103201464902
ACH-000350,-0.0334022211741
ACH-000352,-0.186915754226
ACH-000356,-0.33712019647200003
ACH-000361,-0.00121562306938
ACH-000362,-0.0543364476911
ACH-000363,-0.21584177305399999
ACH-000364,-0.266015463361
ACH-000365,-0.302435491312
ACH-000366,-0.259255169568
ACH-000368,-0.35214782209600004
ACH-000374,-0.0570550297168
ACH-000375,-0.162581175636
ACH-000376,-0.25214013386100004
ACH-000381,-0.299208460108
ACH-000383,-0.29359530207199996
ACH-000387,-0.264249380361
ACH-000389,-0.17550118884100002
ACH-000390,-0.207794005471
ACH-000393,-0.331185732707
ACH-000395,-0.279382507236
ACH-000397,-0.190429318082
ACH-000401,-0.10850706638499999
ACH-000402,-0.5665496763960001
ACH-000403,-0.225369431648
ACH-000404,-0.441801982581
ACH-000406,-0.201959130625
ACH-000407,-0.12843070088300002
ACH-000408,0.108574134889
ACH-000410,-0.23577068435100001
ACH-000411,-0.162346228772
ACH-000414,-0.206574326639
ACH-000415,-0.10271374426
ACH-000416,-0.297161048527
ACH-000420,-0.128311605989
ACH-000421,-0.329677995821
ACH-000424,-0.149380424069
ACH-000425,-0.22938587521899997
ACH-000426,-0.427086792253
ACH-000427,-0.182840427225
ACH-000433,-0.24225893006299998
ACH-000436,-0.325843206607
ACH-000444,-0.10489154064200001
ACH-000445,-0.05406354820280001
ACH-000448,-0.15334964756799999
ACH-000450,-0.360154694585
ACH-000452,-0.1475062169
ACH-000454,-0.22972241197700002
ACH-000458,-0.0997290857326
ACH-000459,0.152463947101
ACH-000460,-0.233799505825
ACH-000461,-0.10505687392000002
ACH-000463,-0.266181583669
ACH-000464,-0.11616900899499999
ACH-000466,-0.311042787747
ACH-000467,-0.19074975005
ACH-000468,-0.252949156873
ACH-000469,-0.249119852539
ACH-000470,-0.16555704655
ACH-000471,-0.050712816327999996
ACH-000472,-0.181096523299
ACH-000473,-0.0337035506076
ACH-000475,-0.289805561743
ACH-000476,-0.113684201195
ACH-000477,-0.23805046158399998
ACH-000480,-0.26115379306200004
ACH-000481,-0.229289056591
ACH-000483,-0.29369255438700004
ACH-000484,-0.42128948646
ACH-000485,-0.0117685596671
ACH-000486,-0.176007268051
ACH-000487,-0.17868804557300003
ACH-000488,-0.08265228459610001
ACH-000490,-0.221782969861
ACH-000491,-0.16895454495099999
ACH-000495,-0.355903790457
ACH-000496,-0.171092638017
ACH-000499,-0.08289375045030001
ACH-000500,-0.35752083874300006
ACH-000502,-0.153275775279
ACH-000503,-0.022470558207200002
ACH-000505,-0.134684200829
ACH-000507,-0.195763296341
ACH-000510,-0.179453701442
ACH-000511,-0.245451021726
ACH-000512,-0.7640420184990001
ACH-000516,-0.310682105002
ACH-000517,-0.300296184774
ACH-000518,-0.138550446613
ACH-000520,0.0198705930627
ACH-000521,-0.23443533189
ACH-000522,-0.285897196477
ACH-000524,-0.133984274679
ACH-000527,-0.09132026033019999
ACH-000528,-0.1972883235
ACH-000537,-0.19751665147999997
ACH-000541,-0.284405976909
ACH-000542,-0.19733135312
ACH-000544,-0.322804944304
ACH-000545,-0.130317514262
ACH-000547,-0.160401499199
ACH-000548,-0.32765203791700004
ACH-000549,-0.155846662113
ACH-000550,-0.282401674288
ACH-000552,-0.0870318599342
ACH-000556,-0.135289015765
ACH-000557,-0.252604303717
ACH-000570,-0.146261916709
ACH-000571,-0.156091311618
ACH-000573,-0.07370018628710001
ACH-000576,-0.338758511279
ACH-000580,-0.29998752062
ACH-000584,-0.220744043954
ACH-000585,-0.197566498369
ACH-000588,-0.252323333571
ACH-000589,-0.35287800560099997
ACH-000591,-0.034985593184800004
ACH-000593,-0.196389826754
ACH-000600,-0.158749302634
ACH-000601,-0.28740892635000004
ACH-000604,-0.0432263595028
ACH-000605,-0.211555053273
ACH-000606,-0.20240205999699998
ACH-000608,-0.22620722417199998
ACH-000614,-0.0933057456948
ACH-000616,-0.324969271974
ACH-000618,-0.315453778143
ACH-000619,-0.156716367002
ACH-000620,-0.10735346887599999
ACH-000621,-0.05108053356930001
ACH-000622,-0.16862847022799998
ACH-000623,-0.155098828419
ACH-000624,-0.179089443893
ACH-000627,0.0251806783345
ACH-000630,-0.18563301326099999
ACH-000632,0.0154586932757
ACH-000633,-0.271077665085
ACH-000637,-0.058764761856000006
ACH-000638,-0.358806127312
ACH-000646,-0.18156274883499998
ACH-000647,-0.357145802359
ACH-000648,-0.259868158412
ACH-000649,-0.298059079179
ACH-000651,-0.190393482517
ACH-000652,-0.33394826566
ACH-000653,-0.205632972622
ACH-000657,-0.211150711543
ACH-000658,-0.273619315299
ACH-000661,-0.11398134072100001
ACH-000662,-0.460372282949
ACH-000663,-0.212291169364
ACH-000665,-0.182412375881
ACH-000671,-0.12920806152
ACH-000673,-0.24231660358000004
ACH-000676,-0.234113428573
ACH-000677,-0.310750295118
ACH-000681,-0.270392186978
ACH-000682,-0.20825083595199997
ACH-000683,-0.495875218725
ACH-000684,-0.318203249418
ACH-000688,-0.20657378926800002
ACH-000693,-0.244803001331
ACH-000694,-0.108388541731
ACH-000695,-0.470886338465
ACH-000696,-0.191487474027
ACH-000697,-0.242562312646
ACH-000699,-0.137826992022
ACH-000701,-0.09252436677819999
ACH-000706,-0.23723600493500002
ACH-000711,0.04435443457669999
ACH-000713,-0.12958236297700002
ACH-000714,-0.380257650674
