,CLCA1 (1179)
ACH-000004,0.039559584861199995
ACH-000007,0.290916602212
ACH-000009,0.121627897533
ACH-000011,0.28446798818700003
ACH-000012,0.130739543824
ACH-000013,-0.011439348896700001
ACH-000014,0.268083232289
ACH-000015,0.123654613629
ACH-000017,0.118069069497
ACH-000018,0.0761400806273
ACH-000019,0.19339317676399997
ACH-000021,0.106660847968
ACH-000022,0.137825149226
ACH-000025,-0.0609534696258
ACH-000028,0.0872058487095
ACH-000030,0.119623795869
ACH-000035,-0.149420659544
ACH-000036,0.164033378802
ACH-000037,0.382442437302
ACH-000039,0.318162732844
ACH-000040,0.255099392835
ACH-000041,0.210192032088
ACH-000042,0.24387995392200001
ACH-000045,0.240206049941
ACH-000047,0.127029673329
ACH-000052,0.07449646565330001
ACH-000053,0.11560969773700001
ACH-000054,0.109667423072
ACH-000055,-0.146704150867
ACH-000060,0.092319388121
ACH-000067,-0.0138849088292
ACH-000070,-0.0878470403763
ACH-000075,0.35943337732600006
ACH-000078,0.0697793012951
ACH-000082,0.16877772342500003
ACH-000085,0.124152879287
ACH-000086,0.048755642104000005
ACH-000087,0.0120424326723
ACH-000092,0.11847882757200001
ACH-000095,0.276827329656
ACH-000097,0.0202703913
ACH-000098,0.09018571343739999
ACH-000099,0.08175738801230001
ACH-000108,0.333247430557
ACH-000113,0.123456262331
ACH-000115,0.229777130422
ACH-000116,0.111244347885
ACH-000118,0.114683474725
ACH-000120,0.0295148546654
ACH-000123,0.191297485734
ACH-000127,0.148480518978
ACH-000128,0.248207922958
ACH-000132,0.15979413673
ACH-000133,0.23420345535599998
ACH-000137,-0.043833710809000004
ACH-000138,0.171018242533
ACH-000142,0.011342202406600001
ACH-000143,0.286666463995
ACH-000146,0.189641393098
ACH-000148,0.132981601778
ACH-000150,0.10007747364399999
ACH-000152,-0.0506410070251
ACH-000153,0.11817449029799999
ACH-000159,-0.04496234209009999
ACH-000160,0.037175099718999995
ACH-000163,0.216121580726
ACH-000167,0.00442152786332
ACH-000168,0.115458564037
ACH-000169,0.126564215263
ACH-000178,0.24495261649500003
