,LETMD1 (25875)
ACH-000004,-0.251585243893
ACH-000007,-0.14379370809
ACH-000009,-0.445400132429
ACH-000011,-0.24265169239700002
ACH-000012,-0.0117360436726
ACH-000013,-0.204392387624
ACH-000014,-0.324428325803
ACH-000015,-0.376254297083
ACH-000017,-0.08136647874080001
ACH-000018,-0.164153288786
ACH-000019,-0.114084018533
ACH-000021,-0.232598844916
ACH-000022,-0.237554110988
ACH-000025,-0.354629082528
ACH-000028,-0.532276282748
ACH-000030,-0.200530073547
ACH-000035,-0.016988438370299997
ACH-000036,-0.18665888055799998
ACH-000037,-0.380000386696
ACH-000039,-0.267599305546
ACH-000040,-0.36150229789800004
ACH-000041,-0.255597445569
ACH-000042,-0.13098422553300001
ACH-000045,-0.201711552722
ACH-000047,-0.163418888698
ACH-000052,-0.403242353729
ACH-000053,-0.09937775384929999
ACH-000054,-0.195485342379
ACH-000055,-0.248708795542
ACH-000060,-0.021834306659999997
ACH-000067,-0.062994989405
ACH-000070,-0.08482901170299999
ACH-000075,-0.0025587260184400003
ACH-000078,-0.145069396328
ACH-000082,-0.184132558684
ACH-000085,0.0614310129368
ACH-000086,-0.310051183384
ACH-000087,-0.0769661883802
ACH-000092,-0.280208697711
ACH-000095,0.056995702877900005
ACH-000097,-0.19302819893399997
ACH-000098,-0.25315909378400003
ACH-000099,-0.024880386670400004
ACH-000108,-0.0207340986783
ACH-000113,-0.12600557041
ACH-000115,0.0293902062975
ACH-000116,-0.186227685077
ACH-000118,-0.182298763728
ACH-000120,-0.223751338568
ACH-000123,-0.0584877645052
ACH-000127,-0.18698227165999998
ACH-000128,-0.495615171378
ACH-000132,0.154174307596
ACH-000133,-0.214713427905
ACH-000137,-0.182269995081
ACH-000138,-0.162984127804
ACH-000142,-0.25492435485
ACH-000143,-0.165247254717
ACH-000146,-0.10080459184900001
ACH-000148,-0.26297875719700003
ACH-000150,-0.00913796467703
ACH-000152,-0.43225694619099997
ACH-000153,-0.39651283715
ACH-000159,-0.290973201605
ACH-000160,-0.202671398747
ACH-000163,-0.379761021247
ACH-000167,-0.560554183981
ACH-000168,-0.179696627944
ACH-000169,0.0344524055842
ACH-000178,-0.116422654414
ACH-000182,-0.028210171715700002
ACH-000183,-0.017298539955
ACH-000188,-0.125064396108
ACH-000189,-0.5039889320800001
ACH-000190,-0.259173703265
ACH-000198,-0.19534890546599998
ACH-000204,-0.375086216008
ACH-000206,-0.335465853301
ACH-000207,-0.344144475288
ACH-000211,-0.18835207469300003
ACH-000215,-0.20280708042999998
ACH-000221,-0.0435672834625
ACH-000222,-0.0520449755973
ACH-000223,-0.346640129627
ACH-000226,-0.261831674956
ACH-000227,-0.272494840284
ACH-000228,-0.198523961499
ACH-000231,-0.156235075363
ACH-000232,-0.177803323756
ACH-000233,0.035926520082
ACH-000234,-0.352541285554
ACH-000235,-0.18867525892099998
ACH-000237,-0.06705424204919999
ACH-000238,-0.124411521606
ACH-000243,-0.187217255284
ACH-000244,-0.20145701795499998
ACH-000246,-0.164506264291
ACH-000248,-0.309985628976
ACH-000250,-0.143910826522
ACH-000251,-0.19113868639400003
ACH-000253,-0.0186650473762
ACH-000255,-0.135727026718
ACH-000256,-0.011485917577500001
ACH-000257,-0.08616205500330001
ACH-000258,-0.20651060986900002
ACH-000259,-0.198778683004
ACH-000260,-0.120387276039
ACH-000261,-0.35041054440700004
ACH-000262,0.0173895241673
ACH-000263,-0.617961892345
ACH-000264,-0.18596531448800002
ACH-000265,-0.122154803527
ACH-000266,-0.153726951029
ACH-000272,-0.022985966280999998
ACH-000273,-0.310847778902
ACH-000274,-0.234490944316
ACH-000277,-0.19831465613
ACH-000278,-0.148754303636
