,BARHL2 (343472)
ACH-000004,-0.207665817014
ACH-000007,-0.38289768702
ACH-000009,-0.24785863876699998
ACH-000011,-0.356796671267
ACH-000012,-0.08997694247980001
ACH-000013,-0.261656653483
ACH-000014,-0.19952739682
ACH-000015,-0.0843221851245
ACH-000017,-0.107676764063
ACH-000018,-0.16063068402300001
ACH-000019,-0.142573040821
ACH-000021,-0.237765056031
ACH-000022,-0.0697499330878
ACH-000025,-0.428098787108
ACH-000028,-0.300926766969
ACH-000030,-0.249499312908
ACH-000035,-0.307201441214
ACH-000036,-0.21067842933800002
ACH-000037,-0.11329536159800001
ACH-000039,-0.092684145139
ACH-000040,-0.28071128980300003
ACH-000041,0.0995472981992
ACH-000042,-0.25626494414400003
ACH-000045,-0.195320450949
ACH-000047,-0.233544085029
ACH-000052,-0.137749319418
ACH-000053,-0.17127443583000002
ACH-000054,-0.0472291901547
ACH-000055,-0.26992372626999994
ACH-000060,-0.41287981609700003
ACH-000067,-0.146510226366
ACH-000070,-0.428272326515
ACH-000075,-0.157124778206
ACH-000078,-0.174324348456
ACH-000082,-0.236922469243
ACH-000085,-0.282151172391
ACH-000086,-0.17736490330600002
ACH-000087,-0.105128048266
ACH-000092,-0.377870754519
ACH-000095,-0.09586080109810001
ACH-000097,-0.32508047750999997
ACH-000098,-0.164718753727
ACH-000099,-0.129169150971
ACH-000108,-0.10132381512599999
ACH-000113,-0.417588736922
ACH-000115,-0.161002045575
ACH-000116,-0.115700872272
ACH-000118,-0.173821055788
ACH-000120,-0.150348759549
ACH-000123,-0.102398389995
ACH-000127,-0.17837129185199999
ACH-000128,-0.30474128132100003
ACH-000132,-0.23492391681400002
ACH-000133,-0.257100335704
ACH-000137,-0.542098931778
ACH-000138,-0.0234867860751
ACH-000142,-0.294644654408
ACH-000143,-0.129237014941
ACH-000146,-0.189297293199
ACH-000148,-0.144887398807
ACH-000150,-0.54450726207
ACH-000152,-0.0857198281608
ACH-000153,-0.293170678723
ACH-000159,-0.107211676232
ACH-000160,-0.32829508821
ACH-000163,-0.21554899671100003
ACH-000167,-0.157304704657
ACH-000168,-0.269530927804
ACH-000169,-0.04204397495830001
ACH-000178,-0.271377274744
ACH-000182,-0.136722255367
ACH-000183,-0.33625539161799994
ACH-000188,-0.196038142245
ACH-000189,-0.39740396204000006
ACH-000190,-0.10932907717599999
ACH-000198,-0.18995180069899997
ACH-000204,-0.0794765911511
ACH-000206,-0.109155820493
ACH-000207,-0.0151943962381
ACH-000211,-0.044566470920199996
ACH-000215,-0.190428228836
ACH-000221,-0.138302442019
ACH-000222,-0.11476856580900001
ACH-000223,-0.0901891531377
ACH-000226,-0.348643690757
ACH-000227,-0.339453594578
ACH-000228,-0.24007983501400001
ACH-000231,-0.08467889956389998
ACH-000232,-0.167412202085
ACH-000233,-0.140390483382
ACH-000234,-0.271810064584
ACH-000235,-0.162621548205
ACH-000237,-0.120278817328
ACH-000238,-0.29208286496999997
ACH-000243,-0.104103208874
ACH-000244,-0.260178415535
ACH-000246,-0.130525038904
ACH-000248,-0.155555604901
ACH-000250,-0.160002921431
ACH-000251,-0.180368690188
ACH-000253,-0.156682876517
ACH-000255,-0.26642917814100003
ACH-000256,-0.132270321913
ACH-000257,-0.416201884229
ACH-000258,-0.07198120162089999
ACH-000259,-0.240366664127
ACH-000260,-0.18349210393800003
ACH-000261,-0.256501714543
ACH-000262,-0.45159350257700004
ACH-000263,0.245642494536
ACH-000264,-0.108301458179
