,SH3BGRL2 (83699)
ACH-000004,0.07175747887839999
ACH-000007,0.327195110793
ACH-000009,0.32001711908
ACH-000011,0.23415181274500002
ACH-000012,0.276143666181
ACH-000013,0.299936164913
ACH-000014,0.10015573077500001
ACH-000015,0.281982091327
ACH-000017,0.265960055237
ACH-000018,-0.0008145159236310001
ACH-000019,0.16887667248500002
ACH-000021,0.0053302982000100006
ACH-000022,0.25128358456300004
ACH-000025,0.0197399221965
ACH-000028,0.262162159384
ACH-000030,0.156710600797
ACH-000035,0.23179792285999998
ACH-000036,0.19818165840799998
ACH-000037,-0.00946022252483
ACH-000039,0.0280798291846
ACH-000040,0.332629512296
ACH-000041,0.22898745316999997
ACH-000042,0.137534324273
ACH-000045,0.272188074899
ACH-000047,0.095170511778
ACH-000052,0.421556848555
ACH-000053,0.176409011938
ACH-000054,0.23055374686299998
ACH-000055,-0.08202477650460001
ACH-000060,0.16628863599000002
ACH-000067,0.3730745708
ACH-000070,0.23970930292599998
ACH-000075,-0.046062646352000004
ACH-000078,0.06372009113850001
ACH-000082,0.306454048052
ACH-000085,-0.029654907983599998
ACH-000086,0.078091391114
ACH-000087,0.22334734270999998
ACH-000092,0.17986145665699999
ACH-000095,0.158681711501
ACH-000097,0.244186724581
ACH-000098,0.0749262858673
ACH-000099,0.238487878394
ACH-000108,0.278406237966
ACH-000113,0.294195460871
ACH-000115,0.208043371191
ACH-000116,0.219645553662
ACH-000118,-0.0092930418978
ACH-000120,-0.0270353744868
ACH-000123,0.155980964924
ACH-000127,0.286428389138
ACH-000128,0.04192023969480001
ACH-000132,0.171602277809
ACH-000133,0.20233036807399998
ACH-000137,0.17617212291700002
ACH-000138,0.11445203179199999
ACH-000142,0.328154688887
ACH-000143,0.10761445314099999
ACH-000146,0.0985390710907
ACH-000148,0.1782730932
ACH-000150,0.156261004271
ACH-000152,0.103636221581
ACH-000153,0.154900852969
ACH-000159,0.19188080209000002
ACH-000160,0.226795504658
ACH-000163,0.111965674243
ACH-000167,0.245276358545
ACH-000168,-0.14062891134400002
ACH-000169,0.298454497323
ACH-000178,0.29791117653099997
ACH-000182,0.259662104426
ACH-000183,-0.05990285356030001
ACH-000188,0.251122048577
ACH-000189,0.236508847378
ACH-000190,-0.043055172197
ACH-000198,0.166080554323
ACH-000204,1.1856560603200001
ACH-000206,-0.09838201646510002
ACH-000207,0.27703594421
ACH-000211,0.18516237964499999
ACH-000215,0.27562915154
ACH-000221,0.144635474749
ACH-000222,0.17166909542999997
