,INPP5K (51763)
ACH-000004,-0.08565616579469999
ACH-000007,-0.361911226865
ACH-000009,-0.40769230746600005
ACH-000011,-0.041935419507699995
ACH-000012,-0.316079129742
ACH-000013,-0.604360581299
ACH-000014,-0.307694823006
ACH-000015,-0.275474217912
ACH-000017,0.049804155305699996
ACH-000018,-0.28316645595
ACH-000019,-0.045721824478199995
ACH-000021,-0.08942511329469999
ACH-000022,-0.223957798905
ACH-000025,-0.297549513597
ACH-000028,-0.21818954617
ACH-000030,0.00526523084
ACH-000035,-0.517601416797
ACH-000036,-0.8523752735719999
ACH-000037,-0.571304532857
ACH-000039,-0.219246597604
ACH-000040,-0.380670746698
ACH-000041,0.0125547682259
ACH-000042,-0.00511536731766
ACH-000045,-0.133277508416
ACH-000047,-0.109489170797
ACH-000052,-0.290986876784
ACH-000053,-0.523786493303
ACH-000054,-0.030304136288299997
ACH-000055,0.09772206658369999
ACH-000060,-0.182838655156
ACH-000067,-0.13843905216900002
ACH-000070,-0.238379377271
ACH-000075,-0.189900595784
ACH-000078,-0.21149976429499998
ACH-000082,-0.362681903832
ACH-000085,-0.114145538025
ACH-000086,-0.154573474436
ACH-000087,-0.0164393321422
ACH-000092,-0.235233063626
ACH-000095,-0.163835122442
ACH-000097,-0.0636587702486
ACH-000098,-0.234625912073
ACH-000099,-0.16840513193
ACH-000108,-0.078975457559
ACH-000113,-0.0738860886972
ACH-000115,-0.229303553253
ACH-000116,-0.161187416905
ACH-000118,-0.148127206912
ACH-000120,-0.163837953643
ACH-000123,-0.48052534557899995
ACH-000127,-0.135307194454
ACH-000128,-0.454054416331
ACH-000132,-0.612808717118
ACH-000133,-0.43419367467200004
ACH-000137,-0.114030786435
ACH-000138,-0.267859648078
ACH-000142,-0.12401421461300001
ACH-000143,-0.31224036773499997
ACH-000146,-0.06303606663290001
ACH-000148,-0.379167240026
ACH-000150,-0.46833849753999995
ACH-000152,-0.258177298632
ACH-000153,-0.506721230533
ACH-000159,-0.39337910519100006
ACH-000160,-0.0309175557745
ACH-000163,-0.311113890188
ACH-000167,-0.173059542727
ACH-000168,-0.381831059461
ACH-000169,-0.246395793891
ACH-000178,-0.20684715273499998
ACH-000182,0.0204942622916
ACH-000183,-0.12383932246
ACH-000188,-0.010472296164700001
ACH-000189,0.078681893257
ACH-000190,-0.5473458345000001
ACH-000198,0.044404602328900006
ACH-000204,-0.379499079367
ACH-000206,0.063684482176
ACH-000207,-0.25312279052700004
ACH-000211,-0.0739884998521
ACH-000215,-0.053102691621
ACH-000221,-0.789569376669
ACH-000222,-0.119252787832
ACH-000223,-0.0809920015624
ACH-000226,-0.150748936525
ACH-000227,-0.25680798420699996
ACH-000228,-0.132728359996
ACH-000231,-0.289763470688
ACH-000232,-0.872374804977
ACH-000233,-0.502489123602
ACH-000234,-0.32902449122
ACH-000235,-0.005863778929979999
ACH-000237,-0.0470510854075
ACH-000238,-0.567378842522
ACH-000243,0.0431264856415
ACH-000244,-0.193821146974
ACH-000246,-0.150899309388
ACH-000248,-0.157025774061
ACH-000250,-0.221486008642
ACH-000251,-0.133963530671
ACH-000253,-0.365064814243
ACH-000255,-0.361398199367
ACH-000256,-0.428360729718
ACH-000257,-0.326146714853
ACH-000258,-0.09227146980720001
ACH-000259,-0.0437365443988
ACH-000260,-0.151659570894
ACH-000261,-0.09743201329939999
ACH-000262,-0.235274931033
ACH-000263,-0.0205090970285
ACH-000264,0.0648835170484
ACH-000265,-0.14676726708499999
ACH-000266,-0.113599447855
ACH-000272,-0.251477944367
ACH-000273,-0.484147514531
ACH-000274,-0.197379404413
ACH-000277,-0.00367127866821
ACH-000278,-0.12879514866900002
ACH-000279,-0.22812124937
ACH-000280,-0.10607203070599999
ACH-000281,-0.408745689239
ACH-000288,-0.6167644965829999
ACH-000291,-0.0824573458082
ACH-000293,0.00425116006572
