,NUF2 (83540)
ACH-000004,-1.24071436466
ACH-000007,-0.874978282011
ACH-000009,-1.2475135897
ACH-000011,-1.36781960438
ACH-000012,-1.1719586212100002
ACH-000013,-1.1893148923799999
ACH-000014,-1.09666401949
ACH-000015,-1.3211406531799998
ACH-000017,-1.31438159294
ACH-000018,-1.16152296656
ACH-000019,-1.7353900076700002
ACH-000021,-1.25271691116
ACH-000022,-1.5314137829799999
ACH-000025,-1.3317899302200003
ACH-000028,-1.5148918546
ACH-000030,-1.4538883869299999
ACH-000035,-1.1126601167799999
ACH-000036,-1.49484914313
ACH-000037,-1.57124969513
ACH-000039,-1.2917539544499999
ACH-000040,-1.06245157286
ACH-000041,-1.34824486561
ACH-000042,-1.4531830332299998
ACH-000045,-1.46036158491
ACH-000047,-1.3030045230399998
ACH-000052,-1.33061657495
ACH-000053,-1.4468888956000001
ACH-000054,-1.3113853194
ACH-000055,-1.07651199517
ACH-000060,-1.34888046954
ACH-000067,-1.4352432845200003
ACH-000070,-1.50242344364
ACH-000075,-1.29750852981
ACH-000078,-1.5799548226
ACH-000082,-1.72698601942
ACH-000085,-1.38339300189
ACH-000086,-1.4861752247
ACH-000087,-1.09666170716
ACH-000092,-1.6891662470200002
ACH-000095,-1.40671418223
ACH-000097,-1.38546388706
ACH-000098,-1.46186092657
ACH-000099,-1.48358338006
ACH-000108,-1.28913351455
ACH-000113,-1.1369419305700001
ACH-000115,-1.47156974141
ACH-000116,-1.33535050318
ACH-000118,-1.18783538824
ACH-000120,-1.18252687131
ACH-000123,-1.1681733972700001
ACH-000127,-1.39975764838
ACH-000128,-1.29356277139
ACH-000132,-1.6700262629499998
ACH-000133,-1.46121131037
ACH-000137,-1.30720047796
ACH-000138,-1.41086830352
ACH-000142,-0.9930670625229999
ACH-000143,-1.00076723096
ACH-000146,-0.983675515891
ACH-000148,-1.1858270708399998
ACH-000150,-1.17683681656
ACH-000152,-1.59304923536
ACH-000153,-1.35458569275
ACH-000159,-1.5505840603100003
ACH-000160,-1.2004375085799999
ACH-000163,-1.4974867574700002
ACH-000167,-1.8168335462099998
ACH-000168,-1.35435969189
ACH-000169,-1.29848696824
ACH-000178,-1.276351161
ACH-000182,-1.39722222306
ACH-000183,-1.19755178282
ACH-000188,-1.1588198859899999
ACH-000189,-1.32544183576
ACH-000190,-1.20901008749
ACH-000198,-1.18960085508
ACH-000204,-1.42943604174
ACH-000206,-1.13550522919
ACH-000207,-1.83194063257
ACH-000211,-1.1918917626799999
ACH-000215,-1.63362491181
ACH-000221,-1.26857822769
ACH-000222,-1.39946583704
ACH-000223,-1.18680509021
ACH-000226,-1.19801336325
ACH-000227,-1.82418406445
ACH-000228,-1.31426524719
ACH-000231,-1.59934451712
ACH-000232,-1.4322217750100001
ACH-000233,-1.33370585319
ACH-000234,-1.6249281804799998
ACH-000235,-1.34989786352
ACH-000237,-1.30828379299
ACH-000238,-1.5084539881299999
ACH-000243,-1.13517698449
ACH-000244,-1.3690319686399999
ACH-000246,-1.45702236185
ACH-000248,-1.48626108496
ACH-000250,-1.4296528692
ACH-000251,-1.5596106402899998
ACH-000253,-1.36783251455
ACH-000255,-0.934768676005
ACH-000256,-1.41627758332
ACH-000257,-1.3752132450799999
ACH-000258,-0.9377010644730001
ACH-000259,-1.13564832148
ACH-000260,-1.17182416635
ACH-000261,-1.7314068088999999
ACH-000262,-1.1837763880299998
ACH-000263,-1.45282713
ACH-000264,-1.5758292679199999
ACH-000265,-1.39066582214
ACH-000266,-1.6030653731400002
ACH-000272,-1.30343771222
ACH-000273,-1.40327393761
ACH-000274,-1.77520700538
ACH-000277,-1.31951306061
ACH-000278,-1.10913638856
ACH-000279,-1.48471651333
ACH-000280,-1.20861995553
ACH-000281,-1.61577001609
ACH-000288,-1.26289380781
ACH-000291,-1.5990215985499998
ACH-000293,-1.4076232821999999
ACH-000294,-1.04324380483
ACH-000295,-1.56456984896
ACH-000296,-1.71420931796
ACH-000302,-1.09531734189
ACH-000304,-1.16646970344
ACH-000307,-1.2204866994799999
ACH-000308,-1.17978766691
ACH-000310,-1.6456141631
ACH-000311,-1.0091977060200001
