,CTSA (5476)
ACH-000004,-0.0450773456779
ACH-000007,0.005496470014770001
ACH-000009,-0.141374793626
ACH-000011,0.158986358311
ACH-000012,0.0560278880772
ACH-000013,0.155392940509
ACH-000014,0.167204879907
ACH-000015,0.029817732859
ACH-000017,0.113219921864
ACH-000018,0.0785318563623
ACH-000019,0.0541538289617
ACH-000021,-0.0370727539499
ACH-000022,0.0856017526523
ACH-000025,0.127586437838
ACH-000028,0.156978922401
ACH-000030,-0.055352570618599994
ACH-000035,-0.0666203389029
ACH-000036,-0.06891401083889999
ACH-000037,0.20750507603
ACH-000039,0.048128409619899996
ACH-000040,-0.0266578424936
ACH-000041,0.132448465502
ACH-000042,-0.14896893170199998
ACH-000045,0.0987909431992
ACH-000047,0.09422187813439999
ACH-000052,0.20979862908799998
ACH-000053,-0.057525689953500006
ACH-000054,0.09479236875260001
ACH-000055,-0.0574447533995
ACH-000060,0.006455799466819999
ACH-000067,0.0496100148321
ACH-000070,0.0170079701841
ACH-000075,0.05375934970869999
ACH-000078,-0.109235779211
ACH-000082,-0.0458530777647
ACH-000085,0.12657846872
ACH-000086,0.00380746296126
ACH-000087,0.0775807341608
ACH-000092,-0.012579939054700002
ACH-000095,-0.000966439189396
ACH-000097,0.0034465914686700005
ACH-000098,0.0513498822035
ACH-000099,-0.00321201200357
ACH-000108,-0.072837387209
ACH-000113,-0.039515163272000005
ACH-000115,0.043450182681999995
ACH-000116,0.048800092884599994
ACH-000118,-0.00815659004041
ACH-000120,0.0377704476078
ACH-000123,-0.0572233427091
ACH-000127,0.15065329987099998
ACH-000128,0.08020092288910001
ACH-000132,0.153186898122
ACH-000133,0.0121700448144
ACH-000137,0.171498559659
ACH-000138,-0.0806265640244
ACH-000142,0.0504873730791
ACH-000143,-0.0266871165568
ACH-000146,-0.12160966125
ACH-000148,-0.0167892741324
ACH-000150,-0.10204199886399999
ACH-000152,0.048571867553400004
ACH-000153,-0.0337048142369
ACH-000159,0.09796225188310001
ACH-000160,0.051389005154300005
