,TIPARP (25976)
ACH-000004,-0.29249014074499996
ACH-000007,-0.414309546173
ACH-000009,-0.0334654090443
ACH-000011,-1.0647549565799999
ACH-000012,-0.629328131207
ACH-000013,-0.173507092829
ACH-000014,0.0824854818803
ACH-000015,-0.172689879582
ACH-000017,0.0987661682681
ACH-000018,-0.40101610163400003
ACH-000019,-0.303099519371
ACH-000021,-0.156137377587
ACH-000022,-0.00740991449397
ACH-000025,-0.820246943473
ACH-000028,-0.198865879319
ACH-000030,-0.22698875122900003
ACH-000035,-0.236305766142
ACH-000036,-0.5327592380439999
ACH-000037,-0.33573212570200006
ACH-000039,-0.356077071506
ACH-000040,-0.8100170719580001
ACH-000041,-0.274944627945
ACH-000042,-0.26204261577
ACH-000045,-0.311937864949
ACH-000047,-0.490291513806
ACH-000052,-1.01110436495
ACH-000053,-0.30993672232299996
ACH-000054,-0.47039052498000006
ACH-000055,-0.287018520113
ACH-000060,-0.519732559976
ACH-000067,-0.961608656224
ACH-000070,-0.0408967991981
ACH-000075,-0.23067306650199998
ACH-000078,-0.13444840099000002
ACH-000082,-0.5236940108070001
ACH-000085,-0.9174797127809999
ACH-000086,-0.022886515519
ACH-000087,-0.783262923581
ACH-000092,-0.379637730793
ACH-000095,-0.28648264565299997
ACH-000097,-0.628119363242
ACH-000098,-0.34295790396799997
ACH-000099,0.038257763211500005
ACH-000108,-0.288325684485
ACH-000113,-0.375653771398
ACH-000115,-0.157971426305
ACH-000116,-0.12485949869999999
ACH-000118,-0.8340730004379999
ACH-000120,-0.28435858800700003
ACH-000123,-0.11496784534499999
ACH-000127,-0.261602971352
ACH-000128,-0.159603224806
ACH-000132,-0.700106913862
ACH-000133,-0.444710446335
ACH-000137,-0.18244024309999998
ACH-000138,-0.191676112427
ACH-000142,0.07179826633889999
ACH-000143,-0.00552358420742
ACH-000146,-0.21148190235199998
ACH-000148,-0.106197568238
ACH-000150,-0.515931095737
ACH-000152,-0.199673099975
ACH-000153,-0.34688636989699995
ACH-000159,0.06907964348949999
ACH-000160,-0.25910405350000004
ACH-000163,-0.7495964661660001
ACH-000167,-0.272906829988
ACH-000168,0.034925196595099996
ACH-000169,-0.44901293731299996
ACH-000178,-0.318146397356
ACH-000182,-0.251929586155
ACH-000183,-0.0878642578771
ACH-000188,-0.738258418108
ACH-000189,-0.301418209134
ACH-000190,-0.667595076877
ACH-000198,-0.731426408124
ACH-000204,-0.7796643433670001
ACH-000206,-0.29195458673700003
ACH-000207,-0.103209360354
ACH-000211,-0.978319318142
ACH-000215,-0.510391371909
ACH-000221,-0.144836306606
ACH-000222,-0.4941779573899999
ACH-000223,-0.5229519535180001
ACH-000226,-0.112707848621
ACH-000227,-0.118989140218
ACH-000228,-0.42986092789999997
ACH-000231,-0.0869627054668
ACH-000232,-0.0277516067338
ACH-000233,-0.44699122673999997
ACH-000234,-0.456088376831
ACH-000235,-0.92624749835
ACH-000237,-0.35521360975
ACH-000238,-0.20709494453699998
ACH-000243,-0.44986677506000006
ACH-000244,-0.152614346497
ACH-000246,-0.164836065065
ACH-000248,-0.056630361420999996
ACH-000250,-0.0340772176443
ACH-000251,-0.512691634241
ACH-000253,-0.26193634152199996
ACH-000255,-0.5125338072569999
ACH-000256,-0.09799188370789999
ACH-000257,-0.404351706585
ACH-000258,-0.247354543779
ACH-000259,-0.055776359961
ACH-000260,-0.380659262351
ACH-000261,-0.257465650361
ACH-000262,-0.307682302066
ACH-000263,-0.0836813911833
ACH-000264,-0.38774918569
ACH-000265,-0.10662352105900001
ACH-000266,-0.186711459271
ACH-000272,-0.0263297008561
ACH-000273,-0.761673957343
ACH-000274,0.213034853345
ACH-000277,-0.262760775012
ACH-000278,-0.433162920103
ACH-000279,-0.360528633451
ACH-000280,-0.190119859069
ACH-000281,-0.136756538186
ACH-000288,-0.531340710831
ACH-000291,-0.0616141460652
ACH-000293,-0.43163036173600006
ACH-000294,-0.34741197068499996
ACH-000295,-0.463812664992
ACH-000296,-0.470167997808
ACH-000302,0.11153842522
ACH-000304,0.259341784171
ACH-000307,-0.393863688011
ACH-000308,0.09873907015000001
ACH-000310,-0.0323148726235
ACH-000311,-0.15307710231899999
ACH-000312,0.021425632703299998
ACH-000315,0.020706757247900002
ACH-000316,-0.287122770657
ACH-000317,-0.52244144388
ACH-000318,-0.111463866915
ACH-000319,-0.288116287658
ACH-000320,-0.452547996244
ACH-000322,0.24706463915899998
ACH-000323,-0.196168900728
ACH-000324,-0.284253826203
ACH-000329,-0.20224298901700002
ACH-000330,-0.152394924844
ACH-000331,-0.21353203783799998
ACH-000332,-0.078126364854
ACH-000334,-0.11345893525499999
ACH-000335,-0.19483515955699998
ACH-000336,-0.273459165349
ACH-000337,-0.38836023178999995
ACH-000339,-0.40526677178099996
ACH-000341,0.0759381245815
ACH-000348,-0.657905198461
ACH-000350,0.35143528433
ACH-000352,-0.438189429282
ACH-000356,-0.276626146202
ACH-000361,-0.5842369053190001
ACH-000362,-0.826080381308
ACH-000363,-0.34392099146300004
ACH-000364,-0.00988655188205
ACH-000365,0.0301901102997
ACH-000366,-0.11684017390000001
ACH-000368,-0.519328279217
ACH-000374,-0.0987255828428
ACH-000375,-0.672527184824
ACH-000376,-0.281406497347
ACH-000381,0.0633802594982
ACH-000383,-0.392062406907
ACH-000387,-0.11140721324000001
ACH-000389,-0.00885379192208
ACH-000390,0.286642079905
ACH-000393,-0.32509734241
ACH-000395,-0.593927336602
ACH-000397,-0.226113321242
ACH-000401,0.0199495579151
ACH-000402,-0.317736504239
ACH-000403,-0.8174557203839999
ACH-000404,-0.0363972263712
ACH-000406,-0.12173980679199999
ACH-000407,-0.726952201909
ACH-000408,-0.292333925174
ACH-000410,-0.239326053521
ACH-000411,-0.259489299781
ACH-000414,-0.14270225515999999
ACH-000415,-0.269097414616
ACH-000416,-0.45635048094400005
ACH-000420,-0.198173524767
ACH-000421,-0.38677551498499996
ACH-000424,-0.618771060549
