,RAPGEFL1 (51195)
ACH-000004,-0.31508928559599997
ACH-000007,-0.397412855737
ACH-000009,-0.15358340537
ACH-000011,0.055794653579
ACH-000012,-0.223241361101
ACH-000013,-0.17406843170800002
ACH-000014,-0.225526315396
ACH-000015,-0.12315655339400002
ACH-000017,-0.347767641991
ACH-000018,-0.16694617594900002
ACH-000019,0.0812029443342
ACH-000021,-0.12185580872099999
ACH-000022,-0.14500163086200002
ACH-000025,-0.052125313539000004
ACH-000028,-0.137978084296
ACH-000030,-0.041418908906300005
ACH-000035,-0.48513742520099995
ACH-000036,-0.06629611284850001
ACH-000037,-0.10032745850199999
ACH-000039,-0.138139328588
ACH-000040,-0.18760149666700002
ACH-000041,-0.265378258408
ACH-000042,-0.364867808965
ACH-000045,-0.315334459243
ACH-000047,-0.21528307133699998
ACH-000052,-0.161589499229
ACH-000053,-0.237953620507
ACH-000054,-0.15672290093
ACH-000055,0.0175415274327
ACH-000060,-0.391258419261
ACH-000067,-0.331576909544
ACH-000070,-0.106575137608
ACH-000075,-0.481306654411
ACH-000078,-0.107098282675
ACH-000082,-0.316459560892
ACH-000085,-0.568524981323
ACH-000086,-0.118100753133
ACH-000087,-0.168447330082
ACH-000092,-0.283552736334
ACH-000095,-0.161817046991
ACH-000097,-0.13781601687699999
ACH-000098,-0.17856295234
ACH-000099,-0.114616658885
ACH-000108,-0.12499641551200001
ACH-000113,-0.138545232404
ACH-000115,-0.357685196307
ACH-000116,-0.17439971923500003
ACH-000118,-0.19568255530499998
ACH-000120,-0.39697060461499994
ACH-000123,-0.266188401745
ACH-000127,-0.031855310482299996
ACH-000128,-0.010627825894299999
ACH-000132,-0.21182309692499998
ACH-000133,-0.0144611950183
ACH-000137,0.07931633006489999
ACH-000138,-0.46169144851800004
ACH-000142,-0.124276797449
ACH-000143,-0.125290305203
ACH-000146,0.158064589549
ACH-000148,-0.15111514764
ACH-000150,-0.19304802464
ACH-000152,-0.20236871442
ACH-000153,-0.08352310955039999
ACH-000159,0.0690972335582
ACH-000160,-0.43433209373899995
ACH-000163,-0.177076932278
ACH-000167,0.013911466975200001
ACH-000168,0.0158298205513
ACH-000169,-0.17185796655000002
ACH-000178,-0.0491455070333
ACH-000182,-0.241266474614
ACH-000183,-0.13030429824200002
ACH-000188,-0.227116584919
ACH-000189,-0.125206099789
ACH-000190,0.00225941606605
ACH-000198,-0.12925293801100002
ACH-000204,-0.126204926649
ACH-000206,0.247947383484
ACH-000207,-0.434630567202
ACH-000211,-0.359087186452
ACH-000215,-0.03828206725719999
ACH-000221,-0.041923113073499996
ACH-000222,-0.18674158091499998
ACH-000223,-0.29699375697700003
ACH-000226,-0.283163680907
ACH-000227,-0.261695343049
ACH-000228,-0.339358786437
ACH-000231,-0.0727012088873
ACH-000232,-0.129026041978
ACH-000233,-0.0322685458595
ACH-000234,-0.0362517033604
ACH-000235,-0.272309958199
ACH-000237,-0.0959940094295
ACH-000238,-0.430406015834
ACH-000243,-0.43703875488000005
ACH-000244,-0.463226558394
ACH-000246,-0.053032295147900005
ACH-000248,-0.0460755166232
ACH-000250,-0.10851907250800001
ACH-000251,-0.40035062173
ACH-000253,-0.183934768842
ACH-000255,-0.25423375101999995
ACH-000256,-0.326260736127
ACH-000257,-0.0630025694935
ACH-000258,0.189367074582
ACH-000259,-0.114102154505
ACH-000260,-0.054159851968599994
ACH-000261,-0.10161841340500001
ACH-000262,0.113412915527
ACH-000263,0.061825954397099994
ACH-000264,-0.185884346978
ACH-000265,-0.363586892152
ACH-000266,-0.15792746544000003
ACH-000272,-0.0046016167292
ACH-000273,-0.137230812215
ACH-000274,-0.18311551770799997
ACH-000277,0.0635129859301
ACH-000278,-0.056268348284400006
ACH-000279,-0.272290593157
ACH-000280,-0.15112784018300002
ACH-000281,-0.391331399284
ACH-000288,-0.150063903705
ACH-000291,-0.14214661346
ACH-000293,-0.226865470097
ACH-000294,-0.306134495658
ACH-000295,-0.211687631866
ACH-000296,0.0862542817273
ACH-000302,-0.102049480887
ACH-000304,-0.220623117229
ACH-000307,-0.564195638679
ACH-000308,-0.0891073243214
ACH-000310,0.0653805200289
ACH-000311,-0.183662921099
ACH-000312,-0.236084129552
ACH-000315,-0.23874278686500003
ACH-000316,-0.282667914197
ACH-000317,-0.26888447633699997
ACH-000318,-0.129101928295
ACH-000319,-0.259977124776
ACH-000320,-0.119832509815
ACH-000322,-0.354979033552
ACH-000323,-0.23674414680199998
ACH-000324,-0.102079825853
ACH-000329,-0.249135585779
ACH-000330,-0.474531707183
ACH-000331,-0.0729960811872
ACH-000332,-0.164791232107
ACH-000334,-0.0414316905709
ACH-000335,-0.164383268465
ACH-000336,-0.320572061648
ACH-000337,-0.20682188408100002
ACH-000339,-0.19106227193599998
ACH-000341,-0.112518473225
ACH-000348,-0.01449137909
ACH-000350,-0.09338828752910001
ACH-000352,-0.10689380569399999
ACH-000356,-0.625923062992
ACH-000361,-0.09387103644610001
ACH-000362,-0.12699775418099998
ACH-000363,-0.0858753032432
ACH-000364,-0.13737308334
ACH-000365,-0.258586966526
ACH-000366,-0.167767158323
ACH-000368,-0.124684960797
ACH-000374,-0.129766696253
ACH-000375,0.112676006044
ACH-000376,-0.12600793842900002
ACH-000381,-0.27704159088799996
ACH-000383,0.0183622072011
ACH-000387,-0.233574298563
ACH-000389,-0.294786085448
ACH-000390,-0.377868708165
ACH-000393,-0.043550568386300004
ACH-000395,0.0123947264839
ACH-000397,-0.323751282977
ACH-000401,-0.370835489972
ACH-000402,-0.27821153914
ACH-000403,-0.23236288380399997
ACH-000404,-0.12205316179999999
ACH-000406,0.0254718243989
ACH-000407,-0.013543597453100001
ACH-000408,-0.5323076273430001
ACH-000410,-0.286803512966
ACH-000411,-0.122727688006
ACH-000414,-0.132687436802
ACH-000415,-0.46996650732
ACH-000416,-0.14497423487400002
ACH-000420,-0.27791518573
ACH-000421,-0.359072669411
ACH-000424,-0.023807558828599997
ACH-000425,-0.210520285684
ACH-000426,-0.184758893664
ACH-000427,-0.47011261060099996
ACH-000433,-0.218525276968
ACH-000436,-0.19827537396899997
ACH-000444,-0.135813178989
ACH-000445,-0.17389342504799998
ACH-000448,-0.34111162886299995
ACH-000450,-0.0775506044438
ACH-000452,-0.410699963654
ACH-000454,-0.308682163913
ACH-000458,-0.26321860761599997
ACH-000459,0.00848837505687
ACH-000460,-0.041913718341199994
ACH-000461,0.00622449550943
ACH-000463,-0.185922383401
ACH-000464,-0.103617475452
ACH-000466,-0.31998413095600003
ACH-000467,-0.346346265855
ACH-000468,-0.216889804701
ACH-000469,-0.265907264414
ACH-000470,0.0432017994757
ACH-000471,-0.16894083057300002
ACH-000472,-0.18617470774599998
