,MAP1LC3A (84557)
ACH-000004,-0.39540041071000004
ACH-000007,-0.272689117932
ACH-000009,-0.384322260322
ACH-000011,-0.228205472099
ACH-000012,-0.130843373227
ACH-000013,-0.024992672617099997
ACH-000014,-0.309129320153
ACH-000015,-0.19470007781100002
ACH-000017,-0.33619488322499996
ACH-000018,-0.40870602249399995
ACH-000019,-0.027789735312799997
ACH-000021,-0.17291605740600002
ACH-000022,-0.16593035609999998
ACH-000025,-0.326367229094
ACH-000028,-0.12242304240499999
ACH-000030,-0.477599234679
ACH-000035,-0.19371792541400001
ACH-000036,-0.128689877032
ACH-000037,-0.11425325266799999
ACH-000039,-0.101049702468
ACH-000040,-0.198020931635
ACH-000041,0.159273768147
ACH-000042,-0.42498428422
ACH-000045,-0.124022880898
ACH-000047,-0.273069608626
ACH-000052,-0.0611574616977
ACH-000053,-0.254342653744
ACH-000054,-0.16006539637599998
ACH-000055,0.00671048765225
ACH-000060,-0.114706631458
ACH-000067,-0.24343122654399998
ACH-000070,-0.10002809150900001
ACH-000075,-0.31606113607700004
ACH-000078,-0.318109900304
ACH-000082,-0.177401754189
ACH-000085,-0.444413404127
ACH-000086,-0.210594065477
ACH-000087,-0.419291800621
ACH-000092,-0.251863466739
ACH-000095,-0.185194308002
ACH-000097,-0.308672215679
ACH-000098,-0.0281048166395
ACH-000099,-0.23881533137699998
ACH-000108,-0.26385487309300004
ACH-000113,-0.228196838116
ACH-000115,-0.635942395606
ACH-000116,-0.15547323857
ACH-000118,-0.26898408816799996
ACH-000120,-0.29222944085700003
ACH-000123,-0.393632607034
ACH-000127,-0.26808210025199997
ACH-000128,-0.27898107746899997
ACH-000132,-0.089238857157
ACH-000133,-0.421091660013
ACH-000137,-0.168955035555
ACH-000138,-0.199760023581
ACH-000142,-0.21439584799699998
ACH-000143,-0.205349621998
ACH-000146,-0.262220072377
ACH-000148,-0.193264585754
ACH-000150,-0.0917834153629
ACH-000152,-0.22636954093699999
ACH-000153,-0.241219149362
ACH-000159,-0.0892039621129
ACH-000160,-0.123176387872
ACH-000163,-0.514746687777
ACH-000167,-0.106420134855
ACH-000168,-0.044019878801300004
ACH-000169,-0.258125450032
ACH-000178,-0.223227515537
ACH-000182,-0.35087989499399996
