,CYP2J2 (1573)
ACH-000004,-0.11441852040999999
ACH-000007,-0.0461869158652
ACH-000009,0.044265951565399995
ACH-000011,0.053421249064199997
ACH-000012,-0.09504336658870001
ACH-000013,0.012023790994200001
ACH-000014,0.056336040334400005
ACH-000015,-0.104808667038
ACH-000017,-0.147575115984
ACH-000018,-0.166543445891
ACH-000019,-0.138041187218
ACH-000021,0.0865404765622
ACH-000022,-0.0141488076816
ACH-000025,-0.0959088200829
ACH-000028,-0.100130948247
ACH-000030,-0.102410652115
ACH-000035,0.0361535624366
ACH-000036,-0.058910233831400004
ACH-000037,-0.0023116885435
ACH-000039,-0.09807477057700001
ACH-000040,-0.17604598221
ACH-000041,-0.0913081447471
ACH-000042,0.0325362020945
ACH-000045,-0.0505370113932
ACH-000047,-0.057031613673400004
ACH-000052,0.124965671454
ACH-000053,-0.047746205941
ACH-000054,0.0229199908674
ACH-000055,-0.4387556348100001
ACH-000060,0.0828327791209
ACH-000067,-0.35013301614
ACH-000070,-0.106983691996
ACH-000075,-0.11199618821799999
ACH-000078,0.09003595707350001
ACH-000082,-0.054748190708300004
ACH-000085,-0.162346214831
ACH-000086,-0.020326311051
ACH-000087,0.0924986412198
ACH-000092,-0.09998989311289999
ACH-000095,-0.178930173444
ACH-000097,-0.150704768017
ACH-000098,-0.0921055505499
ACH-000099,-0.08439222911250001
ACH-000108,0.0295655129383
ACH-000113,-0.0313600190985
ACH-000115,-0.09572368786319999
ACH-000116,-0.0323933255268
ACH-000118,-0.00298077364768
ACH-000120,-0.0074602189617800005
ACH-000123,-0.182474246674
ACH-000127,-0.0752412539355
ACH-000128,-0.03462350921230001
ACH-000132,0.0313075952831
ACH-000133,-0.036439246480099996
ACH-000137,-0.407371297404
ACH-000138,0.17236822160999998
ACH-000142,-0.20896076424600002
ACH-000143,-0.09288734590339999
ACH-000146,0.0807524165899
ACH-000148,-0.009301633544610001
ACH-000150,-0.128920330632
ACH-000152,-0.0201711555796
ACH-000153,-0.17155337866099998
ACH-000159,-0.0125966937121
ACH-000160,-0.110436376093
ACH-000163,0.20861696324999998
ACH-000167,0.0384651708395
ACH-000168,0.0636234982918
ACH-000169,-0.0429787942019
ACH-000178,0.0488906494864
ACH-000182,0.09286663668019998
ACH-000183,-0.105443572717
ACH-000188,-0.00324586574408
ACH-000189,-0.137220532126
ACH-000190,-0.26635890690499997
ACH-000198,-0.145508155614
ACH-000204,-0.12209453103
ACH-000206,-0.316531879184
ACH-000207,-0.319920885096
ACH-000211,-0.0698229847083
ACH-000215,-0.272733472481
ACH-000221,0.0886202652684
ACH-000222,0.0973188809062
ACH-000223,-0.060568679211
ACH-000226,-0.09994481336920001
ACH-000227,-0.17678833665999996
ACH-000228,-0.072244656142
ACH-000231,0.011640951055700002
ACH-000232,-0.16973066241300003
ACH-000233,-0.20392894376499998
ACH-000234,-0.102770490435
ACH-000235,0.0159257162759
ACH-000237,-0.046919272467800005
ACH-000238,0.06481860151959999
ACH-000243,-0.013354814074500001
ACH-000244,-0.269603466261
ACH-000246,-0.09572624639039999
ACH-000248,-0.162087036375
ACH-000250,-0.12740260899800002
ACH-000251,-0.263622830738
ACH-000253,-0.107694029554
ACH-000255,-0.0542467323317
ACH-000256,-0.021022379323
ACH-000257,-0.176463723287
ACH-000258,-0.22058808435600002
ACH-000259,-0.05967978783030001
ACH-000260,-0.170143667629
ACH-000261,-0.153004140859
ACH-000262,-0.286676052697
ACH-000263,-0.284199369864
ACH-000264,-0.025703313509400003
ACH-000265,-0.0175647618097
ACH-000266,0.00852313787725
ACH-000272,-0.07663059010430001
ACH-000273,0.00135237708942
ACH-000274,-0.15644760704900001
ACH-000277,-0.0194445968545
ACH-000278,-0.101570384715
ACH-000279,-0.0770059285845
ACH-000280,-0.311204807196
ACH-000281,0.190432590323
ACH-000288,-0.08570126856110001
ACH-000291,-0.0696565205212
ACH-000293,-0.0335329130776
ACH-000294,0.00720486045072
ACH-000295,-0.314329166357
ACH-000296,0.0515412315618
ACH-000302,0.023991312821299998
ACH-000304,-0.19166447119600002
ACH-000307,-0.11374127547599999
ACH-000308,-0.015350265017600001
ACH-000310,-0.0187075044809
ACH-000311,-0.016707299037399998
ACH-000312,-0.0418458281683
