,RIF1 (55183)
ACH-000004,-0.801524568313
ACH-000007,-0.32386102658000004
ACH-000009,-0.36133979285499995
ACH-000011,-0.41438156578100005
ACH-000012,-0.549070514746
ACH-000013,-0.576493255731
ACH-000014,-0.24082290085900002
ACH-000015,-0.312823452903
ACH-000017,-0.399846777464
ACH-000018,-0.49672508784999997
ACH-000019,-0.626000702032
ACH-000021,-0.349235643137
ACH-000022,-0.112204415536
ACH-000025,-0.409454603518
ACH-000028,-0.479476661501
ACH-000030,-0.42436408575400003
ACH-000035,-0.37566075016500006
ACH-000036,-0.569862240044
ACH-000037,-0.36890357162199994
ACH-000039,-0.712930163074
ACH-000040,-0.524530074722
ACH-000041,-0.479618493448
ACH-000042,-0.358351430571
ACH-000045,-0.31302142907200003
ACH-000047,-0.7154422590170001
ACH-000052,-0.5060801635559999
ACH-000053,-0.448747497583
ACH-000054,-0.500644613737
ACH-000055,-0.544835418838
ACH-000060,-0.33079301713000003
ACH-000067,-0.215442582791
ACH-000070,-0.322387063697
ACH-000075,-0.27980105739100003
ACH-000078,-0.529033972694
ACH-000082,-0.156078838104
ACH-000085,0.04417521775830001
ACH-000086,-0.261211281818
ACH-000087,-0.860457132135
ACH-000092,-0.373807737738
ACH-000095,-0.45590056208499996
ACH-000097,-0.206815456263
ACH-000098,-0.45537217432599997
ACH-000099,-0.50832597649
ACH-000108,-0.154879495702
ACH-000113,-0.43873559344400004
ACH-000115,-0.4597091625
ACH-000116,-0.588450244341
ACH-000118,-0.529607802538
ACH-000120,-0.426747216715
ACH-000123,-0.578048157697
ACH-000127,-0.556232782249
ACH-000128,-0.258392418304
ACH-000132,-0.629888174826
ACH-000133,-0.729076123286
ACH-000137,0.0248178373795
ACH-000138,-0.640820763754
ACH-000142,-0.320863804474
ACH-000143,-0.529843140132
ACH-000146,-0.521872904293
ACH-000148,-0.581951673019
ACH-000150,-0.277997030438
ACH-000152,-0.5679277741040001
ACH-000153,-0.162071629874
ACH-000159,-0.42305816433300003
ACH-000160,-0.39901011298100003
ACH-000163,-0.5234127126929999
ACH-000167,-0.414535135628
ACH-000168,-0.212171491223
ACH-000169,-0.501527449948
ACH-000178,-0.525219875127
ACH-000182,-0.38952847409999997
ACH-000183,-0.254532138312
ACH-000188,-0.28835982871300003
ACH-000189,-0.21051227758000002
ACH-000190,-0.628821147925
ACH-000198,-0.406888481059
ACH-000204,-0.7013164941069999
ACH-000206,-0.361409552618
ACH-000207,-0.493953509291
ACH-000211,-0.452093251077
ACH-000215,-0.279930456812
ACH-000221,-0.181650699065
ACH-000222,-0.540841268718
ACH-000223,-0.336561624306
ACH-000226,-0.471029714991
ACH-000227,-0.333865358204
ACH-000228,-0.531246219398
ACH-000231,-0.485378568926
ACH-000232,-0.44371113124399997
ACH-000233,-0.423643675351
ACH-000234,-0.573743924982
ACH-000235,-0.278783044593
ACH-000237,-0.436031069968
ACH-000238,-0.49412342030100004
ACH-000243,-0.596842544083
ACH-000244,-0.360234614867
ACH-000246,-0.426287324968
ACH-000248,-0.267863549704
ACH-000250,-0.594170533855
ACH-000251,-0.303904615944
ACH-000253,-0.08028241469660001
ACH-000255,-0.570524547724
ACH-000256,-0.890002660816
ACH-000257,-0.504855567564
ACH-000258,-0.325137757376
ACH-000259,-0.563290116935
ACH-000260,-0.460400389955
ACH-000261,-0.43786859757799995
ACH-000262,-0.196311346936
ACH-000263,0.05007831398490001
ACH-000264,-0.5489026194650001
ACH-000265,-0.6295517488600001
ACH-000266,-0.40040274942599996
ACH-000272,-0.542668637034
ACH-000273,-0.230654923328
ACH-000274,-0.555639359485
ACH-000277,-0.182292151219
ACH-000278,-0.441090646697
ACH-000279,-0.29560576415600004
ACH-000280,-0.272159280379
ACH-000281,-0.251957518263
ACH-000288,-0.42967517663000004
ACH-000291,-0.291845917681
ACH-000293,-0.7133935447959999
ACH-000294,-0.261288913063
ACH-000295,-0.250262993196
ACH-000296,-0.560960432066
ACH-000302,-0.491409832153
ACH-000304,-0.193730677971
ACH-000307,-0.423752064217
ACH-000308,-0.5211437981970001
ACH-000310,-0.922950943865
ACH-000311,-0.42197566657799995
ACH-000312,-0.435703196712
ACH-000315,-0.203866317573
ACH-000316,-0.48568020616700003
ACH-000317,-0.540873221445
ACH-000318,-0.331172801241
ACH-000319,-0.23665786542599998
ACH-000320,-0.78125401494
ACH-000322,-0.239774556248
ACH-000323,-0.261360885358
ACH-000324,-0.646450407419
ACH-000329,-0.36293144119099996
ACH-000330,-0.524149130536
ACH-000331,-0.48170567402500003
ACH-000332,-0.173924833524
ACH-000334,-0.441283585822
ACH-000335,-0.5424660648749999
ACH-000336,0.129131069651
ACH-000337,-0.569057899687
ACH-000339,-0.34752491706999994
ACH-000341,-0.43972311974699996
ACH-000348,-0.30618454812600004
ACH-000350,-0.291096687455
ACH-000352,-0.181093965801
ACH-000356,-0.190033417194
ACH-000361,-0.295415303668
ACH-000362,-0.417670753077
ACH-000363,-0.328415194473
ACH-000364,-0.37513079590099996
ACH-000365,-0.228239122974
ACH-000366,-0.213466609006
ACH-000368,-0.649220732078
ACH-000374,-0.48051507530599996
ACH-000375,-0.6057923475779999
