,COL4A3BP (10087)
ACH-000004,0.10967296045700001
ACH-000007,-0.15294415157299998
ACH-000009,-0.565690048721
ACH-000011,-0.45944868528899996
ACH-000012,-0.033227800770900005
ACH-000013,0.0012493806438699999
ACH-000014,-0.341638005279
ACH-000015,-0.12380756866499999
ACH-000017,-0.22711790755199998
ACH-000018,-0.26283324052900003
ACH-000019,0.181189558767
ACH-000021,-0.26110255062300003
ACH-000022,-0.28364660394900004
ACH-000025,-0.22050086336599997
ACH-000028,-0.244473833959
ACH-000030,-0.083373355715
ACH-000035,-0.0405166435811
ACH-000036,-0.116232544685
ACH-000037,0.0037882715104800005
ACH-000039,-0.297053390159
ACH-000040,-0.74731839714
ACH-000041,-0.130871841469
ACH-000042,-0.0145765038078
ACH-000045,-0.11855744971200001
ACH-000047,-0.0568830592284
ACH-000052,-0.18608996093199998
ACH-000053,-0.045160877502699995
ACH-000054,-0.264453670205
ACH-000055,0.123010820154
ACH-000060,-0.21903276700399998
ACH-000067,-0.364143929794
ACH-000070,-0.38997948304700003
ACH-000075,0.019031809266
ACH-000078,-0.18810055177
ACH-000082,-0.358608143147
ACH-000085,-0.0168569359445
ACH-000086,-0.377943604192
ACH-000087,-0.0615213286269
ACH-000092,-0.41805374151999997
ACH-000095,-0.080718486727
ACH-000097,-0.491894849407
ACH-000098,-0.318163650535
ACH-000099,0.11567208393200001
ACH-000108,-0.163717773332
ACH-000113,-0.30286344220600003
ACH-000115,-0.047943234038699996
ACH-000116,-0.301647364341
ACH-000118,-0.548448109638
ACH-000120,0.109296472565
ACH-000123,-0.0166774925746
ACH-000127,-0.460146857841
ACH-000128,-0.191493710487
ACH-000132,-0.259580947154
ACH-000133,-0.101165837197
ACH-000137,-0.322827597401
ACH-000138,-0.282024006114
ACH-000142,-0.188328236935
ACH-000143,-0.108686160973
ACH-000146,-0.047650352092800004
ACH-000148,-0.0481702154266
ACH-000150,0.045817028253
ACH-000152,-0.17549726585499997
ACH-000153,0.194017934923
ACH-000159,-0.0074199188400800005
ACH-000160,-0.0530371318317
ACH-000163,-0.129498330108
ACH-000167,-0.6365620682
ACH-000168,-0.167536810373
ACH-000169,-0.0828361826371
ACH-000178,-0.287026138151
ACH-000182,0.10797678017699999
ACH-000183,-0.20622174793900003
ACH-000188,-0.274091496611
ACH-000189,-0.0055292279318
ACH-000190,0.130581438632
ACH-000198,-0.176454768209
ACH-000204,-0.192679612109
ACH-000206,-0.23091037836800002
ACH-000207,-0.392165683035
ACH-000211,-0.10647242404200001
ACH-000215,-0.216595790849
ACH-000221,0.121043953577
ACH-000222,-0.404462546534
ACH-000223,-0.0714568592657
ACH-000226,-0.0480760409898
ACH-000227,0.113417717633
ACH-000228,-0.445584929663
ACH-000231,-0.0736853448732
ACH-000232,-0.114999658258
ACH-000233,-0.0724564632848
ACH-000234,-0.27794348908300004
ACH-000235,-0.320698799588
ACH-000237,-0.100959195322
ACH-000238,0.065006029996
ACH-000243,-0.17701730977699998
ACH-000244,-0.49097252453100004
ACH-000246,-0.032271051487
ACH-000248,-0.16856572970400002
ACH-000250,-0.204116207951
ACH-000251,-0.107779960481
ACH-000253,-0.146819438076
ACH-000255,-0.336316832767
ACH-000256,-0.220225527474
ACH-000257,-0.32655277926
ACH-000258,-0.43038226333000007
ACH-000259,0.0176659818943
ACH-000260,0.176958609393
ACH-000261,-0.0644634394721
ACH-000262,-0.36307382612499994
ACH-000263,-0.371276097404
ACH-000264,-0.108829331598
ACH-000265,0.0074481323627
ACH-000266,-0.17010212576900002
ACH-000272,-0.371271767773
ACH-000273,-0.207684814931
ACH-000274,-0.33873268934100004
ACH-000277,-0.170411040332
ACH-000278,-0.35485920708
ACH-000279,-0.174272364991
ACH-000280,-0.246674030592
ACH-000281,-0.190009345535
ACH-000288,-0.3071933757
ACH-000291,-0.279103660172
ACH-000293,0.04326566409490001
ACH-000294,-0.0436275495575
ACH-000295,-0.0705780719045
ACH-000296,-0.6114008872860001
ACH-000302,-0.14434087332599999
ACH-000304,0.0181550666211
ACH-000307,-0.301693821145
ACH-000308,0.0372406995325
ACH-000310,-0.13226783410700002
ACH-000311,-0.378287485899
ACH-000312,0.0712466849428
ACH-000315,0.00184721265735
ACH-000316,-0.549840708019
ACH-000317,-0.159278890837
ACH-000318,-0.004575020949520001
ACH-000319,-0.389584623433
ACH-000320,-0.22699435831300002
ACH-000322,-0.191509953413
ACH-000323,0.0168177296144
ACH-000324,-0.36062020405999995
ACH-000329,-0.198208121477
ACH-000330,-0.013694660203799999
ACH-000331,-0.301337159396
ACH-000332,-0.113945001077
ACH-000334,-0.268034135396
ACH-000335,-0.242162226327
ACH-000336,0.0579027558484
ACH-000337,0.198920300306
ACH-000339,-0.07871476029919999
ACH-000341,-0.216044505287
ACH-000348,-0.269217971337
ACH-000350,0.0633620460458
ACH-000352,-0.08743616114260001
ACH-000356,-0.218963343099
ACH-000361,-0.019434482955499998
ACH-000362,-0.550007081405
ACH-000363,-0.322943268136
ACH-000364,-0.0778362922777
ACH-000365,-0.152341020508
ACH-000366,0.15393922822699999
ACH-000368,0.0611677916615
ACH-000374,0.00992798004748
