,VIMP (55829)
ACH-000004,-0.10650043481799999
ACH-000007,-0.36288955476499996
ACH-000009,-0.127518656158
ACH-000011,-0.20830908393599998
ACH-000012,-0.056003719151099994
ACH-000013,0.0886880883029
ACH-000014,-0.160545989106
ACH-000015,0.0742997267545
ACH-000017,-0.17556423248300002
ACH-000018,0.11068621015
ACH-000019,0.11044173797399999
ACH-000021,0.11119490056800001
ACH-000022,-0.234536864939
ACH-000025,-0.153214025384
ACH-000028,-0.097222178926
ACH-000030,0.0188825629877
ACH-000035,0.170642734772
ACH-000036,-0.09050681657130001
ACH-000037,-0.0827765565175
ACH-000039,0.046238719018199995
ACH-000040,0.182475672216
ACH-000041,-0.166102529155
ACH-000042,-0.0463405106006
ACH-000045,-0.197322244043
ACH-000047,-0.145982680557
ACH-000052,-0.0924849549515
ACH-000053,-0.04531944963619999
ACH-000054,-0.113549459961
ACH-000055,0.0488842182641
ACH-000060,0.0502629691218
ACH-000067,-0.00207078762989
ACH-000070,-0.103996028221
ACH-000075,-0.233844744707
ACH-000078,-0.219291484258
ACH-000082,-0.084631377764
ACH-000085,-0.0019329160290899997
ACH-000086,-0.071216441138
ACH-000087,0.104898170037
ACH-000092,-0.14291616432499998
ACH-000095,-0.0678410667218
ACH-000097,-0.0579287158265
ACH-000098,-0.0787969353393
ACH-000099,-0.134515306605
ACH-000108,-0.0148740139139
ACH-000113,-0.127712750851
ACH-000115,-0.04626284966569999
ACH-000116,-0.133939384757
ACH-000118,-0.0352430353328
ACH-000120,0.010059612430100002
ACH-000123,-0.0672564601556
ACH-000127,-0.0116480446805
ACH-000128,0.135921548554
ACH-000132,-0.103245417019
ACH-000133,-0.06854634575389999
ACH-000137,0.0677689965452
ACH-000138,0.0156070385779
ACH-000142,-0.111468435204
ACH-000143,0.00933218626831
ACH-000146,0.0016815022853599998
ACH-000148,-0.0229336196581
ACH-000150,-0.07702853949489999
ACH-000152,-0.0324254944821
ACH-000153,-0.28700112998599997
ACH-000159,-0.0652098465066
ACH-000160,-0.0625109179031
ACH-000163,-0.11871138275399999
ACH-000167,-0.273330586689
