,GBX2 (2637)
ACH-000406,-0.0925706217411
ACH-000407,-0.176108852384
ACH-000408,-0.098313547689
ACH-000410,-0.135822399069
ACH-000411,-0.0296314460966
ACH-000414,0.0540419401305
ACH-000415,-0.0115382889251
ACH-000416,-0.10788650518300001
ACH-000420,-0.0810103620661
ACH-000421,-0.06832965968390001
ACH-000424,-0.348327902999
ACH-000425,-0.129979142454
ACH-000426,-0.0703234552256
ACH-000427,-0.260864981411
ACH-000433,-0.217508517081
ACH-000436,0.17968133164900002
ACH-000444,-0.0347429818472
ACH-000445,0.0682858236771
ACH-000448,-0.125637547663
ACH-000450,-0.227782570121
ACH-000452,-0.054318181504100005
ACH-000454,0.0189285609254
ACH-000458,-0.0418962484713
ACH-000459,-0.150957118213
ACH-000460,-0.129906591183
ACH-000461,0.0469814174173
ACH-000463,-0.15241033616
ACH-000464,-0.245474615048
ACH-000466,-0.207870019126
ACH-000467,-0.021749480531200002
ACH-000468,0.09882789774869999
ACH-000469,-0.08821845089060001
ACH-000470,-0.19871142957000001
ACH-000471,-0.0674615206941
ACH-000472,-0.12387538423800001
ACH-000473,-0.11985797902699999
ACH-000475,-0.105901505383
ACH-000476,-0.09501677189510001
ACH-000477,-0.0301583937744
ACH-000480,0.0800597052005
ACH-000481,0.12107136172
ACH-000483,-0.104007713541
ACH-000484,-0.20471379244100002
ACH-000485,-0.137471202167
ACH-000486,-0.0372741879667
ACH-000487,-0.12015111684699999
ACH-000488,-0.161399643911
ACH-000490,-0.0693754876154
ACH-000491,0.00321810995752
ACH-000495,-0.0513434108067
ACH-000496,0.027491899906200004
ACH-000499,-0.110627235401
ACH-000500,0.13239783827999999
ACH-000502,-0.033065899715
ACH-000503,0.276249267457
ACH-000505,-0.130220026656
ACH-000507,-0.0682656564901
ACH-000510,-0.149105225116
ACH-000511,-0.152442216913
ACH-000512,-0.0438731579193
ACH-000516,-0.018909551941900003
ACH-000517,-0.16926830613699997
ACH-000518,-0.18017271361900003
ACH-000520,-0.26159592559
ACH-000521,-0.0627728056458
ACH-000522,-0.139862297429
ACH-000524,-0.0494671287373
ACH-000527,-0.077627499731
ACH-000528,-0.039002814916
ACH-000537,-0.0399830670218
ACH-000541,-0.040257278684900005
ACH-000542,-0.0495708599501
ACH-000544,-0.0937651015097
ACH-000545,-0.132908253851
ACH-000547,-0.09415092223030001
ACH-000548,-0.116517009479
ACH-000549,-0.0652169172851
ACH-000550,-0.117386198256
ACH-000552,-0.121758850378
ACH-000556,-0.08671008277589999
ACH-000557,-0.0484934467138
ACH-000570,-0.0215512927452
ACH-000571,-0.13768119896199998
ACH-000573,0.09237407940760002
ACH-000576,0.0803946194804
ACH-000580,-0.27237599860399997
ACH-000584,-0.0318979424243
ACH-000585,-0.08568085350230001
ACH-000588,0.007118217838310001
ACH-000589,-0.08493463681590001
ACH-000591,-0.11616043859099999
ACH-000593,-0.131645268408
ACH-000600,0.0370923655974
ACH-000601,-0.10186283570900001
ACH-000604,-0.127210484
ACH-000605,0.0026649194640000003
ACH-000606,-0.0327243157671
ACH-000608,-0.0714934711494
ACH-000614,-0.13475882307
ACH-000616,-0.0604758104677
ACH-000618,-0.154140167465
ACH-000619,-0.00906181383251
ACH-000620,-0.0390415947271
ACH-000621,-0.0701443282532
ACH-000622,-0.332922064355
ACH-000623,-0.11626099363800001
ACH-000624,-0.07415500287
ACH-000627,0.0405148586478
