,RNH1 (6050)
ACH-000004,0.154094069154
ACH-000007,-0.301992308919
ACH-000009,-0.289375672819
ACH-000011,0.0032048120065
ACH-000012,-0.37173115380000005
ACH-000013,-0.312868276646
ACH-000014,-0.042750162020199996
ACH-000015,-0.226753387466
ACH-000017,-0.09531781217360001
ACH-000018,-0.0231888175043
ACH-000019,-0.10048492869799999
ACH-000021,-0.150886870179
ACH-000022,-0.163615782201
ACH-000025,-0.28075579849300003
ACH-000028,-0.366635645533
ACH-000030,-0.346403411976
ACH-000035,-0.627061320821
ACH-000036,-0.297092799812
ACH-000037,-0.7125799417890001
ACH-000039,-0.191776724032
ACH-000040,-0.163917117082
ACH-000041,-0.012465665871600001
ACH-000042,-0.20290413072799998
ACH-000045,-0.330236184795
ACH-000047,-0.23226934145300002
ACH-000052,-0.276955808011
ACH-000053,0.00035342443150699997
ACH-000054,0.00506668549818
ACH-000055,-0.505198476592
ACH-000060,-0.029159851527400003
ACH-000067,-0.272341052649
ACH-000070,0.028129284991799997
ACH-000075,0.147010449772
ACH-000078,-0.585856284261
ACH-000082,-0.361299979525
ACH-000085,-0.384356227319
ACH-000086,-0.354985775886
ACH-000087,-0.160262618443
ACH-000092,0.049451573584
ACH-000095,-0.07083230489350001
ACH-000097,-0.152605559361
ACH-000098,-0.340555892291
ACH-000099,-0.32929983436099997
ACH-000108,-0.214886376988
ACH-000113,-0.20514315786899998
ACH-000115,-0.20589105322999998
ACH-000116,-0.187580065268
ACH-000118,-0.350611210295
ACH-000120,-0.521941881783
ACH-000123,-0.51844799175
ACH-000127,-0.039786807600300005
ACH-000128,-0.09366226103460001
ACH-000132,0.016431449029
ACH-000133,-0.26597595957
ACH-000137,-0.033758904684
ACH-000138,-0.155897982258
ACH-000142,-0.409678643723
ACH-000143,-0.17875993411200003
ACH-000146,-0.46389557110600005
ACH-000148,-0.33810883339500003
ACH-000150,-0.480006999408
ACH-000152,-0.399599272389
ACH-000153,-0.044147358367999996
ACH-000159,-0.06879098154730001
ACH-000160,-0.161579038026
ACH-000163,-0.104393462059
ACH-000167,-0.24764185459000002
ACH-000168,-0.25640588762
ACH-000169,-0.387828658482
ACH-000178,-0.18162965353
ACH-000182,-0.07033296816989999
ACH-000183,0.0335053524219
ACH-000188,-0.6918705858149999
ACH-000189,-0.0651950042275
ACH-000190,-0.201433265695
ACH-000198,-0.10996822471100001
ACH-000204,-0.0665023104677
ACH-000206,-0.34054703157899996
ACH-000207,-0.319195203182
ACH-000211,-0.428908399024
ACH-000215,-0.14281376656300002
ACH-000221,-0.256154949683
ACH-000222,-0.0245050847407
ACH-000223,-0.170256509531
ACH-000226,-0.0134727498358
ACH-000227,-0.0468837138236
ACH-000228,0.137544434684
ACH-000231,-0.14558876107899998
ACH-000232,-0.310091909544
ACH-000233,-0.323295826514
ACH-000234,-0.0994137803307
ACH-000235,-0.299583084652
ACH-000237,-0.271774823351
ACH-000238,-0.19091840279
ACH-000243,-0.18713995173700002
ACH-000244,-0.425984325035
ACH-000246,-0.257983928268
ACH-000248,-0.33631484578599996
ACH-000250,-0.200914346259
ACH-000251,-0.154188509959
ACH-000253,-0.138566767008
ACH-000255,-0.222830111161
ACH-000256,-0.606407968375
ACH-000257,-0.5145894639459999
ACH-000258,0.07716675218119999
ACH-000259,-0.23074062349899999
ACH-000260,-0.298120528225
ACH-000261,-0.05974634714219999
ACH-000262,-0.0759992342875
ACH-000263,-0.32150504498000004
ACH-000264,-0.114658397129
ACH-000265,-0.239831157846
ACH-000266,-0.107184833669
ACH-000272,-0.07209611086960001
ACH-000273,-0.613675416977
ACH-000274,-0.22146815931400002
ACH-000277,-0.192846106652
ACH-000278,-0.158340814065
ACH-000279,-0.18803859366099998
ACH-000280,-0.417080428013
ACH-000281,-0.243349179101
ACH-000288,-0.513376669554
ACH-000291,-0.432965861535
ACH-000293,-0.631102260913
ACH-000294,-0.700393548618
ACH-000295,-0.171340245352
ACH-000296,-0.49889952134099996
ACH-000302,-0.104327371588
ACH-000304,-0.43852664218000004
ACH-000307,-0.604971882603
ACH-000308,-0.131755766122
ACH-000310,-0.17834818021899998
ACH-000311,0.0161030223832
ACH-000312,-0.16322964114900002
ACH-000315,-0.035513062542800004
ACH-000316,-0.347687950576
