,EFEMP2 (30008)
ACH-000004,-0.355186730193
ACH-000007,-0.0902824673199
ACH-000009,-0.285150602037
ACH-000011,-0.37481607587099997
ACH-000012,-0.39845504244
ACH-000013,-0.17645015146899998
ACH-000014,0.200534513728
ACH-000015,-0.162449402261
ACH-000017,-0.195760311314
ACH-000018,-0.190184795559
ACH-000019,-0.08970655998410001
ACH-000021,-0.24268907313700003
ACH-000022,-0.0650149166464
ACH-000025,-0.24496236750199998
ACH-000028,-0.31749799343699997
ACH-000030,-0.29338159185
ACH-000035,-0.09434530094239998
ACH-000036,-0.157723756629
ACH-000037,-0.0793794113912
ACH-000039,-0.194165615522
ACH-000040,-0.17617198225400002
ACH-000041,-0.491051514017
ACH-000042,-0.312274242274
ACH-000045,-0.227476925385
ACH-000047,-0.270860859479
ACH-000052,-0.209786640557
ACH-000053,-0.27901507214000004
ACH-000054,-0.279519865316
ACH-000055,-0.38029421354299997
ACH-000060,-0.35829910778499996
ACH-000067,-0.29904560991
ACH-000070,-0.187419133952
ACH-000075,-0.166689523792
ACH-000078,-0.472428354287
ACH-000082,-0.235221074176
ACH-000085,-0.169718179657
ACH-000086,-0.114464142606
ACH-000087,-0.18666703287500003
ACH-000092,-0.07775029795880001
ACH-000095,-0.291535418003
ACH-000097,-0.336655612834
ACH-000098,-0.0964962907936
ACH-000099,-0.429898955699
ACH-000108,-0.0991647379598
ACH-000113,-0.146912686511
ACH-000115,-0.428697503911
ACH-000116,-0.23469361203800002
ACH-000118,-0.219091576661
ACH-000120,-0.227170701888
ACH-000123,-0.311297238222
ACH-000127,-0.24000691993599998
ACH-000128,-0.437460740507
ACH-000132,-0.43957538845399996
ACH-000133,-0.35011342791999994
ACH-000137,-0.0109791519507
ACH-000138,-0.203908350194
ACH-000142,-0.17323409983399998
ACH-000143,-0.458073819063
ACH-000146,-0.10217143681
ACH-000148,-0.14302044984
ACH-000150,-0.36582898011200005
ACH-000152,-0.199464736731
ACH-000153,-0.5254661776899999
ACH-000159,-0.165969872305
ACH-000160,-0.174075878875
ACH-000163,-0.311336206012
ACH-000167,-0.39450136849
ACH-000168,-0.111059457874
ACH-000169,-0.09865363564060001
ACH-000178,-0.09129416130460001
ACH-000182,-0.23793180106400003
ACH-000183,-0.31935148480500003
ACH-000188,-0.31444442634799996
ACH-000189,-0.750714380714
ACH-000190,-0.413004234477
ACH-000198,-0.10500029646
ACH-000204,0.0204274704
ACH-000206,-0.10217870632300001
ACH-000207,-0.312415174874
ACH-000211,-0.212357951347
ACH-000215,-0.146116233175
ACH-000221,-0.22230299297699999
ACH-000222,-0.100511635317
ACH-000223,-0.32163827057300004
ACH-000226,-0.389062565048
ACH-000227,-0.214341098879
ACH-000228,-0.132892911319
ACH-000231,-0.22595086137200002
ACH-000232,-0.10603609919700001
ACH-000233,-0.425473689347
ACH-000234,-0.321461446895
ACH-000235,-0.101862334233
ACH-000237,-0.36696201267300005
ACH-000238,-0.22561639520500001
ACH-000243,-0.175849344034
ACH-000244,-0.055661083941699996
ACH-000246,-0.234416689898
ACH-000248,0.012850643120899998
ACH-000250,-0.135769634866
ACH-000251,-0.31615227296500004
ACH-000253,-0.204233729476
ACH-000255,-0.36345937826200003
ACH-000256,-0.402552357021
ACH-000257,-0.0768640409289
ACH-000258,-0.023381773894099997
ACH-000259,-0.226211583953
ACH-000260,-0.317039091544
ACH-000261,-0.30819760958000003
ACH-000262,-0.38649180738899996
ACH-000263,-0.143450549251
ACH-000264,-0.043113596517500005
ACH-000265,-0.284113678608
ACH-000266,-0.336336402099
ACH-000272,-0.26248588634799996
ACH-000273,-0.17783831715
ACH-000274,-0.132087648551
ACH-000277,-0.366570046551
ACH-000278,-0.184152744542
ACH-000279,-0.265316851749
ACH-000280,-0.313005318426
ACH-000281,-0.380077014147
