,ARNTL (406)
ACH-000004,-0.216936176346
ACH-000007,0.14773647904999998
ACH-000009,-0.158508287277
ACH-000011,-0.27795350391
ACH-000012,-0.208136645976
ACH-000013,-0.304748580089
ACH-000014,-0.177408699638
ACH-000015,-0.10700581537000001
ACH-000017,0.00571440095016
ACH-000018,-0.220166898404
ACH-000019,-0.347877588043
ACH-000021,-0.200779834001
ACH-000022,-0.025533780862099998
ACH-000025,-0.115820894859
ACH-000028,-0.0423778144479
ACH-000030,-0.17026478513
ACH-000035,-0.149227315157
ACH-000036,0.00933188518182
ACH-000037,-0.266430324799
ACH-000039,0.015944041870799997
ACH-000040,-0.262489477187
ACH-000041,-0.20117368829399998
ACH-000042,-0.213328919065
ACH-000045,-0.196031787206
ACH-000047,-0.103697481506
ACH-000052,-0.0564882508201
ACH-000053,0.118873759267
ACH-000054,-0.0599772328959
ACH-000055,-0.14607769760199998
ACH-000060,-0.306475165768
ACH-000067,-0.00404627359504
ACH-000070,-0.19778631860399998
ACH-000075,-0.044875190460800005
ACH-000078,-0.21752263828200002
ACH-000082,0.0333120593029
ACH-000085,-0.23452525958700002
ACH-000086,-0.36718228051
ACH-000087,0.245035885554
ACH-000092,-0.08207354092060001
ACH-000095,-0.0967654973842
ACH-000097,-0.0301384063935
ACH-000098,-0.14812876004
ACH-000099,-0.14418796064300002
ACH-000108,-0.15163196358699998
ACH-000113,-0.143921602884
ACH-000115,-0.026092724509
ACH-000116,-0.0746523149194
ACH-000118,-0.09007476392110002
ACH-000120,-0.126588591395
ACH-000123,-0.07309480413760001
ACH-000127,-0.0950662922038
ACH-000128,-0.31074420190900004
ACH-000132,-0.151588741377
ACH-000133,-0.250143972526
ACH-000137,-0.0950160099354
ACH-000138,-0.130935094663
ACH-000142,-0.179255518207
ACH-000143,-0.29244875071800003
ACH-000146,-0.0157481944519
ACH-000148,-0.0670462736205
ACH-000150,-0.162794514098
ACH-000152,-0.154995431199
ACH-000153,-0.042168641427999996
ACH-000159,-0.217924155769
ACH-000160,-0.058063271983300004
ACH-000163,-0.0648942965343
ACH-000167,0.539739976869
ACH-000168,-0.18984276643599998
ACH-000169,-0.00694499934306
ACH-000178,-0.08941792139080001
ACH-000182,-0.0267404526653
ACH-000183,-0.0939182582027
ACH-000188,-0.186104981443
ACH-000189,-0.38851280097400004
ACH-000190,-0.078738066777
ACH-000198,-0.246765291889
ACH-000204,-0.027127012418999997
ACH-000206,-0.10895299919700001
ACH-000207,-0.181478863868
ACH-000211,-0.0036747799969000005
ACH-000215,0.016113504029299997
ACH-000221,-0.124305093204
ACH-000222,-0.334159199867
ACH-000223,-0.10915781644400001
ACH-000226,-0.254162618189
ACH-000227,-0.0916131018018
ACH-000228,-0.057001532554800005
ACH-000231,-0.25724660078
ACH-000232,-0.292589478003
ACH-000233,0.0712400462423
ACH-000234,-0.13604116988700002
ACH-000235,-0.237102136953
ACH-000237,-0.314183856198
ACH-000238,-0.12391487305400001
ACH-000243,-0.142868275036
ACH-000244,0.08265941473730001
ACH-000246,-0.150914238578
ACH-000248,0.031388189470700004
ACH-000250,-0.119776977282
ACH-000251,-0.0649058274739
ACH-000253,-0.0687879272546
ACH-000255,-0.0688289778208
ACH-000256,0.0708803492035
ACH-000257,-0.23364416524999998
ACH-000258,-0.28184645362300004
ACH-000259,-0.207052853446
ACH-000260,-0.198844270687
ACH-000261,-0.18268526019200002
ACH-000262,0.0011333433705
ACH-000263,-0.554721196056
ACH-000264,-0.143273122394
ACH-000265,-0.11051819644300001
ACH-000266,-0.228222555958
ACH-000272,-0.158398665942
ACH-000273,-0.0334357761542
ACH-000274,-0.360241567943
ACH-000277,-0.119735834835
ACH-000278,-0.13856207765
ACH-000279,-0.152572303509
ACH-000280,-0.385701803206
ACH-000281,-0.37177344727399997
ACH-000288,-0.0882537738217
ACH-000291,-0.275905597527
ACH-000293,-0.269623025403
ACH-000294,0.07655682417200001
ACH-000295,-0.188599359771
ACH-000296,0.106075116406
ACH-000302,-0.0816031745763
ACH-000304,0.0670947189585
ACH-000307,-0.235084751795
ACH-000308,-0.220547098747
ACH-000310,-0.27282184001800003
ACH-000311,-0.14834792914
ACH-000312,-0.185438546596
ACH-000315,-0.264366318064
ACH-000316,0.00510223908599
ACH-000317,-0.260850310846
ACH-000318,-0.34683640398000004
ACH-000319,-0.136602430875
ACH-000320,-0.07056166470639999
ACH-000322,0.125778345032
ACH-000323,-0.318837899588
ACH-000324,-0.12056566867599999
ACH-000329,-0.11049150830499999
ACH-000330,-0.133941794112
ACH-000331,-0.145746660598
ACH-000332,-0.227338078539
ACH-000334,-0.540465126807
ACH-000335,0.084745724329
ACH-000336,-0.200349442141
ACH-000337,-0.060306091072
ACH-000339,-0.18876848943
ACH-000341,-0.127148353823
ACH-000348,-0.318242477853
ACH-000350,-0.24350230864999997
ACH-000352,0.050488500846600004
ACH-000356,-0.24071794118200002
ACH-000361,-0.08175707474230001
ACH-000362,-0.158682202679
ACH-000363,-0.157685925392
ACH-000364,-0.0552711175789
ACH-000365,-0.26483262136999997
ACH-000366,-0.17734991906300002
ACH-000368,-0.00553356870108
ACH-000374,-0.163699016388
ACH-000375,0.0444749039102
ACH-000376,0.04388403061869999
ACH-000381,-0.224608781569
ACH-000383,-0.16659610920999998
ACH-000387,-0.0353489174131
ACH-000389,-0.0514893075667
ACH-000390,-0.150550373151
ACH-000393,-0.07033243567389999
ACH-000395,-0.302238388083
ACH-000397,-0.283599620519
ACH-000401,-0.467041996624
ACH-000402,0.0280711411304
ACH-000403,-0.256244446915
ACH-000404,0.136853821153
ACH-000406,-0.163955063873
ACH-000407,0.0145585564889
ACH-000408,-0.110215918923
ACH-000410,-0.107506425529
ACH-000411,-0.301246547158
ACH-000414,-0.160787426629
ACH-000415,-0.280854275466
ACH-000416,-0.11922813570900001
ACH-000420,-0.120479535956
ACH-000421,-0.08765886469699999
ACH-000424,-0.556456552611
ACH-000425,-0.235374080802
ACH-000426,-0.342940666567
ACH-000427,-0.170424913426
ACH-000433,-0.0634995475576
ACH-000436,-0.08849595929310002
ACH-000444,-0.288449474012
ACH-000445,-0.0388540801593
ACH-000448,-0.135201574548
ACH-000450,-0.25139270319699997
ACH-000452,-0.15244568955399998
ACH-000454,-0.415909981872
ACH-000458,-0.296353512607
ACH-000459,-0.279199445908
ACH-000460,-0.418839216515
ACH-000461,-0.0816224122982
