,CTAGE1 (64693)
ACH-000004,-0.09213653155750001
ACH-000007,-0.456386036903
ACH-000009,-0.390269182471
ACH-000011,-0.17525766806899998
ACH-000012,-0.051376332090099994
ACH-000013,-0.238612436926
ACH-000014,-0.134581892702
ACH-000015,-0.234408672749
ACH-000017,-0.059978641159899995
ACH-000018,-0.40333285211900005
ACH-000019,-0.14857831943299998
ACH-000021,-0.468825894137
ACH-000022,-0.154280570256
ACH-000025,-0.269268610742
ACH-000028,-0.234545916697
ACH-000030,-0.278717253475
ACH-000035,-0.0969762241567
ACH-000036,-0.402229281968
ACH-000037,-0.0435487421195
ACH-000039,-0.302748365279
ACH-000040,-0.7248160169429999
ACH-000041,-0.0180938289285
ACH-000042,-0.387202653567
ACH-000045,-0.19491279875599998
ACH-000047,-0.165027782946
ACH-000052,-0.48290044484300004
ACH-000053,-0.132322646177
ACH-000054,-0.336398043333
ACH-000055,-0.0701696772333
ACH-000060,0.102819592705
ACH-000067,-0.894847256032
ACH-000070,0.08607580748839999
ACH-000075,-0.488703888761
ACH-000078,-0.438822930038
ACH-000082,-0.08929006034189998
ACH-000085,-0.07568626919680001
ACH-000086,-0.143147747021
ACH-000087,0.09685762477060002
ACH-000092,-0.216327964735
ACH-000095,-0.5052715838090001
ACH-000097,-0.254436141642
ACH-000098,-0.281938197696
ACH-000099,-0.440104653354
ACH-000108,-0.419184792852
ACH-000113,-0.323246712817
ACH-000115,-0.572541929069
ACH-000116,-0.260735373875
ACH-000118,-0.280868586406
ACH-000120,-0.283320522212
ACH-000123,-0.35480110628300005
ACH-000127,-0.197882556664
ACH-000128,-0.146124906945
ACH-000132,-0.65150401369
ACH-000133,-0.349986882754
ACH-000137,-0.363617349829
ACH-000138,-0.29349797156199997
ACH-000142,-0.248498368809
ACH-000143,-0.259407356686
ACH-000146,-0.222717311317
ACH-000148,-0.153776700393
ACH-000150,-0.18853097192899998
ACH-000152,-0.248648401808
ACH-000153,-0.0659106038392
ACH-000159,-0.184985860644
ACH-000160,-0.293548355001
ACH-000163,-0.181648007984
ACH-000167,-0.609447334535
ACH-000168,-0.334916869694
ACH-000169,-0.160254404167
ACH-000178,-0.24385101429
ACH-000182,-0.190616616294
ACH-000183,-0.0913611667976
ACH-000188,-0.0747511851295
ACH-000189,0.153603971335
ACH-000190,-0.08525763286039999
ACH-000198,-0.252683356717
ACH-000204,-0.31676800822900003
ACH-000206,-0.445977769419
ACH-000207,-0.10529700204600001
ACH-000211,-0.279467248816
ACH-000215,-0.271889188244
ACH-000221,-0.074010995852
ACH-000222,-0.43800370571900005
ACH-000223,-0.470838008868
ACH-000226,-0.384536998551
ACH-000227,-0.51485827312
ACH-000228,-0.22689804733000002
ACH-000231,-0.0518534918925
ACH-000232,-0.348607525787
ACH-000233,-0.399893675476
ACH-000234,-0.5366581850100001
ACH-000235,-0.0220649990919
ACH-000237,-0.197478806517
ACH-000238,-0.52931517087
ACH-000243,-0.26977544643
ACH-000244,-0.47972954545900004
ACH-000246,-0.281005856374
ACH-000248,-0.09013255599570001
ACH-000250,-0.340995723732
ACH-000251,-0.354404683899
ACH-000253,-0.472915895025
ACH-000255,-0.191948349732
ACH-000256,-0.215512352345
ACH-000257,-0.353908244118
ACH-000258,0.12096338518
ACH-000259,-0.277114426877
ACH-000260,-0.0517051416154
ACH-000261,-0.179477181602
ACH-000262,-0.33267382450399996
ACH-000263,-0.0383694409741
ACH-000264,-0.559302908928
ACH-000265,-0.37253452068099996
ACH-000266,-0.365903653208
ACH-000272,-0.40846639246399996
ACH-000273,-0.189232114034
ACH-000274,-0.5928965142189999
ACH-000277,-0.253468448857
ACH-000278,-0.308117945077
ACH-000279,-0.37469364989
ACH-000280,-0.323549286522
ACH-000281,-0.418862074986
ACH-000288,-0.179454841248
ACH-000291,-0.253002630269
ACH-000293,-0.0948229169321
ACH-000294,-0.074181966622
ACH-000295,-0.07919193397999999
ACH-000296,-0.23055860238200002
ACH-000302,-0.0816995821816
ACH-000304,0.13681072811
ACH-000307,-0.261019591273
ACH-000308,-0.25459646489
ACH-000310,-0.7374291287729999
ACH-000311,-0.395093253
ACH-000312,-0.34650028346699996
ACH-000315,-0.105630089121
ACH-000316,-0.135135748258
ACH-000317,-0.311614206949
ACH-000318,0.0626949725549
ACH-000319,-0.027120567090699998
ACH-000320,-0.516969169158
ACH-000322,-0.435951341945
ACH-000323,-0.5178661925
ACH-000324,-0.346400185624
ACH-000329,-0.470372352444
ACH-000330,-0.19563344818199999
ACH-000331,-0.208974514225
ACH-000332,-0.365425054847
ACH-000334,-0.0871434347209
ACH-000335,-0.0217352886453
ACH-000336,-0.224154962694
ACH-000337,0.04327827946499999
ACH-000339,-0.19691465959499999
ACH-000341,-0.378795809018
ACH-000348,-0.116936298282
ACH-000350,-0.327125880903
ACH-000352,-0.19207779301199998
ACH-000356,-0.26670898046
ACH-000361,-0.00913508282275
ACH-000362,-0.252565901579
ACH-000363,-0.10782949099099999
ACH-000364,-0.172923890156
ACH-000365,-0.262877146849
ACH-000366,-0.25703931144299996
ACH-000368,-0.247254497287
ACH-000374,-0.060619523675300005
ACH-000375,-0.06372135531930001
