,MYCBP (26292)
ACH-000004,-0.403948263717
ACH-000007,-0.254691369529
ACH-000009,-0.454758688947
ACH-000011,-0.431992507106
ACH-000012,-0.572264676981
ACH-000013,-0.412025872107
ACH-000014,-0.470897960404
ACH-000015,-0.25874135626899997
ACH-000017,-0.116639732877
ACH-000018,-0.302635417027
ACH-000019,-0.509737868275
ACH-000021,-0.32784869868
ACH-000022,-0.487906065422
ACH-000025,-0.547889298101
ACH-000028,-0.533735770127
ACH-000030,-0.469277668267
ACH-000035,-0.703745163663
ACH-000036,-0.705521894707
ACH-000037,-0.54171744745
ACH-000039,-0.529149048366
ACH-000040,-0.349150011642
ACH-000041,-0.390503429094
ACH-000042,-0.256080056426
ACH-000045,-0.450812956142
ACH-000047,-0.39768146702600005
ACH-000052,-0.6199051527399999
ACH-000053,-0.425168652013
ACH-000054,-0.740852535553
ACH-000055,-0.20739060136100002
ACH-000060,-0.615397894283
ACH-000067,-0.49816745575300003
ACH-000070,-0.242997779608
ACH-000075,-0.32104835532
ACH-000078,-0.8624582023019999
ACH-000082,-0.513270927537
ACH-000085,-0.506847405118
ACH-000086,-0.342565414773
ACH-000087,-0.28149059064599996
ACH-000092,-0.517005084413
ACH-000095,-0.565794224794
ACH-000097,-0.47195178364100004
ACH-000098,-0.5191527480520001
ACH-000099,-0.47310035874
ACH-000108,-0.27545270055599996
ACH-000113,-0.19045170497299999
ACH-000115,-0.49256581058999993
ACH-000116,-0.504068176716
ACH-000118,-0.391713788677
ACH-000120,-0.33572101405599997
ACH-000123,-0.598471550629
ACH-000127,-0.444116242145
ACH-000128,-0.474145389428
ACH-000132,-0.413507259854
ACH-000133,-0.481592033015
ACH-000137,-0.6565910690160001
ACH-000138,-0.283316880156
ACH-000142,-0.463858786879
ACH-000143,-0.596651115496
ACH-000146,-0.31126671109000004
ACH-000148,-0.422673968759
ACH-000150,-0.528730883472
ACH-000152,-0.403999036403
ACH-000153,-0.380337859528
ACH-000159,-0.46620960548199997
ACH-000160,-0.231694094252
ACH-000163,-0.229719179292
ACH-000167,-0.293737099274
ACH-000168,-0.549721481851
ACH-000169,-0.612598457784
ACH-000178,-0.400551909548
ACH-000182,-0.25537310727400003
ACH-000183,-0.470548662804
ACH-000188,-0.420333158526
ACH-000189,-0.0667579783072
ACH-000190,-0.0837046778007
ACH-000198,-0.398850471315
ACH-000204,-0.594847741821
ACH-000206,-0.588097147252
ACH-000207,-0.520318613997
ACH-000211,-0.31736198944000005
ACH-000215,-0.267164394744
ACH-000221,-0.366347006667
ACH-000222,-0.313581623149
ACH-000223,-0.474184689692
ACH-000226,-0.482635134599
ACH-000227,-0.4136649345
ACH-000228,-0.25586435099
ACH-000231,-0.445369706879
ACH-000232,-0.48825625930699995
ACH-000233,-0.37027139266000003
ACH-000234,-0.569057614606
ACH-000235,-0.436939860555
ACH-000237,-0.685958917243
ACH-000238,-0.51708730008
ACH-000243,-0.317242580191
ACH-000244,-0.46496631729599996
