,EIF3L (51386)
ACH-000004,-0.566966005407
ACH-000007,-0.795483669353
ACH-000009,-0.575476923921
ACH-000011,-0.7965191203569999
ACH-000012,-0.534738694046
ACH-000013,-0.4822868286
ACH-000014,-0.572370946374
ACH-000015,-0.9148965192649999
ACH-000017,-0.608083390122
ACH-000018,-0.686298916857
ACH-000019,-0.565106950169
ACH-000021,-0.6295358484
ACH-000022,-0.542850702706
ACH-000025,-0.36060606344000007
ACH-000028,-0.659557915313
ACH-000030,-0.609848662446
ACH-000035,-0.46290393038500005
ACH-000036,-0.8182042064149999
ACH-000037,-0.291293318811
ACH-000039,-0.6279430879060001
ACH-000040,-0.9349406656720001
ACH-000041,-0.304373764013
ACH-000042,-0.36604750925499996
ACH-000045,-0.665900641285
ACH-000047,-0.396432060132
ACH-000052,-0.611638753524
ACH-000053,-0.707070283916
ACH-000054,-0.446111179683
ACH-000055,-0.892320127809
ACH-000060,-0.703745341122
ACH-000067,-0.7377393867640001
ACH-000070,-0.489800996119
ACH-000075,-0.374421559904
ACH-000078,-0.469374359373
ACH-000082,-0.288641227527
ACH-000085,-0.809722806135
ACH-000086,-0.362605862091
ACH-000087,-0.434717750141
ACH-000092,-0.50220485268
ACH-000095,-0.528536018659
ACH-000097,-0.564535651071
ACH-000098,-0.521485916243
ACH-000099,-0.603588290043
ACH-000108,-0.508202409714
ACH-000113,-0.5570640986300001
ACH-000115,-0.731418756786
ACH-000116,-0.148040684244
ACH-000118,-0.7819748918780001
ACH-000120,-0.483002608046
ACH-000123,-0.54997154828
ACH-000127,-0.513598336741
ACH-000128,-0.49493174661300005
ACH-000132,-0.622738226768
ACH-000133,-0.5535268402369999
ACH-000137,-0.543358982752
ACH-000138,-0.491098408111
ACH-000142,-0.492552837802
ACH-000143,-0.892633300198
ACH-000146,-0.551890399597
ACH-000148,-0.286531878678
ACH-000150,-0.5626685725
ACH-000152,-0.409370676493
ACH-000153,-0.354462090849
ACH-000159,-0.425395026654
ACH-000160,-0.588609420222
ACH-000163,-0.590181959268
ACH-000167,-0.398717707935
ACH-000168,-0.532882039289
ACH-000169,-0.618515082292
ACH-000178,-0.47583160263
ACH-000182,-0.340675531458
ACH-000183,-0.774034785364
ACH-000188,-0.333279910848
ACH-000189,-0.157834783245
ACH-000190,-0.634857600062
ACH-000198,-0.314228327722
ACH-000204,-0.664733119798
ACH-000206,-0.20191389647
ACH-000207,-0.465995899661
ACH-000211,-0.523653370034
ACH-000215,-0.572974843247
ACH-000221,-0.48866474417499994
ACH-000222,-0.426455798119
ACH-000223,-0.816573853041
ACH-000226,-0.616053215973
ACH-000227,-0.6949823834119999
ACH-000228,-0.599064496994
ACH-000231,-0.256487431406
ACH-000232,-0.516586274586
ACH-000233,-0.626232248003
ACH-000234,-0.37861202300499996
ACH-000235,-0.309324360326
ACH-000237,-0.6486571324379999
ACH-000238,-0.614351337214
ACH-000243,-1.04914885136
ACH-000244,-0.5452295703410001
ACH-000246,-0.47002010106299996
ACH-000248,-0.47982368026100003
ACH-000250,-0.44098401876800003
ACH-000251,-0.597856077698
ACH-000253,-0.403073939763
ACH-000255,-0.5945026056830001
ACH-000256,-0.571600855552
ACH-000257,-0.262157693072
ACH-000258,-0.660821924871
ACH-000259,-0.463080078379
ACH-000260,-0.610982676045
ACH-000261,-0.334262174743
ACH-000262,-0.11754783574100001
ACH-000263,-0.39811012366400006
ACH-000264,-0.474722223402
ACH-000265,-0.360873372286
ACH-000266,-0.397106904209
ACH-000272,-0.316030783027
ACH-000273,-0.729662452121
ACH-000274,-0.43611521406900006
ACH-000277,-0.508303885752
ACH-000278,-0.750439707931
ACH-000279,-0.409717911516
ACH-000280,-0.566262453428
ACH-000281,-0.589977712148
ACH-000288,-0.42393344869499994
ACH-000291,-0.732983049921
ACH-000293,-0.570240210252
ACH-000294,-0.534700496141
ACH-000295,-0.317284018299
ACH-000296,-0.632609960981
ACH-000302,-0.319384648923
ACH-000304,-0.40536928750600004
ACH-000307,-0.733673825262
ACH-000308,-0.496660305792
ACH-000310,-0.577879525456
ACH-000311,-0.344223329325
ACH-000312,-0.484316448384
ACH-000315,-1.12771080534
ACH-000316,-0.35468980287600005
ACH-000317,-0.176242969952
ACH-000318,-0.450957129124
ACH-000319,-0.6071844607569999
ACH-000320,-0.498145753674
ACH-000322,-0.7285123023010001
ACH-000323,-1.01776854722
ACH-000324,-0.491900327464
ACH-000329,-0.676483112198
ACH-000330,-0.920595696388
ACH-000331,-0.42639641397
ACH-000332,-0.536982192346
ACH-000334,-0.44570727475500005
ACH-000335,-0.8668852326209999
ACH-000336,-0.32813500723
ACH-000337,-0.640138544714
ACH-000339,-0.49785598391
ACH-000341,-0.825207265749
ACH-000348,-0.332273418676
ACH-000350,-0.523514497268
ACH-000352,-0.751935490954
ACH-000356,-0.651388167187
ACH-000361,-0.42236033426200004
ACH-000362,-0.572291354287
ACH-000363,-0.5827772928130001
ACH-000364,-0.417217607268
ACH-000365,-0.749526726622
ACH-000366,-0.579669699829
ACH-000368,-0.691387861075
ACH-000374,-0.157248800305
ACH-000375,-0.415690610151
ACH-000376,-0.7160143660930001
ACH-000381,-0.49979837883100003
ACH-000383,-0.323703813881
ACH-000387,-0.15085821043199998
ACH-000389,-0.486344487283
ACH-000390,-0.57205063743
ACH-000393,-0.53317315509
ACH-000395,-0.445108279042
ACH-000397,-0.33990252739
ACH-000401,-0.472342176724
ACH-000402,-0.791594969164
ACH-000403,-0.439633503847
ACH-000404,-0.585716928045
ACH-000406,-0.351283646515
ACH-000407,-0.270509454719
ACH-000408,-0.708030961623
ACH-000410,-0.551289564234
ACH-000411,-0.9024923616949999
ACH-000414,-0.545896194496
ACH-000415,-0.475746808926
ACH-000416,-0.435657246292
ACH-000420,-0.71580610107
ACH-000421,-0.636274830687
ACH-000424,-0.616241174393
ACH-000425,-0.778570755066
ACH-000426,-1.01088495781
ACH-000427,-0.532579456932
ACH-000433,-0.646458111339
ACH-000436,-0.691280523057
ACH-000444,-0.45376611854599996
ACH-000445,-0.721107812452
ACH-000448,-0.627482886131
ACH-000450,-0.416571982327
ACH-000452,-0.425676493376
ACH-000454,-0.5850951428760001
ACH-000458,-1.0710100359799999
ACH-000459,-0.376435527655
ACH-000460,-0.474267701766
ACH-000461,-0.433799435983
ACH-000463,-0.37450028647399997
ACH-000464,-0.7608500013670001
ACH-000466,-0.34381946953299997
ACH-000467,-0.5517126534100001
ACH-000468,-0.809537692704
ACH-000469,-0.599143207242
ACH-000470,-0.668996073038
ACH-000471,-0.657271974406
ACH-000472,-0.607288198096
ACH-000473,-0.6376961688080001
ACH-000475,-0.569653176563
ACH-000476,-0.45299134601499996
ACH-000477,-0.571525040226
ACH-000480,-0.363609996455
ACH-000481,-0.49066994032
ACH-000483,-0.7842367438860001
ACH-000484,-0.614626732037
ACH-000485,-0.560981642855
ACH-000486,-0.562639826335
ACH-000487,-0.5331535637870001
ACH-000488,-0.699330382478
ACH-000490,-0.290212017996
ACH-000491,-0.07679626947700001
ACH-000495,-0.393292252022
ACH-000496,-0.40359797585100005
ACH-000499,-0.547537193849
ACH-000500,-0.765108886946
ACH-000502,-0.713998176307
ACH-000503,-0.439561507972
ACH-000505,-0.755495290478
ACH-000507,-0.48030553525700004
ACH-000510,-0.408698182054
ACH-000511,-0.524629608577
ACH-000512,-0.572034433961
ACH-000516,-0.611587254504
ACH-000517,-0.116162775385
ACH-000518,-0.264256595458
ACH-000520,-0.60584734997
ACH-000521,-0.392164913226
ACH-000522,-0.22850878100400002
ACH-000524,-0.658146562793
ACH-000527,-0.592411674415
ACH-000528,-0.630747953031
ACH-000537,-0.419787451764
ACH-000541,-0.7447482814290001
ACH-000542,-0.454800564563
ACH-000544,-0.719500062046
ACH-000545,-0.596402346891
ACH-000547,-0.611618212047
ACH-000548,-0.768223590564
ACH-000549,-0.472091702129
ACH-000550,-0.473323202456
ACH-000552,-0.7951487662729999
ACH-000556,-0.847906700755
ACH-000557,-0.767565621168
ACH-000570,-0.6847479530509999
ACH-000571,-0.6063225670579999
ACH-000573,-0.678425830726
ACH-000576,-0.551309212063
ACH-000580,-0.733570810952
ACH-000584,-0.525166256064
ACH-000585,-0.5053019638699999
ACH-000588,-0.580127932745
ACH-000589,-0.49724002542900003
ACH-000591,-0.68775300183
ACH-000593,-0.44062264051600003
ACH-000600,-0.181759556519
ACH-000601,-0.767611963321
ACH-000604,-0.20252728940200002
ACH-000605,-0.635154630238
ACH-000606,-0.483857565864
ACH-000608,-0.68778856309
ACH-000614,-0.435294170392
