,TIAL1 (7073)
ACH-000004,-0.29426834876200003
ACH-000007,-0.0390271984131
ACH-000009,-0.198109410116
ACH-000011,-0.323339724855
ACH-000012,-0.0392709315766
ACH-000013,0.145822862275
ACH-000014,0.506781884174
ACH-000015,0.113303077876
ACH-000017,0.136796214409
ACH-000018,0.288809175463
ACH-000019,-0.114704828096
ACH-000021,0.116795220454
ACH-000022,-0.00562156839079
ACH-000025,-0.454594392118
ACH-000028,-0.35908078981700003
ACH-000030,0.176311946133
ACH-000035,-0.022965557174999998
ACH-000036,0.0762934068303
ACH-000037,-0.26573346776900003
ACH-000039,-0.390829241863
ACH-000040,0.015154533340600001
ACH-000041,0.223592848487
ACH-000042,-0.12300901238600001
ACH-000045,0.149172911969
ACH-000047,-0.0215391692581
ACH-000052,-0.326537286066
ACH-000053,-0.282411974714
ACH-000054,-0.147424373299
ACH-000055,0.37681588070699995
ACH-000060,0.31782231293200003
ACH-000067,-0.33180775308000005
ACH-000070,-0.428075921005
ACH-000075,-0.532560810236
ACH-000078,-0.25174301245299996
ACH-000082,0.211527787394
ACH-000085,-0.559220973549
ACH-000086,0.00741804360126
ACH-000087,0.255870473206
ACH-000092,0.673631263028
ACH-000095,0.219161559417
ACH-000097,0.060998118053000004
ACH-000098,-0.26515635351399996
ACH-000099,0.0459623134115
ACH-000108,-0.07087549794360001
ACH-000113,-0.10297054751
ACH-000115,0.0590168856692
ACH-000116,-0.460236156575
ACH-000118,-0.16331392703
ACH-000120,0.101915004088
ACH-000123,-0.187373330093
ACH-000127,0.22638084677099998
ACH-000128,0.0999675861034
ACH-000132,-0.10023132629499999
ACH-000133,-0.518676112946
ACH-000137,-0.178269181515
ACH-000138,-0.0471575816734
ACH-000142,0.0610495917145
ACH-000143,0.19171554848900002
ACH-000146,0.0694224938222
ACH-000148,-0.211923239824
ACH-000150,-0.463516444723
ACH-000152,-0.246401713973
ACH-000153,-0.428198638904
ACH-000159,-0.0761640338981
ACH-000160,-0.475534260567
ACH-000163,0.148047135891
ACH-000167,-0.31421812392
ACH-000168,-0.0935109289937
ACH-000169,-0.19551222043400002
ACH-000178,0.0852395905402
ACH-000182,-0.242056277297
ACH-000183,-0.0681420467644
ACH-000188,-0.815751290984
ACH-000189,-0.344519106374
ACH-000190,-0.178371119303
ACH-000198,0.580814130029
ACH-000204,-0.08647750892830001
ACH-000206,-0.0711898728598
ACH-000207,0.000212182118033
ACH-000211,-0.297071030652
ACH-000215,-0.172657825645
ACH-000221,0.0716381148485
ACH-000222,-0.06606623458269999
ACH-000223,-0.292530671217
ACH-000226,-0.571317504314
ACH-000227,-0.034430206526
ACH-000228,-0.226672414369
ACH-000231,-0.116549476491
ACH-000232,-0.249898109029
ACH-000233,-0.627566993394
ACH-000234,0.0198113117827
ACH-000235,0.124540294059
ACH-000237,-0.583465178121
ACH-000238,-0.378736731325
ACH-000243,-0.555221024134
ACH-000244,-0.004670390115520001
ACH-000246,0.0978223915811
ACH-000248,0.0214475838586
ACH-000250,-0.553614586042
ACH-000251,0.010979209278200001
ACH-000253,-0.135177613563
ACH-000255,-0.23643966077700002
ACH-000256,-0.0142353814201
ACH-000257,0.06289270136780001
ACH-000258,0.224214255815
ACH-000259,0.0704440617332
ACH-000260,-0.280790985429
ACH-000261,-0.42559167839400003
ACH-000262,-0.775867357588
ACH-000263,-0.0162985782604
ACH-000264,-0.39353770384900005
ACH-000265,-0.035810485987400005
ACH-000266,0.111870753908
ACH-000272,-0.362233135488
ACH-000273,-0.035359251489900004
ACH-000274,0.27804325538
ACH-000277,0.191747475854
ACH-000278,-0.36182849312200005
ACH-000279,0.018834285338599998
ACH-000280,0.254576532094
ACH-000281,-0.0976329701531
ACH-000288,0.00988883994285
ACH-000291,-0.601741534042
ACH-000293,-0.08307646400610001
ACH-000294,-0.239827986896
ACH-000295,-0.272944689153
ACH-000296,-0.36350135594099997
ACH-000302,-0.0372528108414
ACH-000304,-0.513231127878
ACH-000307,-0.0790749157762
ACH-000308,0.183674256835
ACH-000310,-0.11540636369200001
ACH-000311,-0.199015830418
ACH-000312,-0.0493474014215
ACH-000315,0.136331833136
ACH-000316,-0.120118156979
ACH-000317,-0.226999863614
ACH-000318,-0.117716635714
ACH-000319,-0.473463058357
ACH-000320,0.323124597523
