,LCA5L (150082)
ACH-000004,-0.370288446581
ACH-000007,0.173825148657
ACH-000009,0.11113552401900001
ACH-000011,0.143125173549
ACH-000012,-0.186241679876
ACH-000013,0.10903233772
ACH-000014,0.26497262937
ACH-000015,-0.10271310598899999
ACH-000017,-0.0405927785219
ACH-000018,0.09255851559070001
ACH-000019,-0.0555009274427
ACH-000021,0.0549047200266
ACH-000022,0.009912500122549999
ACH-000025,0.053491343892400005
ACH-000028,-0.158950520406
ACH-000030,0.033633159037900005
ACH-000035,0.134368617951
ACH-000036,-0.0486957579248
ACH-000037,-0.11321622650999999
ACH-000039,-0.16403933101600002
ACH-000040,0.040847787573800004
ACH-000041,0.18863015715
ACH-000042,-0.0321701484507
ACH-000045,0.13208681277999998
ACH-000047,-0.0471888975643
ACH-000052,0.287087876205
ACH-000053,0.021290181603500002
ACH-000054,0.12762743377
ACH-000055,0.151047113902
ACH-000060,0.122760961261
ACH-000067,0.015307360491799999
ACH-000070,0.21511395475200001
ACH-000075,0.135267869482
ACH-000078,-0.0130709278165
ACH-000082,-0.0025757105897300002
ACH-000085,-0.0513954257906
ACH-000086,0.0742299342533
ACH-000087,-0.132430783779
ACH-000092,0.0559293240647
ACH-000095,0.00831745640327
ACH-000097,-0.0510532117968
ACH-000098,-0.055357797808499996
ACH-000099,-0.190288573205
ACH-000108,-0.0687688502694
ACH-000113,0.119654994309
ACH-000115,0.148910382077
ACH-000116,-0.08063963579789998
ACH-000118,0.0640148556421
ACH-000120,-0.1370787597
ACH-000123,-0.0306911993649
ACH-000127,-0.10187317297199999
ACH-000128,0.18685507155900002
ACH-000132,-0.105118226282
ACH-000133,0.152600375473
ACH-000137,0.173034939567
ACH-000138,0.0584251688444
ACH-000142,-0.10592773302200001
ACH-000143,-0.0973198121277
ACH-000146,-0.021756673221299996
ACH-000148,0.221762139452
ACH-000150,0.10065555451500001
ACH-000152,0.0424988228704
ACH-000153,0.140244699519
ACH-000159,0.0397276462073
ACH-000160,-0.09170954091
ACH-000163,0.24573028121100002
ACH-000167,0.0340377366916
ACH-000168,-0.204658387748
ACH-000169,-0.0261728578918
ACH-000178,-0.0101360407977
ACH-000182,0.00268237620606
