,REV3L (5980)
ACH-000004,-0.9649896850220001
ACH-000007,-1.0610244245
ACH-000009,-0.6655144902960001
ACH-000011,-0.614122093101
ACH-000012,-0.669962254367
ACH-000013,-0.660092771604
ACH-000014,-0.795105077092
ACH-000015,-0.7588061687919999
ACH-000017,-0.5228748697860001
ACH-000018,-0.7517452879950001
ACH-000019,-0.426080265598
ACH-000021,-0.824664210447
ACH-000022,-0.5278473045250001
ACH-000025,-0.834645922431
ACH-000028,-0.887581697889
ACH-000030,-0.797993682638
ACH-000035,-1.01160147473
ACH-000036,-0.6841091732979999
ACH-000037,-0.634246113396
ACH-000039,-0.530676586273
ACH-000040,-0.8779974350409999
ACH-000041,-0.83121274305
ACH-000042,-0.7703975330570001
ACH-000045,-0.744778182395
ACH-000047,-0.695113989763
ACH-000052,-0.680100803627
ACH-000053,-0.851674227529
ACH-000054,-0.8343231755480001
ACH-000055,-0.817988802984
ACH-000060,-0.711670851974
ACH-000067,-0.969630973788
ACH-000070,-0.730509757836
ACH-000075,-0.692555450878
ACH-000078,-0.580168735567
ACH-000082,-0.6789980413240001
ACH-000085,-1.12742649815
ACH-000086,-0.519410291254
ACH-000087,-0.757124362547
ACH-000092,-0.6342069867719999
ACH-000095,-0.825502213981
ACH-000097,-0.880382488721
ACH-000098,-0.687729688446
ACH-000099,-0.736767041899
ACH-000108,-0.617888709883
ACH-000113,-0.58854173688
ACH-000115,-0.909127004348
ACH-000116,-0.913937919702
ACH-000118,-0.724451726348
ACH-000120,-0.833235432897
ACH-000123,-0.7881462579109999
ACH-000127,-0.782552182261
ACH-000128,-0.669876154098
ACH-000132,-1.1675024334100002
ACH-000133,-0.5822229538629999
ACH-000137,-0.9271516728329999
ACH-000138,-0.884519642359
ACH-000142,-0.613767886687
ACH-000143,-0.7881356037530001
ACH-000146,-0.547570748382
ACH-000148,-0.992477947948
ACH-000150,-0.68909012003
ACH-000152,-0.615109479873
ACH-000153,-0.539484109389
ACH-000159,-0.902241291381
ACH-000160,-1.0332415832100001
ACH-000163,-0.976903700721
ACH-000167,-0.626258396986
ACH-000168,-0.800902782086
ACH-000169,-0.750279517255
ACH-000178,-0.842605172435
ACH-000182,-0.55366733951
ACH-000183,-0.8619681453929999
ACH-000188,-0.5262266835849999
ACH-000189,-0.655381288561
ACH-000190,-0.46510776629600004
ACH-000198,-0.557028107333
ACH-000204,-0.729371296374
ACH-000206,-0.463585462057
ACH-000207,-0.769416009058
ACH-000211,-0.7951550747730001
ACH-000215,-0.6549129218159999
ACH-000221,-0.798491659039
ACH-000222,-0.66313129047
ACH-000223,-0.992855253935
ACH-000226,-0.749387604786
ACH-000227,-0.939717183293
ACH-000228,-1.01733283876
ACH-000231,-0.587604204368
ACH-000232,-0.6014972379110001
ACH-000233,-0.837843225379
ACH-000234,-0.787331471541
ACH-000235,-0.812021379798
ACH-000237,-0.8356770137039999
ACH-000238,-0.6993467577439999
ACH-000243,-0.708199220346
ACH-000244,-0.870705788489
ACH-000246,-0.7376360806810001
ACH-000248,-0.937252130597
ACH-000250,-0.472450952091
ACH-000251,-0.895117362624
ACH-000253,-0.618391033719
ACH-000255,-0.728388144819
ACH-000256,-0.43695709818899997
ACH-000257,-0.843483697238
ACH-000258,-0.599885063895
ACH-000259,-0.7858942177570001
ACH-000260,-1.0007647408700002
ACH-000261,-0.885058066686
ACH-000262,-0.491277293311
ACH-000263,-1.05578191284
ACH-000264,-0.567540142283
ACH-000265,-0.706135783181
ACH-000266,-0.775059377991
ACH-000272,-0.787289272016
ACH-000273,-0.588826057834
ACH-000274,-0.7758246452140001
ACH-000277,-0.39975346649099996
ACH-000278,-0.998635323733
ACH-000279,-0.7923842418449999
ACH-000280,-1.04893703452
ACH-000281,-0.9168350212809999
ACH-000288,-0.635147272787
ACH-000291,-0.543104771911
ACH-000293,-0.8371445724259999
ACH-000294,-0.314827448962
ACH-000295,-0.7795112160950001
ACH-000296,-0.7749971660510001
ACH-000302,-0.597021174239
ACH-000304,-0.7906999405230001
ACH-000307,-0.6954940716169999
ACH-000308,-0.759445876998
ACH-000310,-0.8196608238699999
ACH-000311,-0.662759633913
ACH-000312,-0.690429090044
ACH-000315,-0.565624618641
ACH-000316,-0.7138177031209999
ACH-000317,-0.6851896903139999
ACH-000318,-0.7924224467990001
ACH-000319,-1.01913320548
ACH-000320,-0.651662879202
ACH-000322,-0.7078461938130001
ACH-000323,-0.7321706815060001
ACH-000324,-0.835287607004
ACH-000329,-0.612738238588
ACH-000330,-0.748585045896
ACH-000331,-1.07694466066
ACH-000332,-0.456674617602
ACH-000334,-0.5631782428190001
ACH-000335,-0.609673959399
ACH-000336,-0.728236364047
ACH-000337,-0.399048536448
ACH-000339,-0.934714495748
ACH-000341,-0.9194440788439999
ACH-000348,-0.815308524324
ACH-000350,-1.19102577004
ACH-000352,-0.723854365146
ACH-000356,-1.0425716361
ACH-000361,-1.0243454707100001
ACH-000362,-0.655265104189
ACH-000363,-1.00560867829
ACH-000364,-0.8342687527089999
ACH-000365,-0.6959956403800001
ACH-000366,-0.676531030532
ACH-000368,-1.2058052349
ACH-000374,-0.622465777929
ACH-000375,-0.675633107882
ACH-000376,-0.731833094964
ACH-000381,-0.782202768271
ACH-000383,-0.464827466991
ACH-000387,-0.9380080296080001
ACH-000389,-0.6355548377319999
ACH-000390,-0.7340103438
ACH-000393,-0.770133163713
ACH-000395,-0.586127407904
ACH-000397,-0.838650089237
ACH-000401,-0.670400108082
ACH-000402,-0.409649148094
ACH-000403,-0.635327369816
ACH-000404,-0.6893912682340001
ACH-000406,-0.651933347976
ACH-000407,-0.93810048816
ACH-000408,-0.635114308824
ACH-000410,-0.803018015553
ACH-000411,-0.7484134302240001
ACH-000414,-0.982439950856
ACH-000415,-1.11316459412
ACH-000416,-0.834101872784
ACH-000420,-1.01953483275
ACH-000421,-0.879531702359
ACH-000424,-0.661665686505
ACH-000425,-0.653617047252
ACH-000426,-0.932765550408
ACH-000427,-0.589339982879
ACH-000433,-0.6857102645540001
ACH-000436,-1.0795177323
ACH-000444,-0.9906256513070001
ACH-000445,-0.691325238937
ACH-000448,-0.76460118706
ACH-000450,-0.5392879019
ACH-000452,-0.615894585313
ACH-000454,-0.5842541280770001
ACH-000458,-0.9383341452989999
ACH-000459,-0.43052452910800004
ACH-000460,-0.860487283892
ACH-000461,-0.564360019499
ACH-000463,-0.924592766981
ACH-000464,-0.45789269141500005
ACH-000466,-0.653503822744
ACH-000467,-0.684813057678
ACH-000468,-0.6226361748879999
ACH-000469,-0.62893900545
ACH-000470,-0.8884858968129999
ACH-000471,-0.560544109736
ACH-000472,-0.807747324097
ACH-000473,-0.512036861267
ACH-000475,-0.807849817879
ACH-000476,-0.8267403517199999
ACH-000477,-0.765686147299
ACH-000480,-0.7305731933699999
ACH-000481,-0.657244743622
ACH-000483,-0.602846764748
ACH-000484,-0.7231956694220001
ACH-000485,-0.841366362646
ACH-000486,-0.581248421096
ACH-000487,-0.653968687457
ACH-000488,-0.655983620949
ACH-000490,-0.8883924933840001
ACH-000491,-0.6991105486310001
ACH-000495,-0.645471520265
ACH-000496,-0.749449731526
ACH-000499,-0.663575760965
ACH-000500,-0.6794117079359999
ACH-000502,-0.694111829971
ACH-000503,-0.690317767817
ACH-000505,-0.714125943795
ACH-000507,-0.8398345142739999
ACH-000510,-0.386265254106
ACH-000511,-0.724493039938
ACH-000512,-0.593822180208
ACH-000516,-0.960677020916
ACH-000517,-0.760493537473
ACH-000518,-0.736839148449
ACH-000520,-0.865858330238
ACH-000521,-0.736099167993
ACH-000522,-0.6460071111010001
ACH-000524,-0.651406246302
ACH-000527,-0.677671275246
ACH-000528,-1.0174309742299998
ACH-000537,-0.877526941766
ACH-000541,-0.513829155079
ACH-000542,-0.551840851629
ACH-000544,-0.735760872995
ACH-000545,-0.750479811415
ACH-000547,-0.6291913191690001
ACH-000548,-0.9024803785719999
ACH-000549,-0.755732995009
ACH-000550,-0.874859406303
ACH-000552,-0.45384996006000006
ACH-000556,-0.716513364018
ACH-000557,-0.649376444335
ACH-000570,-0.6900137510969999
ACH-000571,-0.40271903473000004
ACH-000573,-0.928540509973
ACH-000576,-0.943261466628
ACH-000580,-0.714268663859
ACH-000584,-1.0218729904000001
ACH-000585,-0.816676390658
ACH-000588,-0.625206703429
ACH-000589,-0.7412183065539999
ACH-000591,-0.7475121071080001
ACH-000593,-0.497922500475
ACH-000600,-0.7152657124070001
ACH-000601,-0.747187088623
ACH-000604,-1.2516934278799998
ACH-000605,-1.00451209637
ACH-000606,-0.761875517095
ACH-000608,-0.713593878173
ACH-000614,-0.522131469674
ACH-000616,-0.6814263464620001
ACH-000618,-1.04897045685
ACH-000619,-0.660489196537
ACH-000620,-0.749165873345
ACH-000621,-0.854695545521
ACH-000622,-0.9101551849789999
ACH-000623,-0.6134999056329999
ACH-000624,-0.7244366390070001
ACH-000627,-0.639431853926
ACH-000630,-0.565222928292
ACH-000632,-0.9121737263899999
ACH-000633,-0.508417696027
ACH-000637,-1.0594824576700002
ACH-000638,-0.8590997383299999
ACH-000646,-0.646738301249
ACH-000647,-0.709302236445
ACH-000648,-0.414690128991
ACH-000649,-0.741570685707
ACH-000651,-0.758643047234
ACH-000652,-0.525194019322
ACH-000653,-0.7022715799060001
ACH-000657,-0.997527445217
ACH-000658,-0.615833190643
ACH-000661,-0.6583034590119999
ACH-000662,-0.48160374050800003
ACH-000663,-0.498838161312
ACH-000665,-0.786639910482
ACH-000671,-0.801834665546
ACH-000673,-0.597206741267
ACH-000676,-0.6760245383310001
ACH-000677,-0.8448300625570001
ACH-000681,-0.902398058486
ACH-000682,-0.924853196825
ACH-000683,-0.8654303597840001
ACH-000684,-0.4609697762899999
ACH-000688,-0.58128918356
ACH-000693,-0.8643806469580001
ACH-000694,-0.830338837801
ACH-000695,-1.5357368547699999
ACH-000696,-0.8733765477519999
ACH-000697,-0.82416870579
ACH-000699,-0.994085246882
ACH-000701,-0.837250922485
ACH-000706,-0.7446366084630001
ACH-000711,-0.8046444736239999
ACH-000713,-0.879403475356
ACH-000714,-0.526142234851
ACH-000718,-0.794701891513
ACH-000720,-0.9040189708299999
ACH-000721,-0.697170009657
ACH-000724,-0.436314710374
ACH-000725,-1.4672747477099999
ACH-000732,-0.320769689748
ACH-000734,-0.62909817202
ACH-000735,-0.674109619156
ACH-000736,-0.797947516015
ACH-000738,-0.754534604754
ACH-000746,-0.885106845593
ACH-000747,-0.577191456607
ACH-000748,-0.9283066954700001
ACH-000753,-0.621710982822
ACH-000756,-0.7583969164650001
ACH-000757,-0.77711954983
ACH-000758,-0.614046955845
ACH-000760,-0.834053941239
ACH-000763,-0.880376399486
ACH-000764,-0.507553806967
ACH-000765,-0.653772173358
ACH-000766,-0.47759274081299996
ACH-000767,-0.734076838931
ACH-000768,-0.959507313215
ACH-000769,-0.701520771841
ACH-000770,-0.8318717713349999
ACH-000771,-0.9145242048960001
ACH-000773,-0.677894003331
ACH-000776,-0.566216233712
ACH-000777,-0.8523625989270001
ACH-000778,-0.837638334095
ACH-000781,-0.9732122282790001
ACH-000782,-0.7809739618930001
ACH-000783,-0.775422998204
ACH-000784,-0.788181236893
ACH-000785,-1.3289429859100002
ACH-000787,-0.982008837922
ACH-000788,-0.7650641405930001
ACH-000791,-0.805167966902
ACH-000792,-0.8612222647200001
ACH-000794,-0.651576252071
ACH-000796,-0.752483314048
ACH-000799,-0.640406656819
ACH-000800,-1.1221258516
ACH-000802,-0.904052902178
ACH-000804,-0.520279990925
ACH-000805,-0.8765226907200001
ACH-000809,-0.581372293851
ACH-000810,-0.9611041843189999
ACH-000811,-0.538323575048
ACH-000817,-0.808703782859
ACH-000819,-0.8644734486929999
ACH-000820,-1.2623062317799998
ACH-000821,-0.6261164607109999
ACH-000822,-0.551728434731
ACH-000823,-0.657737612644
ACH-000824,-0.41633145156900003
ACH-000827,-0.7219296941779999
ACH-000829,-0.589105805425
ACH-000831,-0.648551811289
ACH-000832,-0.724886842452
ACH-000833,-0.436323811179
ACH-000834,-0.537820335153
