,PLA2G2E (30814)
ACH-000004,0.08659582891289999
ACH-000007,-0.06277666466580001
ACH-000009,-0.0335250725088
ACH-000011,0.19688792686700002
ACH-000012,-0.0726107146868
ACH-000013,-0.08289747723610001
ACH-000014,0.149846971051
ACH-000015,0.0134623115936
ACH-000017,-0.00893073169642
ACH-000018,-0.149499987061
ACH-000019,0.0472252479471
ACH-000021,-0.0702001775881
ACH-000022,-0.0256104824493
ACH-000025,-0.00440966704729
ACH-000028,0.0646237057056
ACH-000030,-0.0250075299075
ACH-000035,-0.138876604105
ACH-000036,0.0578165940255
ACH-000037,-0.171037034047
ACH-000039,-0.0952914589433
ACH-000040,-0.246344058764
ACH-000041,-0.151459583332
ACH-000042,0.120061620266
ACH-000045,0.135101304012
ACH-000047,-0.051505891498300004
ACH-000052,-0.15513649448300001
ACH-000053,-0.140525647285
ACH-000054,-0.140052556104
ACH-000055,0.118753732435
ACH-000060,-0.111986774107
ACH-000067,-0.025293710136000003
ACH-000070,-0.00511082685065
ACH-000075,-0.047435851635800004
ACH-000078,-0.25277514081
ACH-000082,-0.0162156932397
ACH-000085,0.234475366976
ACH-000086,0.054011451723999994
ACH-000087,0.0837320608788
ACH-000092,-0.1148364159
ACH-000095,-0.102574977871
ACH-000097,0.09094266329350001
ACH-000098,-0.08579876696769999
ACH-000099,-0.114750625419
ACH-000108,-0.102050178873
ACH-000113,-0.220879502489
ACH-000115,-0.136132106501
ACH-000116,0.131813358928
ACH-000118,0.11788279948699999
ACH-000120,0.104559005756
ACH-000123,-0.125050568674
ACH-000127,0.02599196868
ACH-000128,-0.143023300395
ACH-000132,-0.00173041686135
ACH-000133,0.103289126902
ACH-000137,-0.0549101994099
ACH-000138,0.18103501639400002
ACH-000142,-0.0024540635511199997
ACH-000143,0.043974922427400004
ACH-000146,0.0252709177977
ACH-000148,-0.138204848874
ACH-000150,-0.311469208863
ACH-000152,-0.0886503742823
ACH-000153,-0.206646235925
ACH-000159,-0.12285016829800001
ACH-000160,-0.15809119007
ACH-000163,-0.14842267375
ACH-000167,-0.37916375306999994
ACH-000168,-0.0629693739884
ACH-000169,-0.0696151118493
ACH-000178,-0.0434509504349
ACH-000182,0.22132985608800002
ACH-000183,-0.2855700592
ACH-000188,-0.102195084003
ACH-000189,-0.0385885307985
ACH-000190,-0.07019984122669999
ACH-000198,0.00406565930321
ACH-000204,-0.034671340722199996
ACH-000206,0.10390523307600001
