,EBNA1BP2 (10969)
ACH-000004,-0.936429426306
ACH-000007,-1.2304594533600002
ACH-000009,-1.19134104219
ACH-000011,-1.30234226933
ACH-000012,-1.1739555457
ACH-000013,-1.1487453521700002
ACH-000014,-1.0173803212299999
ACH-000015,-0.926938485051
ACH-000017,-1.01295850589
ACH-000018,-0.992258163671
ACH-000019,-1.0854000400700001
ACH-000021,-1.15629058219
ACH-000022,-1.2508816164899998
ACH-000025,-0.896371820991
ACH-000028,-1.14758424566
ACH-000030,-1.01685276099
ACH-000035,-1.17575938896
ACH-000036,-1.16514035763
ACH-000037,-1.3912452370200001
ACH-000039,-1.16022714092
ACH-000040,-1.2350994539
ACH-000041,-1.05601998245
ACH-000042,-1.1428596423000001
ACH-000045,-1.19023266015
ACH-000047,-1.03989186622
ACH-000052,-1.05567623357
ACH-000053,-1.18137568778
ACH-000054,-1.04417775305
ACH-000055,-1.17214276379
ACH-000060,-1.18335713441
ACH-000067,-1.08004034746
ACH-000070,-1.25143253375
ACH-000075,-1.1436915465000002
ACH-000078,-0.8886434919239999
ACH-000082,-1.2287009655299999
ACH-000085,-1.0827120503899998
ACH-000086,-1.12172818757
ACH-000087,-0.87686920654
ACH-000092,-1.15120546794
ACH-000095,-1.09986156134
ACH-000097,-1.24525147317
ACH-000098,-1.07508171638
ACH-000099,-1.18154472032
ACH-000108,-1.1640993614700001
ACH-000113,-1.12916563579
ACH-000115,-1.47478092774
ACH-000116,-1.05657376988
ACH-000118,-1.07182348165
ACH-000120,-1.23090538605
ACH-000123,-1.1036957506
ACH-000127,-1.20515880415
ACH-000128,-1.1347955797
ACH-000132,-1.39926549266
ACH-000133,-1.03577024622
ACH-000137,-1.10109471418
ACH-000138,-0.956414017018
ACH-000142,-1.03989670116
ACH-000143,-1.11673065399
ACH-000146,-0.9177603670460001
ACH-000148,-1.0300546622700002
ACH-000150,-1.22324795062
ACH-000152,-1.04043141066
ACH-000153,-1.15207015341
ACH-000159,-1.01848345728
ACH-000160,-1.1921924100299999
ACH-000163,-0.845428944872
ACH-000167,-1.39470298743
ACH-000168,-0.9865520179530001
ACH-000169,-1.05658131053
ACH-000178,-1.17538918322
ACH-000182,-1.26840077505
ACH-000183,-0.969035913465
ACH-000188,-1.07424968167
ACH-000189,-1.3297585730600001
ACH-000190,-0.908260057684
ACH-000198,-1.15259117439
ACH-000204,-0.916911395107
ACH-000206,-1.25780007491
ACH-000207,-1.38469539391
ACH-000211,-0.948249395174
ACH-000215,-1.0372685309799998
ACH-000221,-0.867089649566
ACH-000222,-1.18479944015
ACH-000223,-1.22374071875
ACH-000226,-1.03432103635
ACH-000227,-1.5129077010799998
ACH-000228,-1.1144201080299998
ACH-000231,-1.11007635888
ACH-000232,-1.16703171174
ACH-000233,-1.01797103338
ACH-000234,-1.16551313494
ACH-000235,-1.12210200049
