,SLU7 (10569)
ACH-000004,-1.82850570652
ACH-000007,-1.0135474228599999
ACH-000009,-1.36660429271
ACH-000011,-1.33316823527
ACH-000012,-1.4000894413
ACH-000013,-1.35568684315
ACH-000014,-1.51929173005
ACH-000015,-1.4466740960100002
ACH-000017,-1.47081089915
ACH-000018,-1.1810999322700002
ACH-000019,-0.9682289413519999
ACH-000021,-1.52184095238
ACH-000022,-1.40932226854
ACH-000025,-1.40230055245
ACH-000028,-0.992623150863
ACH-000030,-1.12236896856
ACH-000035,-1.30711426844
ACH-000036,-1.20417844505
ACH-000037,-1.71039753587
ACH-000039,-1.37236176306
ACH-000040,-1.11322250547
ACH-000041,-1.3975738244
ACH-000042,-1.1860721432999999
ACH-000045,-1.10174897144
ACH-000047,-1.4250083479700002
ACH-000052,-0.921448286077
ACH-000053,-1.59745720215
ACH-000054,-1.23686791771
ACH-000055,-1.20412112009
ACH-000060,-1.11097418034
ACH-000067,-0.968559362599
ACH-000070,-1.15748117936
ACH-000075,-0.9773906229780001
ACH-000078,-1.5464578990600002
ACH-000082,-1.66005776701
ACH-000085,-1.1518607132799998
ACH-000086,-1.1377266838200002
ACH-000087,-1.38158983326
ACH-000092,-1.00017209624
ACH-000095,-1.5500017505500001
ACH-000097,-1.24038371196
ACH-000098,-0.566381637183
ACH-000099,-1.5662211266400001
ACH-000108,-1.4112882632
ACH-000113,-1.6243279388
ACH-000115,-1.5737378393700001
ACH-000116,-1.2776961549299999
ACH-000118,-1.39526778389
ACH-000120,-1.29058806866
ACH-000123,-1.3634715961700001
ACH-000127,-1.4774445765200002
ACH-000128,-1.15142857808
ACH-000132,-1.10514275101
ACH-000133,-0.813664810508
ACH-000137,-1.30906283814
ACH-000138,-1.43586970259
ACH-000142,-1.4000379146000002
ACH-000143,-1.40882477669
ACH-000146,-1.6788189263100002
ACH-000148,-1.45108197211
ACH-000150,-1.4062515496999999
ACH-000152,-1.1804387103899998
ACH-000153,-0.984528606604
ACH-000159,-1.3423963079499999
ACH-000160,-1.4278806904899999
ACH-000163,-1.16476011133
ACH-000167,-1.4018387352200001
ACH-000168,-1.2286087164100001
ACH-000169,-1.19307952865
ACH-000178,-1.11637533288
ACH-000182,-1.0596180581499999
ACH-000183,-1.23221499906
ACH-000188,-1.45162260887
ACH-000189,-1.10477090385
ACH-000190,-1.18686580207
