,NRARP (441478)
ACH-000004,0.0303885272155
ACH-000007,-0.324681176334
ACH-000009,-0.325853515229
ACH-000011,-0.249441551564
ACH-000012,-0.14589907152599998
ACH-000013,-0.391915436227
ACH-000014,0.04989069606219999
ACH-000015,-0.241236646146
ACH-000017,-0.19620045700999997
ACH-000018,-0.0243738599549
ACH-000019,0.0990643281847
ACH-000021,0.0438009323183
ACH-000022,-0.19703634971200001
ACH-000025,-0.152236891126
ACH-000028,-0.2688813879
ACH-000030,-0.11739735177300001
ACH-000035,-0.0315563056743
ACH-000036,-0.156697832544
ACH-000037,-0.208805691276
ACH-000039,0.27875288904
ACH-000040,-0.146194436119
ACH-000041,-0.011979561619899999
ACH-000042,-0.222674934316
ACH-000045,-0.0600434488401
ACH-000047,-0.148087815084
ACH-000052,-0.343820445801
ACH-000053,-0.178104826529
ACH-000054,-0.113267832255
ACH-000055,-0.158186279543
ACH-000060,-0.13207802699899998
ACH-000067,-0.169838701231
ACH-000070,-0.349932379704
ACH-000075,-0.288069593355
ACH-000078,-0.171567265528
ACH-000082,0.00771976788496
ACH-000085,-0.31615843755899997
ACH-000086,-0.0613054306482
ACH-000087,-0.336360446165
ACH-000092,-0.00289484434025
ACH-000095,-0.171175269136
ACH-000097,-0.156010469248
ACH-000098,-0.06323609469449999
ACH-000099,-0.24472406329
ACH-000108,-0.167438432884
ACH-000113,-0.0686558455593
ACH-000115,-0.06024543007730001
ACH-000116,-0.34759389386699996
ACH-000118,-0.17199744333900002
ACH-000120,-0.0600399380062
ACH-000123,-0.125814632944
ACH-000127,-0.17339331290600002
ACH-000128,-0.27922623006499997
ACH-000132,-0.131012700796
ACH-000133,0.00876057983715
ACH-000137,-0.07145470944089999
ACH-000138,-0.2674895735
ACH-000142,-0.0444517114654
ACH-000143,-0.09901015415219999
ACH-000146,-0.25982738893
ACH-000148,-0.0674325781302
ACH-000150,-0.36847248256399995
ACH-000152,-0.147596171864
ACH-000153,0.210580626182
ACH-000159,-0.148482460661
ACH-000160,-0.013924580765200001
ACH-000163,-0.056249323256199996
ACH-000167,-0.0349053440625
ACH-000168,-0.30619546199299996
ACH-000169,-0.287139847876
