,BSCL2 (26580)
ACH-000004,-0.0747409311022
ACH-000007,-0.345451985581
ACH-000009,-0.303072995101
ACH-000011,-0.233425691514
ACH-000012,-0.24784101824700003
ACH-000013,-0.185236858477
ACH-000014,0.187197183173
ACH-000015,-0.169891334021
ACH-000017,-0.216855399133
ACH-000018,-0.428738861942
ACH-000019,-0.124001861214
ACH-000021,-0.33460101937
ACH-000022,-0.10425795040699999
ACH-000025,-0.40885549471999993
ACH-000028,-0.291604899666
ACH-000030,-0.343099661109
ACH-000035,-0.263609761018
ACH-000036,-0.159098701944
ACH-000037,-0.250758435941
ACH-000039,-0.55153806271
ACH-000040,-0.418115307239
ACH-000041,-0.338336855628
ACH-000042,-0.407215292083
ACH-000045,-0.305597706534
ACH-000047,-0.25510027783100003
ACH-000052,-0.303111936581
ACH-000053,-0.271689590119
ACH-000054,-0.191185078915
ACH-000055,-0.455854916097
ACH-000060,-0.153184799794
ACH-000067,-0.191169916614
ACH-000070,-0.0557791466452
ACH-000075,-0.228006428206
ACH-000078,-0.45834540861100004
ACH-000082,-0.418116929699
ACH-000085,-0.93277006921
ACH-000086,-0.43075223083999997
ACH-000087,-0.147709994858
ACH-000092,-0.284772736582
ACH-000095,-0.19153917744399998
ACH-000097,-0.0311936325004
ACH-000098,-0.208217794076
ACH-000099,-0.17231687204100002
ACH-000108,-0.20352922922299999
ACH-000113,-0.19215106869100002
ACH-000115,-0.150232004385
ACH-000116,-0.48482157958300004
ACH-000118,-0.7001669261489999
ACH-000120,-0.229787856996
ACH-000123,-0.441870616632
ACH-000127,-0.333659970853
ACH-000128,-0.14715013300899998
ACH-000132,-0.369645027588
ACH-000133,-0.435357224457
ACH-000137,-0.270952991199
ACH-000138,-0.318919155936
ACH-000142,-0.14798328969
ACH-000143,-0.728720938411
ACH-000146,-0.280368344544
ACH-000148,-0.17664676204
ACH-000150,-0.493315121346
ACH-000152,-0.330940523537
ACH-000153,-0.185581457496
ACH-000159,-0.110986166511
ACH-000160,-0.23584906630600003
ACH-000163,-0.226858208886
ACH-000167,-0.214587197821
ACH-000168,-0.434446175318
ACH-000169,-0.27664916638099996
ACH-000178,-0.30171731234099997
ACH-000182,-0.111934775254
ACH-000183,-0.317881776505
ACH-000188,-0.410066286729
ACH-000189,-0.304905932685
ACH-000190,-0.106179822071
ACH-000198,-0.127394270914
ACH-000204,-0.014368820728400001
ACH-000206,-0.49695015503
ACH-000207,-0.997365044841
ACH-000211,-0.287965555214
ACH-000215,-0.400045852955
ACH-000221,-0.184486557773
ACH-000222,-0.105011942144
ACH-000223,-0.34397178349699997
ACH-000226,-0.157165354406
ACH-000227,-0.243779104395
ACH-000228,-0.525517160256
ACH-000231,-0.137200972802
ACH-000232,-0.157656390014
ACH-000233,-0.430191117263
