,SNRPD3 (6634)
ACH-000004,-1.24404808642
ACH-000007,-0.982974335625
ACH-000009,-1.03088054448
ACH-000011,-1.14228749782
ACH-000012,-1.1265714905700002
ACH-000013,-1.1485887925700002
ACH-000014,-1.28830899921
ACH-000015,-1.29844054668
ACH-000017,-0.9954896007070001
ACH-000018,-0.607436248214
ACH-000019,-1.6596409855
ACH-000021,-1.04898801386
ACH-000022,-1.2170555240799998
ACH-000025,-1.2967975031799999
ACH-000028,-1.27022836462
ACH-000030,-1.2481728349299999
ACH-000035,-0.77146518379
ACH-000036,-1.16850398551
ACH-000037,-1.70441856757
ACH-000039,-1.15623040021
ACH-000040,-0.974380987456
ACH-000041,-1.2554195426299999
ACH-000042,-0.6731840263519999
ACH-000045,-1.3161539972299998
ACH-000047,-1.31858988591
ACH-000052,-1.24820703537
ACH-000053,-1.16829146192
ACH-000054,-0.9881000400859999
ACH-000055,-1.17527427675
ACH-000060,-1.05092891373
ACH-000067,-0.971477876545
ACH-000070,-1.31655653086
ACH-000075,-1.04426186934
ACH-000078,-0.9382310587029999
ACH-000082,-1.22555391608
ACH-000085,-1.23838856891
ACH-000086,-0.954384674736
ACH-000087,-1.3426732890900002
ACH-000092,-1.1318842638
ACH-000095,-1.31767230533
ACH-000097,-1.00137657289
ACH-000098,-1.2042631705
ACH-000099,-1.11138034692
ACH-000108,-1.05733111466
ACH-000113,-1.2102417127399998
ACH-000115,-1.6008203112000001
ACH-000116,-1.05909233092
ACH-000118,-1.0270936835100002
ACH-000120,-1.0657864669
ACH-000123,-1.1580854372299998
ACH-000127,-1.01819371123
ACH-000128,-1.1869731394
ACH-000132,-0.9829249622990001
ACH-000133,-1.13528781711
ACH-000137,-0.962207430696
ACH-000138,-1.11469854408
ACH-000142,-0.898123521408
ACH-000143,-1.0524849773
ACH-000146,-1.29011277295
ACH-000148,-1.02895248624
ACH-000150,-1.25217899601
ACH-000152,-0.811031822347
ACH-000153,-0.808388290834
ACH-000159,-1.01683613926
ACH-000160,-0.895621848447
ACH-000163,-0.9818347860150001
ACH-000167,-1.18180613248
ACH-000168,-1.3177086063099999
ACH-000169,-1.1874305093000002
ACH-000178,-0.971420594179
ACH-000182,-1.0358028811
ACH-000183,-1.12914155354
ACH-000188,-1.03003032177
ACH-000189,-0.725089641968
ACH-000190,-0.7087766614740001
ACH-000198,-1.29413254669
ACH-000204,-1.2057527872299998
ACH-000206,-1.3620880125600001
ACH-000207,-1.55060010057
ACH-000211,-0.876693803698
ACH-000215,-1.0952793834399999
ACH-000221,-1.2810941891
ACH-000222,-1.01175090589
ACH-000223,-0.960395368331
ACH-000226,-1.2956999703399998
ACH-000227,-1.20598831395
ACH-000228,-0.929844667122
ACH-000231,-1.26742923745
ACH-000232,-1.23734557503
ACH-000233,-1.10788595713
ACH-000234,-1.06979316347
ACH-000235,-1.03649201616
ACH-000237,-1.07640578234
ACH-000238,-1.1495300750700002
ACH-000243,-1.04614696204
ACH-000244,-1.01590034671
ACH-000246,-1.1339419288400001
ACH-000248,-0.8593557259360001
ACH-000250,-1.2205834545899998
ACH-000251,-0.9209830541830001
ACH-000253,-1.29956784879
ACH-000255,-0.9657898854420001
ACH-000256,-1.10501662835
ACH-000257,-0.984535285188
ACH-000258,-1.5268026195200002
ACH-000259,-1.07744319236
ACH-000260,-1.3051365630299998
ACH-000261,-1.4775353941999998
ACH-000262,-1.07229820506
ACH-000263,-1.63177104566
ACH-000264,-1.2470635146
ACH-000265,-1.0757169363299999
ACH-000266,-0.947325241858
ACH-000272,-1.31998302264
ACH-000273,-1.33196684728
ACH-000274,-1.27755779884
ACH-000277,-1.35577223419
ACH-000278,-1.54771093638
ACH-000279,-0.7704430421199999
ACH-000280,-1.2264984262
ACH-000281,-0.889961904449
ACH-000288,-0.93414498066
ACH-000291,-1.34165178133
ACH-000293,-1.29670049849
ACH-000294,-1.2675506644499999
ACH-000295,-1.0301777224600002
ACH-000296,-1.2324623776299999
ACH-000302,-1.216595011
ACH-000304,-1.1493416305600002
ACH-000307,-1.06490438254
ACH-000308,-1.1059077001
ACH-000310,-1.15480878864
ACH-000311,-1.10227114436
ACH-000312,-1.12308560128
ACH-000315,-0.906234718009
ACH-000316,-1.21055203976
ACH-000317,-1.19637052403
ACH-000318,-1.00443349551
ACH-000319,-0.80215799692
ACH-000320,-0.698629132027
ACH-000322,-1.29371967991
ACH-000323,-1.18813130778
ACH-000324,-1.0573213107600001
ACH-000329,-1.24909270225
ACH-000330,-1.18092536869
ACH-000331,-1.17071590282
ACH-000332,-1.10406269833
ACH-000334,-1.6652799505200002
ACH-000335,-0.994736436206
ACH-000336,-1.02187058505
ACH-000337,-1.2434921063
ACH-000339,-0.978776897445
ACH-000341,-1.33514610018
ACH-000348,-1.4058723954299999
ACH-000350,-1.29003580345
ACH-000352,-1.08280399636
ACH-000356,-1.079063499
ACH-000361,-1.1130278955700001
ACH-000362,-1.3574475048899999
ACH-000363,-1.52558024629
ACH-000364,-0.8316266100220001
ACH-000365,-1.1616763320899999
ACH-000366,-0.926120702753
ACH-000368,-0.79425904795
ACH-000374,-0.756729575407
ACH-000375,-1.06339432292
ACH-000376,-1.01207503868
ACH-000381,-0.810950399897
ACH-000383,-1.07854438616
ACH-000387,-0.928730425072
ACH-000389,-1.26451684534
ACH-000390,-1.21985183225
ACH-000393,-1.42510988544
ACH-000395,-1.0145704960200002
ACH-000397,-1.0467158317
ACH-000401,-1.16849384254
ACH-000402,-0.969710310629
ACH-000403,-1.36868777676
ACH-000404,-0.9465378302740001
ACH-000406,-1.20335934002
ACH-000407,-1.2559993300799999
ACH-000408,-1.07249454737
ACH-000410,-1.196148609
ACH-000411,-0.8788929106710001
ACH-000414,-1.14003426245
ACH-000415,-0.994898025173
ACH-000416,-1.0725405044399998
ACH-000420,-1.39052261594
ACH-000421,-0.881743708082
ACH-000424,-0.950227693722
ACH-000425,-0.906094567761
ACH-000426,-1.49469053051
ACH-000427,-1.09176293841
ACH-000433,-0.848830850002
ACH-000436,-1.41664550347
ACH-000444,-1.15864369631
