,SLC35G3 (146861)
ACH-000004,-0.230253806484
ACH-000007,-0.110978848384
ACH-000009,-0.45811936545599996
ACH-000011,-0.370417032916
ACH-000012,-0.197929286788
ACH-000013,-0.29783842290999996
ACH-000014,-0.09126174976490001
ACH-000015,-0.047887337942199994
ACH-000017,-0.124782460583
ACH-000018,-0.291681374541
ACH-000019,-0.11426850629100001
ACH-000021,-0.120364655728
ACH-000022,-0.277858939117
ACH-000025,-0.35495536931999994
ACH-000028,-0.288852680737
ACH-000030,-0.269156896638
ACH-000035,-0.5217905325
ACH-000036,-0.307142481652
ACH-000037,0.00094522730832
ACH-000039,-0.43685900961499996
ACH-000040,-0.29167210016
ACH-000041,-0.369316120183
ACH-000042,-0.188139479835
ACH-000045,-0.423368718361
ACH-000047,-0.140203097618
ACH-000052,-0.33741557700400004
ACH-000053,-0.252887166143
ACH-000054,-0.22575778869399998
ACH-000055,-0.297103555992
ACH-000060,-0.37027958052500004
ACH-000067,-0.13418638815199999
ACH-000070,-0.195651791741
ACH-000075,-0.486660903161
ACH-000078,-0.477334946324
ACH-000082,-0.42789850621
ACH-000085,-0.391847091335
ACH-000086,-0.0576472648215
ACH-000087,-0.218494631149
ACH-000092,-0.13620173580999997
ACH-000095,-0.41889171339000003
ACH-000097,-0.31201726346
ACH-000098,-0.39428962635700004
ACH-000099,-0.195801771057
ACH-000108,-0.0482270526991
ACH-000113,-0.35788627513000004
ACH-000115,-0.766739274222
ACH-000116,-0.220565954049
ACH-000118,-0.24156056593800002
ACH-000120,-0.201492530497
ACH-000123,-0.25766476934099997
ACH-000127,-0.269670490098
ACH-000128,-0.23400082406199998
ACH-000132,-0.305488428246
ACH-000133,-0.215032839556
ACH-000137,-0.0263076095187
ACH-000138,-0.201743341621
ACH-000142,-0.322704169401
ACH-000143,-0.388924529996
ACH-000146,-0.399207768108
ACH-000148,-0.266069699309
ACH-000150,-0.103470703643
ACH-000152,-0.21998320898200002
ACH-000153,-0.32021459414700004
ACH-000159,-0.273324437402
ACH-000160,-0.389430419975
ACH-000163,-0.227117324422
ACH-000167,-0.153886809436
ACH-000168,-0.185952420782
ACH-000169,-0.308831635201
ACH-000178,-0.38605661596699997
ACH-000182,-0.0274536283902
ACH-000183,-0.483064692116
ACH-000188,-0.2055231976
ACH-000189,-0.580001018622
ACH-000190,0.00362499564648
ACH-000198,-0.28398899860300003
ACH-000204,-0.44672096811800005
ACH-000206,-0.367655568352
ACH-000207,-0.428138404921
ACH-000211,-0.299871556057
ACH-000215,-0.43566075481000005
ACH-000221,-0.2751757094
ACH-000222,-0.327511695981
ACH-000223,-0.09756158408530001
ACH-000226,-0.26113376708299996
ACH-000227,-0.44416258412500004
ACH-000228,-0.42852757103
ACH-000231,-0.358714217408
ACH-000232,-0.37240902545800003
ACH-000233,-0.34339728725
ACH-000234,-0.140205490838
ACH-000235,-0.246743236677
ACH-000237,-0.281999859265
ACH-000238,-0.40822796309299997
ACH-000243,-0.479925477642
ACH-000244,-0.330815739287
ACH-000246,-0.0814388683438
ACH-000248,-0.188035558213
ACH-000250,-0.350222924534
ACH-000251,-0.19208977510000003
ACH-000253,-0.37274881024400003
ACH-000255,-0.43587422426600003
ACH-000256,-0.217114908904
ACH-000257,0.0244072124327
ACH-000258,-0.17855137045699998
ACH-000259,-0.308831336765
ACH-000260,-0.22408876270300002
ACH-000261,-0.322969138485
ACH-000262,-0.185037809
ACH-000263,-0.315528003422
ACH-000264,-0.275754520575
ACH-000265,-0.238827645212
ACH-000266,-0.34999233361500004
ACH-000272,-0.355093012793
ACH-000273,-0.202153154822
ACH-000274,-0.39025198053000004
ACH-000277,-0.349655858844
ACH-000278,-0.283469688279
ACH-000279,-0.252116769027
ACH-000280,-0.153488174528
ACH-000281,-0.282089789884
ACH-000288,-0.499271422578
ACH-000291,-0.133978231652
ACH-000293,-0.26300409190499996
ACH-000294,-0.217717124613
ACH-000295,-0.534145431012
ACH-000296,-0.25696750983000005
ACH-000302,-0.222032874362
ACH-000304,-0.215528556135
ACH-000307,-0.118841042767
ACH-000308,-0.211450800879
ACH-000310,-0.351852279341
ACH-000311,-0.313947875927
ACH-000312,-0.323828201362
ACH-000315,-0.140214428892
ACH-000316,-0.293746732048
ACH-000317,-0.325120536932
ACH-000318,-0.0507924715147
ACH-000319,-0.26785013509
ACH-000320,-0.41247457692199996
ACH-000322,-0.41390598389
ACH-000323,-0.18263013084600002
ACH-000324,-0.38132455257799996
ACH-000329,-0.31888526166700004
ACH-000330,-0.37303285376
ACH-000331,-0.23983404620499998
ACH-000332,-0.290624612994
ACH-000334,-0.402052040379
ACH-000335,-0.260904949211
ACH-000336,-0.527180233173
ACH-000337,-0.427293797825
ACH-000339,-0.324976876618
ACH-000341,0.13728349197200002
ACH-000348,-0.260989229246
ACH-000350,-0.24650436413899998
ACH-000352,-0.124844020574
ACH-000356,-0.40587044471
ACH-000361,-0.0024393480258400003
ACH-000362,-0.468840793714
ACH-000363,-0.5467865608479999
ACH-000364,-0.15455334501499998
ACH-000365,-0.310349359717
ACH-000366,-0.227684866316
ACH-000368,-0.0124283085044
ACH-000374,-0.09360956335750001
ACH-000375,-0.113365211169
ACH-000376,-0.0631043749714
ACH-000381,-0.365690059277
ACH-000383,-0.288637673519
ACH-000387,-0.443488849701
ACH-000389,-0.14591713899800002
ACH-000390,-0.33226777890299997
ACH-000393,-0.285843097626
ACH-000395,-0.23283439310600001
ACH-000397,-0.332620398869
ACH-000401,-0.0191316607458
ACH-000402,-0.0686269731761
ACH-000403,-0.311857136485
ACH-000404,0.0175427808572
ACH-000406,-0.367410884361
ACH-000407,-0.20782953153
ACH-000408,-0.222578449755
ACH-000410,-0.12245895203500001
ACH-000411,-0.127273314921
ACH-000414,-0.250284178855
ACH-000415,-0.343561250356
ACH-000416,-0.24661690716499998
ACH-000420,-0.300672329909
ACH-000421,-0.247230037214
ACH-000424,-0.159629964437
ACH-000425,-0.184344392657
ACH-000426,-0.403624015881
ACH-000427,-0.421753395241
ACH-000433,-0.46261548998400004
ACH-000436,-0.296046902113
ACH-000444,-0.0552167777675
ACH-000445,-0.0570753707797
ACH-000448,-0.203123442155
ACH-000450,0.0209664691513
ACH-000452,-0.277984392057
ACH-000454,-0.145228647875
ACH-000458,-0.0984359670622
ACH-000459,-0.120885671898
ACH-000460,-0.39549391023900005
ACH-000461,-0.173002471873
ACH-000463,-0.3722188524
ACH-000464,-0.40766004214900003
ACH-000466,-0.31033648750500004
ACH-000467,-0.122146026262
ACH-000468,-0.64173673345
ACH-000469,-0.391081891174
ACH-000470,-0.237241082525
ACH-000471,-0.17939332666900001
ACH-000472,-0.331475004644
ACH-000473,-0.509087366868
ACH-000475,-0.312038625361
ACH-000476,-0.28918833316500003
ACH-000477,-0.35405559906499995
ACH-000480,-0.28403217582699997
ACH-000481,-0.19779935275
ACH-000483,-0.24224493242400003
ACH-000484,-0.140755754302
ACH-000485,-0.412598026564
ACH-000486,-0.0934719762673
ACH-000487,-0.27822036950199996
ACH-000488,-0.271833414357
ACH-000490,-0.195966530243
ACH-000491,-0.468130965613
ACH-000495,-0.00917297155798
ACH-000496,-0.41673913553400005
ACH-000499,-0.299919911049
ACH-000500,0.205172393474
ACH-000502,-0.39125005039099997
ACH-000503,-0.544691876107
ACH-000505,-0.28337159674400003
ACH-000507,-0.481466418329
ACH-000510,-0.139517574151
ACH-000511,-0.280290389907
ACH-000512,-0.224129627104
ACH-000516,-0.528263084806
ACH-000517,-0.392588816916
ACH-000518,-0.172746616733
ACH-000520,0.024952017272799998
ACH-000521,-0.407055072593
ACH-000522,-0.269698052498
ACH-000524,-0.37092369420000004
ACH-000527,-0.206802532679
ACH-000528,-0.22253260631900001
ACH-000537,-0.273429451897
ACH-000541,-0.25100286428199997
ACH-000542,-0.120723932687
ACH-000544,-0.375148840546
ACH-000545,-0.201146550283
ACH-000547,-0.27522761309
ACH-000548,-0.049409952905699994
ACH-000549,-0.307696016394
ACH-000550,-0.294472243843
ACH-000552,-0.38911130882100003
ACH-000556,-0.300142751023
ACH-000557,-0.743408018602
ACH-000570,-0.248301586346
ACH-000571,-0.25196702018399997
ACH-000573,-0.328485654259
ACH-000576,-0.37858833330499997
ACH-000580,-0.35003540081600004
ACH-000584,-0.11542157430500001
ACH-000585,-0.23775775804299998
ACH-000588,-0.359955963101
ACH-000589,-0.39227885459
ACH-000591,-0.24255266278999998
ACH-000593,-0.267835154497
ACH-000600,-0.167479417508
ACH-000601,-0.319047734854
ACH-000604,-0.592825920301
ACH-000605,-0.33124233813299997
ACH-000606,-0.293379857752
