,RNASET2 (8635)
ACH-000004,-0.192645838558
ACH-000007,-0.226388579333
ACH-000009,-0.284541656131
ACH-000011,-0.250543807667
ACH-000012,-0.21295515837999998
ACH-000013,-0.100557745188
ACH-000014,-0.0591510837094
ACH-000015,-0.26124680699299996
ACH-000017,0.0742702344135
ACH-000018,-0.232740771842
ACH-000019,-0.0248918133858
ACH-000021,-0.177674137084
ACH-000022,0.0394899906053
ACH-000025,-0.19841249940000003
ACH-000028,-0.0700366328247
ACH-000030,-0.203828422134
ACH-000035,-0.0573992318576
ACH-000036,-0.26738841550000003
ACH-000037,-0.08688336002460001
ACH-000039,-0.0170018780848
ACH-000040,-0.236939901378
ACH-000041,0.054305610340999996
ACH-000042,-0.324139478265
ACH-000045,-0.139743780448
ACH-000047,-0.08210413184
ACH-000052,-0.111937402513
ACH-000053,-0.306860317982
ACH-000054,-0.22032785346900002
ACH-000055,-0.314556715875
ACH-000060,-0.26364731523
ACH-000067,-0.292588616266
ACH-000070,-0.37604814690399996
ACH-000075,-0.158580870738
ACH-000078,-0.304575272088
ACH-000082,-0.38517251658699997
ACH-000085,-0.0648984001717
ACH-000086,-0.11940726451400001
ACH-000087,-0.27070217124699997
ACH-000092,-0.20769882135200002
ACH-000095,-0.2765533174
ACH-000097,-0.04464638097080001
ACH-000098,-0.18455838510699998
ACH-000099,-0.31085949641800004
ACH-000108,-0.18273387087
ACH-000113,-0.252233737988
ACH-000115,-0.20034926863299998
ACH-000116,-0.134662621406
ACH-000118,-0.24942009525800002
ACH-000120,-0.154259575965
ACH-000123,-0.200594882288
ACH-000127,0.00559503721912
ACH-000128,-0.392986004557
ACH-000132,0.133319601227
ACH-000133,-0.235525009582
ACH-000137,-0.0659861440998
ACH-000138,-0.2370796375
ACH-000142,-0.234644522467
ACH-000143,0.018137689743400003
ACH-000146,-0.308951434874
ACH-000148,-0.271457223517
ACH-000150,-0.39122993830499997
ACH-000152,-0.0830642568088
ACH-000153,-0.150933480937
ACH-000159,-0.36420239481600003
ACH-000160,-0.31992594024099996
ACH-000163,-0.241920852418
ACH-000167,-0.34513505666100003
ACH-000168,-0.25013831698100003
ACH-000169,-0.308404514254
ACH-000178,-0.413632860273
ACH-000182,-0.127852997873
ACH-000183,0.101303429807
ACH-000188,-0.163155006045
ACH-000189,-0.212843201068
ACH-000190,0.127461386601
ACH-000198,-0.150072355353
ACH-000204,0.0346197346819
ACH-000206,-0.11455963101500001
ACH-000207,0.18533719355999997
ACH-000211,-0.161579874604
ACH-000215,-0.109273009044
ACH-000221,-0.355998126654
ACH-000222,-0.151028705693
ACH-000223,-0.146109651049
ACH-000226,-0.0936909674835
ACH-000227,-0.34697916352499997
ACH-000228,-0.287527901681
ACH-000231,-0.19232350261700001
ACH-000232,-0.31566580496999996
ACH-000233,0.0195220835503
ACH-000234,-0.258641735368
ACH-000235,-0.313110794325
ACH-000237,-0.453707865487
ACH-000238,-0.275788084764
ACH-000243,-0.35169030511699995
ACH-000244,-0.35543725199500004
ACH-000246,-0.06113515187580001
ACH-000248,-0.14683252474199998
ACH-000250,-0.294712732569
ACH-000251,-0.08078014704400001
ACH-000253,-0.183925923378
ACH-000255,-0.18353098342000002
ACH-000256,-0.00513372627019
ACH-000257,-0.728827591012
ACH-000258,0.216820115476
ACH-000259,-0.0586434014152
ACH-000260,-0.232413582031
ACH-000261,0.06421650368
ACH-000262,-0.448904046046
ACH-000263,0.157734662075
ACH-000264,-0.0968741582615
ACH-000265,-0.253732096692
ACH-000266,-0.359913448914
ACH-000272,-0.13249987185599998
ACH-000273,-0.114707435384
ACH-000274,0.285354504841
ACH-000277,-0.34517933366899994
ACH-000278,-0.135872816388
ACH-000279,-0.281807897786
ACH-000280,-0.417124588842
ACH-000281,-0.156811044151
ACH-000288,-0.16883591344700002
ACH-000291,-0.19507930123
ACH-000293,-0.23620100319899998
ACH-000294,-0.486393535864
ACH-000295,-0.157797444111
ACH-000296,-0.12598132221799999
ACH-000302,-0.19098765146
ACH-000304,-0.650920238506
ACH-000307,-0.204652570551
ACH-000308,-0.0689720251164
ACH-000310,-0.236964635383
ACH-000311,-0.281280895072
ACH-000312,-0.32026920101
ACH-000315,-0.25741618934300003
ACH-000316,-0.309664398023
ACH-000317,0.0037587639630399998
ACH-000318,-0.0655794688281
ACH-000319,-0.163101397644
ACH-000320,-0.476120259537
ACH-000322,-0.264159507872
ACH-000323,-0.10647344675100001
ACH-000324,-0.132118374953
ACH-000329,-0.152733008659
ACH-000330,-0.219956184139
ACH-000331,-0.07645386906510002
ACH-000332,-0.19855561075599998
ACH-000334,0.04540165339359999
ACH-000335,0.290315199472
ACH-000336,0.07316098646630001
ACH-000337,-0.338747780563
ACH-000339,-0.24396619844
ACH-000341,-0.225328487681
ACH-000348,-0.13145375001700002
ACH-000350,-0.12106989098899999
ACH-000352,-0.111507181056
ACH-000356,0.224119064366
ACH-000361,-0.018988301248099998
ACH-000362,-0.10890108063899999
ACH-000363,-0.315058731297
ACH-000364,-0.0325335116197
ACH-000365,-0.22906542706099997
ACH-000366,-0.055647184511900004
ACH-000368,-0.42061588110299997
ACH-000374,-0.077742374336
ACH-000375,-0.23573285986900003
ACH-000376,0.00275509258393
ACH-000381,-0.10370632284
ACH-000383,-0.08411214794399999
ACH-000387,-0.149706411279
ACH-000389,-0.175494103239
ACH-000390,-0.442153473687
ACH-000393,-0.328574949314
ACH-000395,-0.562038675029
ACH-000397,-0.26064994882
ACH-000401,-0.24015947166999999
ACH-000402,-0.450604565162
ACH-000403,-0.22252523607299998
