,CEBPZ (10153)
ACH-000004,-0.919343318934
ACH-000007,-0.867841751556
ACH-000009,-0.8025733768790001
ACH-000011,-0.7672110309379999
ACH-000012,-1.03027398443
ACH-000013,-0.753876248109
ACH-000014,-0.677647847521
ACH-000015,-0.995995963098
ACH-000017,-0.598865294205
ACH-000018,-0.897211387525
ACH-000019,-1.00042362032
ACH-000021,-0.9196756529729999
ACH-000022,-1.02315222896
ACH-000025,-0.782398403723
ACH-000028,-0.944004108055
ACH-000030,-0.804164346418
ACH-000035,-0.9811497453550001
ACH-000036,-1.0047602852700002
ACH-000037,-1.4114259587
ACH-000039,-0.898190645755
ACH-000040,-1.17560972684
ACH-000041,-1.00458569153
ACH-000042,-0.801073492111
ACH-000045,-1.00552960965
ACH-000047,-0.652202329219
ACH-000052,-1.06921440124
ACH-000053,-1.02591931093
ACH-000054,-0.937273401716
ACH-000055,-0.917091918585
ACH-000060,-0.9766563638150001
ACH-000067,-0.930485903394
ACH-000070,-0.634074580309
ACH-000075,-1.27202863579
ACH-000078,-0.835968771586
ACH-000082,-0.934054475679
ACH-000085,-1.13181212297
ACH-000086,-1.01348107894
ACH-000087,-0.988041293872
ACH-000092,-1.13483222162
ACH-000095,-0.9717448310100001
ACH-000097,-0.943073214327
ACH-000098,-0.898004561398
ACH-000099,-0.825929966225
ACH-000108,-0.863606546258
ACH-000113,-1.2813803419399998
ACH-000115,-0.749122062436
ACH-000116,-0.8209923663199999
ACH-000118,-0.871546391755
ACH-000120,-1.01844892381
ACH-000123,-0.8947133968109999
ACH-000127,-0.899196779415
ACH-000128,-0.9370261894830001
ACH-000132,-0.908530071849
ACH-000133,-1.2283469307500001
ACH-000137,-0.8927840046
ACH-000138,-0.845407163364
ACH-000142,-0.985333011718
ACH-000143,-0.8991636989820001
ACH-000146,-1.04244490512
ACH-000148,-0.803956381212
ACH-000150,-1.16543478145
ACH-000152,-1.3293374085
ACH-000153,-0.6673133715
ACH-000159,-1.12559916121
ACH-000160,-1.07702454655
ACH-000163,-1.06623381192
ACH-000167,-1.47272262646
ACH-000168,-1.2834872022700001
ACH-000169,-1.05485968974
ACH-000178,-0.8911756344239999
ACH-000182,-0.812342699244
ACH-000183,-0.9147206484639999
ACH-000188,-1.30218336529
ACH-000189,-1.1995135029700001
ACH-000190,-0.8584999767929999
ACH-000198,-0.8154980988699999
ACH-000204,-0.694278184144
ACH-000206,-0.884523513343
ACH-000207,-0.6997529054989999
ACH-000211,-0.542983096153
ACH-000215,-0.945449374369
ACH-000221,-0.8624973280410001
ACH-000222,-0.9609232598090001
ACH-000223,-1.00289484386
ACH-000226,-0.782051246496
ACH-000227,-0.849633661827
ACH-000228,-0.9206435415090001
ACH-000231,-1.12193394216
ACH-000232,-0.819089446468
ACH-000233,-0.722406808132
ACH-000234,-0.840400393636
ACH-000235,-0.811119328829
ACH-000237,-1.13442799779
ACH-000238,-1.00612384809
ACH-000243,-0.894763899278
ACH-000244,-0.95370853483
ACH-000246,-0.907638742121
ACH-000248,-0.638844801367
ACH-000250,-0.834464211736
ACH-000251,-1.06921379913
ACH-000253,-1.10938763436
ACH-000255,-0.982203322874
ACH-000256,-1.06509243782
ACH-000257,-1.02500273845
ACH-000258,-0.876258715871
ACH-000259,-0.570873276206
ACH-000260,-0.9558081059929999
ACH-000261,-0.9180927630079999
ACH-000262,-0.753705105969
ACH-000263,-0.523369683759
ACH-000264,-0.759891121502
ACH-000265,-1.0570629624299999
ACH-000266,-0.9282858247110001
ACH-000272,-1.07755558412
ACH-000273,-1.4012181109900002
ACH-000274,-0.9317072152310001
ACH-000277,-0.6846059565870001
ACH-000278,-0.853079727772
ACH-000279,-0.902042892577
ACH-000280,-0.865738559189
ACH-000281,-0.787635620189
ACH-000288,-1.03391718322
ACH-000291,-0.9088747231470001
ACH-000293,-0.654489844819
ACH-000294,-0.558514770809
ACH-000295,-1.10909678222
ACH-000296,-0.756394745419
ACH-000302,-0.807953272218
ACH-000304,-0.684774233906
ACH-000307,-0.8868755854709999
ACH-000308,-0.950363429675
ACH-000310,-0.837197028962
ACH-000311,-0.8686873033779999
ACH-000312,-0.73346612749
ACH-000315,-0.9579491219700002
ACH-000316,-0.9337510097399999
ACH-000317,-0.637034485041
ACH-000318,-0.730836494139
ACH-000319,-1.02678748933
ACH-000320,-0.994828034831
ACH-000322,-1.0841690044299999
ACH-000323,-1.04702376217
ACH-000324,-0.974034244832
ACH-000329,-1.0891925421
ACH-000330,-0.880546668705
ACH-000331,-0.823533069667
ACH-000332,-1.02018703612
ACH-000334,-0.8002023045119999
ACH-000335,-0.649417688239
ACH-000336,-0.986379441636
ACH-000337,-0.589282231557
ACH-000339,-0.909107573574
ACH-000341,-1.25754395957
ACH-000348,-0.791416349153
ACH-000350,-0.8755321818449999
ACH-000352,-0.8433668644410001
ACH-000356,-1.20460704702
ACH-000361,-0.8659648437540001
ACH-000362,-1.00444438612
ACH-000363,-0.9910931285519999
ACH-000364,-0.679896718986
ACH-000365,-0.829824673791
ACH-000366,-1.08287729174
ACH-000368,-1.14678159938
ACH-000374,-0.617879485548
ACH-000375,-1.22060302269
ACH-000376,-0.718486731278
ACH-000381,-1.05363095419
ACH-000383,-1.0484416748799998
ACH-000387,-0.833210774929
