,M1AP (130951)
ACH-000004,-0.06508668695730001
ACH-000007,-0.0710823325561
ACH-000009,-0.0614202923697
ACH-000011,-0.0060245188689799995
ACH-000012,-0.0165225357404
ACH-000013,-0.038912674519000004
ACH-000014,-0.0982976276309
ACH-000015,0.017755369559500002
ACH-000017,0.25026042198000004
ACH-000018,-0.118642596428
ACH-000019,0.132304236688
ACH-000021,-0.16195775297599999
ACH-000022,-0.0584281825737
ACH-000025,0.0378645244032
ACH-000028,0.0307250965433
ACH-000030,-0.112767316139
ACH-000035,-0.342948815985
ACH-000036,-0.213885010751
ACH-000037,-0.00801736775902
ACH-000039,0.0440156660482
ACH-000040,-0.0027584474775100005
ACH-000041,-0.0192137425597
ACH-000042,-0.07152864789489999
ACH-000045,-0.08332896960410001
ACH-000047,-0.0637394204521
ACH-000052,0.055139563109099995
ACH-000053,-0.08669651969630002
ACH-000054,0.0558698252002
ACH-000055,-0.021647813066699998
ACH-000060,0.0418754545992
ACH-000067,0.0746065543697
ACH-000070,-0.08075219522360001
ACH-000075,0.0677087582993
ACH-000078,-0.12423954701199999
ACH-000082,0.00674497211722
ACH-000085,0.0349588533391
ACH-000086,-0.141613323185
ACH-000087,-0.08438524823660001
ACH-000092,-0.244408408687
ACH-000095,0.0051124192062
ACH-000097,-0.005900945019779999
ACH-000098,0.0543769062255
ACH-000099,0.012226374117
ACH-000108,0.036596192344900004
ACH-000113,-0.149207047405
ACH-000115,-0.0678244694171
ACH-000116,-0.0793578664258
ACH-000118,-0.0403144928235
ACH-000120,0.0883772849921
ACH-000123,-0.138884903864
ACH-000127,-0.09461904834830001
ACH-000128,-0.0532760781244
ACH-000132,-0.00236090660146
ACH-000133,-0.21036210969500002
ACH-000137,0.014291278788100001
ACH-000138,-0.05122541822459999
ACH-000142,-0.051096000185599996
ACH-000143,0.0394344377708
ACH-000146,0.029226087617200004
ACH-000148,-0.164447267208
ACH-000150,0.0483064044938
ACH-000152,-0.050416136734800006
ACH-000153,0.281108070859
ACH-000159,-0.00576747292583
ACH-000160,0.116496437971
ACH-000163,0.09771597101160001
ACH-000167,0.283932879342
ACH-000168,0.014742697368100001
ACH-000169,0.0648565056302
ACH-000178,0.053036611063400005
ACH-000182,0.028102268361900003
ACH-000183,-0.14447301159499998
ACH-000188,-0.07899728571560001
ACH-000189,-0.205376972981
ACH-000190,0.274469907175
ACH-000198,-0.11855921824999999
ACH-000204,0.104952446522
ACH-000206,-0.275152914657
ACH-000207,-0.287066227151
ACH-000211,-0.050124980283699994
ACH-000215,0.00350085453474
ACH-000221,-0.09019648646539999
ACH-000222,-0.26268395307799997
ACH-000223,-0.015605438648600001
ACH-000226,-0.09113281152439999
ACH-000227,-0.174893898351
ACH-000228,-0.296961590539
ACH-000231,-0.27605143823
ACH-000232,0.0400352854514
ACH-000233,-0.0768555907975
ACH-000234,0.015447356407899999
ACH-000235,0.00433704398474
ACH-000237,0.0977671917248
ACH-000238,-0.11485146196399999
ACH-000243,-0.171985260422
ACH-000244,-0.17339242708799998
ACH-000246,0.0509618194536
ACH-000248,-0.0433030841158
ACH-000250,-0.0472794078864
ACH-000251,-0.19086874137200002
ACH-000253,0.00318862382589
ACH-000255,-0.09722354058800001
ACH-000256,0.0442948504171
ACH-000257,0.0947228876997
ACH-000258,-0.10538078476099999
ACH-000259,-0.159796738689
ACH-000260,-0.132001585932
ACH-000261,-0.0194188645518
ACH-000262,0.00548638400354
ACH-000263,-0.016138306004600003
ACH-000264,-0.0154955379116
ACH-000265,-0.18622697814
ACH-000266,-0.0265755130628
ACH-000272,-0.07700118381
ACH-000273,-0.230736793035
ACH-000274,-0.0598534416856
ACH-000277,0.073926767518
ACH-000278,0.0706126734531
ACH-000279,-0.0867381015061
ACH-000280,-0.21203778454999997
ACH-000281,-0.175293651013
ACH-000288,-0.19483223548
ACH-000291,-0.0547997745555
ACH-000293,-0.11988499659700001
ACH-000294,-0.419532349698
ACH-000295,-0.205488488831
ACH-000296,0.133374434866
ACH-000302,-0.029655429666599998
ACH-000304,0.167003645349
ACH-000307,-0.122340889792
ACH-000308,0.053117150575500004
ACH-000310,-0.058597582123300004
ACH-000311,-0.273538938254
ACH-000312,0.048855946650599995
ACH-000315,-0.08131109465200001
ACH-000316,0.1901243428
ACH-000317,-0.15467016793500002
ACH-000318,0.00395067753309
ACH-000319,0.0584975766124
ACH-000320,-0.238274665748
ACH-000322,-0.177858863904
ACH-000323,0.033791763406099996
ACH-000324,-0.14157059727399998
ACH-000329,0.0508408745975
ACH-000330,-0.0499210770609
ACH-000331,-0.009451763774100001
ACH-000332,-0.036227531596499996
ACH-000334,-0.0345313541704
ACH-000335,-0.0456896140726
ACH-000336,0.124569819343
ACH-000337,0.11355446106599999
ACH-000339,0.024275016427
ACH-000341,0.0680533229369
ACH-000348,-0.023756570711400003
