,ATP6V0A1 (535)
ACH-000004,-0.22735720211
ACH-000007,-0.376539066928
ACH-000009,-0.667264883728
ACH-000011,-0.120033581384
ACH-000012,-0.326410007461
ACH-000013,-0.225045897167
ACH-000014,-0.360231754712
ACH-000015,-0.0968232081415
ACH-000017,-0.0817614678466
ACH-000018,-0.24561905830800002
ACH-000019,-0.332786032847
ACH-000021,-0.261923205935
ACH-000022,-0.104834874542
ACH-000025,-0.173821881422
ACH-000028,-0.528996520596
ACH-000030,-0.236467280868
ACH-000035,-0.136647002827
ACH-000036,-0.343423793932
ACH-000037,0.0909462515387
ACH-000039,-0.25603696623000005
ACH-000040,-0.127875408567
ACH-000041,-0.259666844286
ACH-000042,-0.138543522989
ACH-000045,-0.378254091812
ACH-000047,-0.0385038947705
ACH-000052,0.0076596692582000005
ACH-000053,-0.290071508797
ACH-000054,-0.417787017082
ACH-000055,-0.06382743955030001
ACH-000060,-0.0670011710503
ACH-000067,-0.454853848287
ACH-000070,-0.198450899182
ACH-000075,-0.125514187296
ACH-000078,-0.526217329785
ACH-000082,-0.185119226266
ACH-000085,0.0897821603775
ACH-000086,-0.106895169454
ACH-000087,0.030147613916
ACH-000092,-0.21767635946
ACH-000095,-0.33220332616099996
ACH-000097,-0.106219907006
ACH-000098,-0.201405770683
ACH-000099,-0.263651161031
ACH-000108,-0.19948904180500002
ACH-000113,-0.266157832127
ACH-000115,-0.11286199391599999
ACH-000116,-0.34243979053199997
ACH-000118,-0.0682717792576
ACH-000120,-0.274022549447
ACH-000123,-0.526364878538
ACH-000127,-0.546044761317
ACH-000128,-0.25335879526
ACH-000132,0.020619060044900002
ACH-000133,-0.345704703345
ACH-000137,-0.08595272804510001
ACH-000138,-0.368699408487
ACH-000142,-0.8656126557899999
ACH-000143,-0.21598543734700001
ACH-000146,-0.20220344382
ACH-000148,-0.39467296094400006
ACH-000150,-0.157682899455
ACH-000152,-0.220256606287
ACH-000153,-0.178439274109
ACH-000159,-0.112593414589
ACH-000160,-0.08738141457620001
ACH-000163,-0.405331947158
ACH-000167,-0.343452595379
ACH-000168,-0.178717483397
ACH-000169,-0.31984336249699996
ACH-000178,-0.230842003459
ACH-000182,0.061153348497099996
ACH-000183,-0.352351164719
ACH-000188,-0.567750127754
ACH-000189,-0.467230212887
ACH-000190,-0.406359132175
ACH-000198,-0.212307554444
ACH-000204,-0.62469542953
ACH-000206,0.11214190884299999
ACH-000207,-0.385315605118
ACH-000211,-0.323959392686
ACH-000215,-0.435670566763
ACH-000221,-0.05422641400809999
ACH-000222,-0.338929527893
ACH-000223,-0.0793077815521
ACH-000226,-0.20387221717
ACH-000227,-0.150255762717
ACH-000228,-0.35789445202299996
ACH-000231,-0.16766881895
ACH-000232,-0.109893624761
ACH-000233,-0.285778780627
ACH-000234,-0.293513046769
ACH-000235,-0.280379410089
ACH-000237,-0.261099144227
ACH-000238,-0.625864993473
ACH-000243,-0.141638405137
ACH-000244,-0.14794232202299998
ACH-000246,-0.237839208173
ACH-000248,-0.190062971803
ACH-000250,-0.23897489542599998
ACH-000251,-0.37585740145999996
ACH-000253,-0.0230094591496
ACH-000255,-0.221065629671
ACH-000256,-0.503801108368
ACH-000257,-0.0132785668775
ACH-000258,-0.22611138181600002
ACH-000259,-0.18190090872900003
ACH-000260,-0.182614550466
ACH-000261,-0.17903821819200003
ACH-000262,-0.288397290571
ACH-000263,-0.49451039270499997
ACH-000264,-0.20549418063299998
ACH-000265,-0.195359768614
ACH-000266,-0.249743290825
ACH-000272,-0.256279729454
ACH-000273,-0.145671920891
ACH-000274,-0.18148537769900003
ACH-000277,-0.21377803742100002
ACH-000278,-0.406169432295
ACH-000279,-0.195011072873
ACH-000280,-0.583074682764
ACH-000281,-0.27807292482900003
ACH-000288,-0.17722084784400002
ACH-000291,-0.296531175407
ACH-000293,-0.308314131138
ACH-000294,-0.486131620582
ACH-000295,-0.216310302951
ACH-000296,-0.7756210048100001
ACH-000302,-0.22311209353300002
ACH-000304,-0.11338965848799999
ACH-000307,-0.28505449909
ACH-000308,-0.207752400235
ACH-000310,-0.317547863667
ACH-000311,-0.34783569673299997
ACH-000312,-0.20484131026799998
ACH-000315,0.139028347321
ACH-000316,-0.293451914814
ACH-000317,-0.194477705031
ACH-000318,-0.404536400739
ACH-000319,-0.33054685574000003
ACH-000320,-0.373567878279
