,ACVR2A (92)
ACH-000004,0.046340403072800004
ACH-000007,-0.0832226952672
ACH-000009,-0.216483462971
ACH-000011,-0.057915901669699996
ACH-000012,-0.164632497489
ACH-000013,-0.0118503122711
ACH-000014,-0.221952410671
ACH-000015,-0.0769080133593
ACH-000017,-0.031292052774200003
ACH-000018,-0.191278346437
ACH-000019,-0.223167273997
ACH-000021,-0.023422909275599996
ACH-000022,-0.0253627900111
ACH-000025,-0.379614533776
ACH-000028,-0.105475390386
ACH-000030,0.0349939612308
ACH-000035,-0.127307848919
ACH-000036,0.048037533713699995
ACH-000037,-0.162044053065
ACH-000039,0.13176773415999998
ACH-000040,0.10067986831299999
ACH-000041,0.029160981225900003
ACH-000042,-0.039910926686
ACH-000045,-0.17213594366999999
ACH-000047,-0.163560402958
ACH-000052,-0.0896468438827
ACH-000053,-0.158435205702
ACH-000054,-0.024167949768599997
ACH-000055,-0.263726776313
ACH-000060,-0.21362229440699998
ACH-000067,0.14628272774599999
ACH-000070,-0.0241204856871
ACH-000075,-0.038496578911
ACH-000078,-0.0853007887957
ACH-000082,-0.105080448215
ACH-000085,-0.414179903028
ACH-000086,-0.154056803662
ACH-000087,0.024379844842
ACH-000092,-0.34385295340300004
ACH-000095,-0.386507974027
ACH-000097,-0.0270062520984
ACH-000098,-0.17633508508
ACH-000099,-0.18404380137600002
ACH-000108,-0.193159873654
ACH-000113,-0.167871956696
ACH-000115,-0.493413455702
ACH-000116,0.012791894313700002
ACH-000118,-0.303891694783
ACH-000120,-0.10413496725600001
ACH-000123,-0.0264051614147
ACH-000127,-0.247931770054
ACH-000128,-0.375609990748
ACH-000132,-0.0827229976363
ACH-000133,-0.192758845049
ACH-000137,-0.200814067265
ACH-000138,-0.17108212065
ACH-000142,-0.111596616881
ACH-000143,0.05917482156019999
ACH-000146,-0.042540559402300004
ACH-000148,0.0939349310521
ACH-000150,0.131056280649
ACH-000152,0.266586288853
ACH-000153,-0.32353053211800004
ACH-000159,0.09892111456989999
ACH-000160,-0.16447096481100001
ACH-000163,-0.034517257142800004
ACH-000167,-0.0679270223922
ACH-000168,-0.137094468755
ACH-000169,0.0041921043788
ACH-000178,-0.04611899667449999
ACH-000182,-0.09797639605969999
ACH-000183,0.165445284871
ACH-000188,-0.10855080609300001
ACH-000189,0.0766801921098
ACH-000190,-0.09645803847899999
ACH-000198,-0.042377377582
ACH-000204,-0.020960004021
ACH-000206,-0.21188503739
ACH-000207,0.112882573443
ACH-000211,-0.301576901458
ACH-000215,0.04340311346390001
ACH-000221,0.0012363202575
ACH-000222,-0.17755763504500002
ACH-000223,-0.181994141852
ACH-000226,-0.16874194207
ACH-000227,-0.255490515612
ACH-000228,-0.132203340157
ACH-000231,-0.11852538524700001
ACH-000232,-0.155602880808
ACH-000233,-0.110244167669
ACH-000234,-0.115641208882
ACH-000235,-0.0826755882187
ACH-000237,-0.13531743938
ACH-000238,-0.158792021682
ACH-000243,-0.10976051965700001
ACH-000244,0.08502760881930001
ACH-000246,0.0405068252382
ACH-000248,-0.0770707030072
ACH-000250,-0.0453977260152
ACH-000251,-0.141567758617
ACH-000253,-0.1871962159
ACH-000255,-0.36298689016900004
ACH-000256,-0.0335050955694
ACH-000257,0.264061755336
ACH-000258,-0.122228355877
ACH-000259,-0.29542787598299997
ACH-000260,0.048849917443000004
ACH-000261,-0.11094855233300001
ACH-000262,-0.13562980895500001
ACH-000263,0.18619809127700002
ACH-000264,0.0936813255119
ACH-000265,-0.134089564243
ACH-000266,-0.25348631918000003
ACH-000272,-0.214180533052
ACH-000273,-0.247713257544
ACH-000274,-0.11073307370100001
ACH-000277,-0.286510719864
ACH-000278,0.0494315626776
ACH-000279,-0.0122292281406
