,CLP1 (10978)
ACH-000004,-1.194030363
ACH-000007,-1.18569062317
ACH-000009,-1.18933327436
ACH-000011,-1.1500120615
ACH-000012,-1.2561869669299999
ACH-000013,-1.03012871994
ACH-000014,-1.1583372801799998
ACH-000015,-1.24248593086
ACH-000017,-1.31952060802
ACH-000018,-1.0950919261499998
ACH-000019,-1.33654693333
ACH-000021,-1.1680401994299998
ACH-000022,-1.0885619606299999
ACH-000025,-1.2732531810299998
ACH-000028,-1.23475080944
ACH-000030,-1.17109516456
ACH-000035,-1.3035254088700001
ACH-000036,-1.38295320188
ACH-000037,-0.56421435603
ACH-000039,-1.17618824366
ACH-000040,-1.27760355561
ACH-000041,-0.985915014099
ACH-000042,-1.17728810263
ACH-000045,-1.20257358963
ACH-000047,-1.1024304385500001
ACH-000052,-1.36351388741
ACH-000053,-1.33382719717
ACH-000054,-1.38308503139
ACH-000055,-1.25029490772
ACH-000060,-1.1722061559499999
ACH-000067,-0.9566196047059999
ACH-000070,-1.3211370295799998
ACH-000075,-1.5406010385299997
ACH-000078,-1.35092502154
ACH-000082,-1.2674640408600002
ACH-000085,-1.3582554012299999
ACH-000086,-1.3828369901800002
ACH-000087,-1.0
ACH-000092,-1.27705202766
ACH-000095,-1.41097867151
ACH-000097,-1.44199268192
ACH-000098,-1.25890157083
ACH-000099,-1.39626618574
ACH-000108,-1.17125504049
ACH-000113,-1.2360744611799999
ACH-000115,-1.28633967586
ACH-000116,-1.3511135763799997
ACH-000118,-1.1469222906299998
ACH-000120,-1.32463053394
ACH-000123,-1.21082137109
ACH-000127,-1.2600769478799998
ACH-000128,-1.47833236984
ACH-000132,-1.3071034612899999
ACH-000133,-1.4592130322499999
ACH-000137,-1.15415774893
ACH-000138,-1.1099810129799998
ACH-000142,-1.06761230902
ACH-000143,-1.07539818983
ACH-000146,-1.18633715685
ACH-000148,-1.12055870983
ACH-000150,-1.21145143467
ACH-000152,-1.2945720756399999
ACH-000153,-0.9547139035200002
ACH-000159,-1.22655273378
ACH-000160,-1.02393292279
ACH-000163,-1.2687312098799999
ACH-000167,-1.07571684462
ACH-000168,-1.13289549914
ACH-000169,-1.4387709570700002
ACH-000178,-1.01609743431
ACH-000182,-1.1879456422299999
ACH-000183,-1.35557317978
