,SDCCAG3 (10807)
ACH-000004,0.0376118553359
ACH-000007,-0.10024848292
ACH-000009,-0.233675014527
ACH-000011,-0.19165144662500003
ACH-000012,-0.092840278695
ACH-000013,-0.282699435332
ACH-000014,-0.0742238258956
ACH-000015,-0.154591002108
ACH-000017,0.0722273423017
ACH-000018,-0.169085609506
ACH-000019,-0.364825696423
ACH-000021,-0.0581945828265
ACH-000022,-0.25069494152800004
ACH-000025,0.051730949307699996
ACH-000028,-0.0581396228282
ACH-000030,-0.0471727879751
ACH-000035,0.112013262259
ACH-000036,-0.169077359238
ACH-000037,-0.115090387226
ACH-000039,0.0147475341182
ACH-000040,-0.06938955876160001
ACH-000041,-0.0766459363799
ACH-000042,-0.162277369448
ACH-000045,0.0049196387546300005
ACH-000047,-0.26833012266399997
ACH-000052,-0.0179489142315
ACH-000053,-0.0263961382822
ACH-000054,-0.0987047250591
ACH-000055,-0.155776304723
ACH-000060,-0.025701648002999997
ACH-000067,-0.151468463819
ACH-000070,-0.162962789493
ACH-000075,-0.17366517555
ACH-000078,0.0322168893239
ACH-000082,0.009593443980580001
ACH-000085,-0.24648638584000002
ACH-000086,-0.07585385625749999
ACH-000087,-0.030318022561400003
ACH-000092,0.000607802065827
ACH-000095,-0.009512454563549998
ACH-000097,-0.14578024256
ACH-000098,-0.127353834744
ACH-000099,-0.10988419490599999
ACH-000108,-0.286650605903
ACH-000113,-0.0410459949026
ACH-000115,-0.156780674209
ACH-000116,-0.119335820747
ACH-000118,-0.18038803666499997
ACH-000120,-0.0794507446537
ACH-000123,0.041615078367699995
ACH-000127,-0.17421729272599998
ACH-000128,0.060187555722000005
ACH-000132,-0.261509512806
ACH-000133,0.013338525140400001
ACH-000137,-0.09776021475220001
ACH-000138,-0.251786520938
ACH-000142,0.034490820238
ACH-000143,-0.034619052430000005
ACH-000146,-0.106434430304
ACH-000148,-0.126461199038
ACH-000150,-0.0781913753612
ACH-000152,-0.152710563643
ACH-000153,-0.0523734627657
ACH-000159,-0.0635874836507
ACH-000160,-0.299388047497
ACH-000163,-0.0119524715791
ACH-000167,-0.43039947657399996
ACH-000168,-0.20044215133
ACH-000169,-0.204305556729
ACH-000178,-0.186502650275
ACH-000182,-0.172381966661
ACH-000183,-0.05960501681580001
ACH-000188,-0.23262116310400002
ACH-000189,-0.37563354789000003
ACH-000190,-0.0198404501428
ACH-000198,-0.103546499172
ACH-000204,0.0715628349911
ACH-000206,-0.07168160956689999
ACH-000207,-0.27830981165
ACH-000211,-0.22768300751200002
ACH-000215,-0.214305701824
ACH-000221,-0.027114913533799998
ACH-000222,-0.207865668656
ACH-000223,-0.0903444391405
ACH-000226,-0.0442479696994
ACH-000227,-0.024119386313400003
ACH-000228,-0.115273208772
ACH-000231,-0.0944685560258
ACH-000232,-0.112376486864
ACH-000233,0.071724488706
ACH-000234,-0.21225430774300003
ACH-000235,-0.107040153832
ACH-000237,-0.147758610807
ACH-000238,-0.243174441008
ACH-000243,-0.07214356923910001
ACH-000244,0.00435592094768
ACH-000246,-0.307214627074
ACH-000248,-0.120839044349
ACH-000250,-0.21045356249000002
ACH-000251,-0.42551331812200005
ACH-000253,-0.17302381786600002
ACH-000255,-0.110962998189
ACH-000256,-0.017901104667
