,FAU (2197)
ACH-000004,-1.72229441713
ACH-000007,-1.81187488771
ACH-000009,-2.02341770845
ACH-000011,-2.1824591832499998
ACH-000012,-1.6777290952000001
ACH-000013,-1.6370365654799999
ACH-000014,-1.96771294852
ACH-000015,-1.92025738872
ACH-000017,-1.6576959306799999
ACH-000018,-1.7783854139099997
ACH-000019,-1.8713528641900004
ACH-000021,-1.6959559973500002
ACH-000022,-2.1351309869799997
ACH-000025,-1.76689014324
ACH-000028,-1.75215695444
ACH-000030,-1.8819235743400002
ACH-000035,-1.51804030905
ACH-000036,-1.61865986384
ACH-000037,-2.78646643449
ACH-000039,-1.7889413523599997
ACH-000040,-1.6710107526700002
ACH-000041,-1.97858391438
ACH-000042,-1.69224635562
ACH-000045,-2.1203620872099997
ACH-000047,-1.70793194456
ACH-000052,-1.4032569463299998
ACH-000053,-1.6883151978600002
ACH-000054,-1.83526790104
ACH-000055,-1.8356659074200001
ACH-000060,-2.02291597275
ACH-000067,-1.72766925183
ACH-000070,-1.99096847353
ACH-000075,-1.4906178522100002
ACH-000078,-1.74615311368
ACH-000082,-1.7564921933099997
ACH-000085,-1.7795144041099997
ACH-000086,-1.61850204116
ACH-000087,-1.4258898907799997
ACH-000092,-1.7592468242400003
ACH-000095,-1.8156137528299998
ACH-000097,-1.8045426969999998
ACH-000098,-1.7340771663599999
ACH-000099,-1.7168874517200001
ACH-000108,-1.68202463382
ACH-000113,-2.12434638467
ACH-000115,-1.9202003689200002
ACH-000116,-1.5155118954
ACH-000118,-1.5717600988
ACH-000120,-1.5893906360699999
ACH-000123,-1.99348241871
ACH-000127,-1.7368007448900002
ACH-000128,-1.84510433518
ACH-000132,-1.8026118934900002
ACH-000133,-1.9032855293400002
ACH-000137,-1.8859365483300001
ACH-000138,-1.8636607236200002
ACH-000142,-1.5006857917899998
ACH-000143,-1.7504549437799999
ACH-000146,-2.22007764782
ACH-000148,-1.9407274008099997
ACH-000150,-1.97916312887
ACH-000152,-1.52716555913
ACH-000153,-1.8614392309
ACH-000159,-1.76702493375
ACH-000160,-1.8093085379299998
ACH-000163,-1.88086144816
ACH-000167,-1.50087493584
ACH-000168,-2.10205538836
ACH-000169,-1.8610012623199998
ACH-000178,-1.6110972136200001
ACH-000182,-1.70523608207
ACH-000183,-1.7418777148400002
ACH-000188,-1.6921038686399998
ACH-000189,-2.16970004852
ACH-000190,-1.8887926693700001
ACH-000198,-1.9020026854799998
ACH-000204,-1.87110965216
ACH-000206,-2.2074418732099996
ACH-000207,-1.73459038808
ACH-000211,-1.87226728211
ACH-000215,-1.76431263162
ACH-000221,-2.07634554447
ACH-000222,-1.8446257965000001
ACH-000223,-1.62155226665
ACH-000226,-1.8650210305700001
ACH-000227,-1.8798026709
ACH-000228,-1.64973003567
ACH-000231,-1.5786018590200002
ACH-000232,-1.96108875371
ACH-000233,-1.9129326682299999
ACH-000234,-2.44719530479
ACH-000235,-1.7199874343700001
ACH-000237,-2.08187021413
ACH-000238,-1.46857914947
ACH-000243,-1.5608929048500002
ACH-000244,-1.8517458448400004
ACH-000246,-2.01701220004
ACH-000248,-1.58094348694
ACH-000250,-1.7612540849400002
ACH-000251,-1.8659683747599998
ACH-000253,-1.8918228163900004
ACH-000255,-1.7678821048500002
ACH-000256,-1.8910182945099998
ACH-000257,-1.6853187909099998
ACH-000258,-1.2707209429700002
ACH-000259,-1.77425844439
ACH-000260,-1.8062834567700001
ACH-000261,-1.89096045159
ACH-000262,-1.99272033232
ACH-000263,-1.8113453911200001
ACH-000264,-1.7799040423299999
ACH-000265,-2.06698485944
ACH-000266,-1.66730352032
ACH-000272,-1.6641481860799998
ACH-000273,-1.678811335
ACH-000274,-1.8894295830599999
ACH-000277,-1.8977607086099997
ACH-000278,-1.7826508289099998
ACH-000279,-1.51022494195
ACH-000280,-1.7226938728599999
ACH-000281,-1.7839354041
ACH-000288,-1.7168092611599999
ACH-000291,-1.7675739292400003
ACH-000293,-2.40887073072
ACH-000294,-2.1854886963599998
ACH-000295,-1.58153356418
ACH-000296,-1.5844056878600001
ACH-000302,-1.81345434095
ACH-000304,-1.8675236813299998
ACH-000307,-1.8994504748400003
ACH-000308,-1.7717961779900002
ACH-000310,-1.87553381491
ACH-000311,-1.9533607404099997
ACH-000312,-1.66447219398
ACH-000315,-2.2633084658300002
ACH-000316,-1.7008545361
ACH-000317,-1.73323165007
ACH-000318,-1.8723749145299997
ACH-000319,-1.7596278401400003
ACH-000320,-1.58501371238
ACH-000322,-1.5997897248700002
ACH-000323,-1.79546031398
ACH-000324,-1.74589463198
ACH-000329,-1.85317450336
ACH-000330,-1.3699145785799998
ACH-000331,-1.74529175602
ACH-000332,-1.67316528183
ACH-000334,-2.02257320588
ACH-000335,-1.64960630637
ACH-000336,-2.23288498627
ACH-000337,-1.90047085792
ACH-000339,-1.7818949393099999
ACH-000341,-2.14310616655
ACH-000348,-1.82037057281
ACH-000350,-2.2457557411099995
ACH-000352,-1.7494501268
ACH-000356,-1.9149649192200002
ACH-000361,-1.81077130499
ACH-000362,-2.06026359182
ACH-000363,-1.9595738672099998
ACH-000364,-1.76173919033
ACH-000365,-1.9283085527300001
ACH-000366,-1.9687090831
ACH-000368,-1.8857359389300001
ACH-000374,-1.52322349132
ACH-000375,-1.93638326707
ACH-000376,-1.6769559809399999
ACH-000381,-1.56810762097
ACH-000383,-1.7622492700499999
ACH-000387,-1.83070168982
