,AIF1L (83543)
ACH-000004,-0.303458501404
ACH-000007,-0.209461635517
ACH-000009,-0.32204959402600003
ACH-000011,-0.18043971109999998
ACH-000012,-0.35815175260300003
ACH-000013,-0.386734419497
ACH-000014,-0.0031240177926599995
ACH-000015,-0.356286694044
ACH-000017,-0.253842026113
ACH-000018,-0.489426895149
ACH-000019,-0.451110139282
ACH-000021,-0.21788181615200003
ACH-000022,-0.179021669021
ACH-000025,-0.324909945856
ACH-000028,-0.189564267697
ACH-000030,-0.220527455916
ACH-000035,-0.24621129843000003
ACH-000036,-0.202406406435
ACH-000037,-0.100119241087
ACH-000039,-0.22857025562199998
ACH-000040,-0.10447624374
ACH-000041,-0.47222003634900006
ACH-000042,-0.225877607878
ACH-000045,-0.35762224533799997
ACH-000047,-0.317934336514
ACH-000052,-0.46565172056299997
ACH-000053,-0.149728787508
ACH-000054,-0.270802720853
ACH-000055,-0.138165937282
ACH-000060,-0.377910248305
ACH-000067,-0.122536132318
ACH-000070,-0.160487570811
ACH-000075,-0.539862477181
ACH-000078,-0.11846396025900001
ACH-000082,-0.23245659624499998
ACH-000085,-0.36752438839100005
ACH-000086,-0.27141982594999997
ACH-000087,-0.512798809981
ACH-000092,-0.0635746347362
ACH-000095,-0.17925802784699998
ACH-000097,-0.153573895013
ACH-000098,-0.034758492521599994
ACH-000099,-0.18318277982700001
ACH-000108,-0.007676840231890001
ACH-000113,-0.16323155358799998
ACH-000115,-0.265271095076
ACH-000116,-0.36428956757
ACH-000118,-0.23633883650100002
ACH-000120,-0.054632597835400004
ACH-000123,-0.24822093126800002
ACH-000127,-0.34842082816799996
ACH-000128,-0.231623479738
ACH-000132,-0.398662171647
ACH-000133,-0.247212769765
ACH-000137,-0.278653037165
ACH-000138,-0.237173653195
ACH-000142,-0.126296909713
ACH-000143,0.0437877092626
ACH-000146,-0.205959453506
ACH-000148,-0.141188617829
ACH-000150,-0.18080870421599998
ACH-000152,-0.438031420055
ACH-000153,-0.138815002637
ACH-000159,-0.21650641779899998
ACH-000160,-0.549581552744
ACH-000163,-0.39453779553499996
ACH-000167,-0.16827737972100001
ACH-000168,-0.104914643697
ACH-000169,-0.375636254347
ACH-000178,-0.293986561765
ACH-000182,-0.256100546336
ACH-000183,-0.32642732160300003
ACH-000188,-0.194256060356
ACH-000189,-0.289288880573
ACH-000190,-0.41864484316699996
ACH-000198,-0.373001085496
ACH-000204,-0.42000730420000004
ACH-000206,-0.242365256043
ACH-000207,-0.6554692350810001
ACH-000211,-0.166676470481
ACH-000215,-0.375141691137
ACH-000221,-0.034770715133
ACH-000222,0.0508913255453
ACH-000223,-0.241439865238
ACH-000226,-0.244793075896
ACH-000227,-0.18979203541499998
ACH-000228,-0.247552547383
ACH-000231,-0.250694864902
ACH-000232,-0.18179512379999999
ACH-000233,-0.25588969065
ACH-000234,-0.367419965536
ACH-000235,-0.312302584728
ACH-000237,-0.353735771122
ACH-000238,-0.108560615793
ACH-000243,-0.26928786607099997
ACH-000244,-0.435014053718
ACH-000246,-0.261358501043
ACH-000248,-0.25502650275600003
ACH-000250,-0.23573212681999997
ACH-000251,0.0333423924911
ACH-000253,-0.36394900229599997
ACH-000255,-0.356836319579
ACH-000256,-0.18744652556699998
ACH-000257,-0.318398895851
ACH-000258,-0.310277943844
ACH-000259,-0.234806950584
ACH-000260,-0.293710502871
ACH-000261,-0.286438284732
ACH-000262,-0.17333107653000002
ACH-000263,-0.6953667037569999
ACH-000264,-0.24028361639100002
ACH-000265,-0.119992369179
ACH-000266,-0.279041260636
ACH-000272,-0.228447778929
ACH-000273,-0.37591967915799995
ACH-000274,-0.351070932267
ACH-000277,-0.419849787179
ACH-000278,-0.330944982708
ACH-000279,-0.180767462969
ACH-000280,-0.263033747272
ACH-000281,-0.133803489031
ACH-000288,-0.10576199974600001
ACH-000291,-0.305988683258
ACH-000293,-0.220286403775
ACH-000294,-0.32764264223
ACH-000295,-0.062307537632200004
ACH-000296,0.034701929978
ACH-000302,-0.15295683391200002
ACH-000304,-0.370817657651
ACH-000307,-0.299899203325
ACH-000308,-0.17821608404199998
ACH-000310,-0.14549926687
ACH-000311,-0.15474528959
ACH-000312,-0.132484665101
ACH-000315,-0.479145671562
ACH-000316,-0.18722662751699998
ACH-000317,-0.171568385854
ACH-000318,-0.34307832512900005
ACH-000319,-0.0680959830992
ACH-000320,-0.0123642540986
ACH-000322,-0.273066260977
ACH-000323,-0.18726577051600002
ACH-000324,-0.233801299064
ACH-000329,-0.23803737375700001
ACH-000330,0.0769346152833
ACH-000331,-0.254220606899
ACH-000332,-0.312597839133
ACH-000334,0.0252083110028
ACH-000335,-0.152032455508
ACH-000336,0.11116729231799999
ACH-000337,-0.240632387448
ACH-000339,-0.24580277129
ACH-000341,0.319836215304
ACH-000348,-0.250125416003
ACH-000350,-0.005159125961899999
ACH-000352,-0.09262164619510001
ACH-000356,-0.293144710609
ACH-000361,-0.140669999903
ACH-000362,-0.126596550853
ACH-000363,-0.342362383478
ACH-000364,-0.030348081505
ACH-000365,-0.14804133167199998
ACH-000366,-0.162946972911
ACH-000368,-0.30715311246800003
ACH-000374,-0.142586600541
ACH-000375,-0.295293375724
ACH-000376,-0.247041982365
ACH-000381,-0.29920922578000003
ACH-000383,-0.324417292738
ACH-000387,-0.204415748387
ACH-000389,-0.40790368045000003
ACH-000390,-0.140578666986
ACH-000393,-0.153633400353
ACH-000395,-0.590178741555
ACH-000397,-0.18342305279100002
ACH-000401,-0.324202099588
ACH-000402,-0.5105186658340001
ACH-000403,-0.243038383405
ACH-000404,-0.45254949163999997
ACH-000406,-0.19752690690000002
ACH-000407,-0.2090900732
ACH-000408,-0.386120522818
ACH-000410,-0.28554203611400003
ACH-000411,-0.35646024119499997
ACH-000414,-0.192815178917
ACH-000415,-0.047889516248399995
ACH-000416,-0.16801702795600001
ACH-000420,-0.36215580663900004
ACH-000421,-0.20652864758699999
ACH-000424,-0.325578205819
ACH-000425,-0.218293173556
ACH-000426,-0.34677022527400003
ACH-000427,-0.281101048412
ACH-000433,-0.164376915868
ACH-000436,-0.20036713292
ACH-000444,-0.264934915755
ACH-000445,-0.41513566972800003
