,USHBP1 (83878)
ACH-000004,-0.204156594893
ACH-000007,-0.334363989875
ACH-000009,-0.244054464582
ACH-000011,-0.09898117198660002
ACH-000012,-0.395484472849
ACH-000013,-0.261483273891
ACH-000014,-0.273816265187
ACH-000015,-0.362506339472
ACH-000017,-0.313264975989
ACH-000018,-0.311629724978
ACH-000019,-0.293769927408
ACH-000021,-0.343335313335
ACH-000022,-0.317425994743
ACH-000025,-0.22924093369100002
ACH-000028,0.00800865354423
ACH-000030,-0.39326875660300004
ACH-000035,-0.258658498242
ACH-000036,-0.357024012188
ACH-000037,0.016924450864
ACH-000039,-0.203036353876
ACH-000040,-0.15578418111700001
ACH-000041,-0.35830977936700004
ACH-000042,-0.342787600929
ACH-000045,-0.310703646333
ACH-000047,-0.0941239984943
ACH-000052,-0.20165527513099998
ACH-000053,-0.254271522651
ACH-000054,-0.279084501704
ACH-000055,-0.389882344181
ACH-000060,-0.178528750471
ACH-000067,-0.10154947808800001
ACH-000070,-0.22200158164500003
ACH-000075,-0.39814212089100004
ACH-000078,-0.311555154677
ACH-000082,-0.33354605742
ACH-000085,-0.633218674825
ACH-000086,-0.28601004663199997
ACH-000087,-0.137933805347
ACH-000092,-0.304885099082
ACH-000095,-0.372517860774
ACH-000097,-0.128616588376
ACH-000098,-0.382836246084
ACH-000099,-0.34223404438500005
ACH-000108,-0.326110425513
ACH-000113,-0.227148382623
ACH-000115,-0.46435814192599995
ACH-000116,-0.194316658569
ACH-000118,-0.333059065971
ACH-000120,-0.237772366644
ACH-000123,-0.230218842585
ACH-000127,-0.353488897435
ACH-000128,-0.295992159633
ACH-000132,-0.282687026307
ACH-000133,-0.207391156378
ACH-000137,-0.416534160453
ACH-000138,-0.35883842152900003
ACH-000142,-0.310037880819
ACH-000143,-0.179765784095
ACH-000146,-0.330704244521
ACH-000148,-0.40009593648900005
ACH-000150,-0.311010062621
ACH-000152,-0.130419237207
ACH-000153,-0.16433097438
ACH-000159,-0.112512107095
ACH-000160,-0.061928220392300004
ACH-000163,-0.467571566796
ACH-000167,-0.489360587134
ACH-000168,-0.229729309351
ACH-000169,-0.13326662977499998
ACH-000178,-0.141822487153
ACH-000182,-0.244735000436
ACH-000183,-0.488652663462
ACH-000188,-0.485851035538
ACH-000189,-0.128506792946
ACH-000190,-0.12275718619100001
ACH-000198,-0.356052798493
ACH-000204,-0.29217966944400003
ACH-000206,-0.248076503534
ACH-000207,-0.382476316506
ACH-000211,-0.29295358629900003
ACH-000215,-0.172031221125
ACH-000221,-0.28286593566999996
ACH-000222,-0.22868327806299998
ACH-000223,-0.248559998852
ACH-000226,-0.255312137443
ACH-000227,-0.45293534580600003
ACH-000228,-0.158846271072
ACH-000231,-0.0159312681356
ACH-000232,-0.20870729366000002
ACH-000233,-0.39608266994499997
ACH-000234,-0.378991299042
ACH-000235,-0.23732288377799998
ACH-000237,-0.23307577824200001
ACH-000238,-0.0301215665374
ACH-000243,-0.40809167870499996
ACH-000244,-0.138155193991
ACH-000246,-0.10293467011499999
ACH-000248,-0.40408625368100004
ACH-000250,-0.241758666418
ACH-000251,-0.493628947759
ACH-000253,-0.336380568956
ACH-000255,-0.300402185514
ACH-000256,-0.303722922334
ACH-000257,-0.417877363677
ACH-000258,-0.0676465027184
ACH-000259,-0.183345889412
ACH-000260,-0.21908514067600002
ACH-000261,-0.199486640583
ACH-000262,-0.361439830646
ACH-000263,0.140287764036
ACH-000264,-0.294299565092
ACH-000265,-0.18575098991099998
ACH-000266,-0.248937027208
ACH-000272,-0.204940033673
ACH-000273,-0.180327435673
ACH-000274,-0.11160574900900001
ACH-000277,-0.12913822595799998
ACH-000278,-0.0596563181624
