,CKAP2L (150468)
ACH-000004,-0.35566949925999997
ACH-000007,-0.148528067106
ACH-000009,-0.0801251715533
ACH-000011,-0.15512145919099998
ACH-000012,-0.32369358497699996
ACH-000013,-0.626329512252
ACH-000014,-0.421689866295
ACH-000015,-0.16157189900900001
ACH-000017,-0.0533286544199
ACH-000018,-0.284025212892
ACH-000019,-0.10514823030300001
ACH-000021,-0.0898639225669
ACH-000022,-0.105124566313
ACH-000025,-0.282668441357
ACH-000028,-0.43509551690399995
ACH-000030,-0.20344106007800003
ACH-000035,-0.442947375945
ACH-000036,-0.185480788893
ACH-000037,-0.246844085491
ACH-000039,-0.0911999990936
ACH-000040,-0.0788360459875
ACH-000041,-0.156391222303
ACH-000042,-0.382985744089
ACH-000045,-0.39928644285099996
ACH-000047,-0.021694081794099998
ACH-000052,-0.165489289027
ACH-000053,-0.533699181923
ACH-000054,-0.137265628506
ACH-000055,-0.20850878069200002
ACH-000060,-0.235320196846
ACH-000067,-0.271728119514
ACH-000070,-0.037111160813800004
ACH-000075,0.00163812424223
ACH-000078,0.08329808580789999
ACH-000082,-0.191335258077
ACH-000085,-0.20326925704100002
ACH-000086,-0.045402960712400006
ACH-000087,-0.37582970847900005
ACH-000092,-0.297323702268
ACH-000095,-0.026070323817099998
ACH-000097,-0.0938643264714
ACH-000098,-0.229715720301
ACH-000099,-0.0155329886381
ACH-000108,-0.051856016014499996
ACH-000113,-0.236289179401
ACH-000115,-0.308272075115
ACH-000116,-0.271039260316
ACH-000118,-0.163417067345
ACH-000120,-0.142567605324
ACH-000123,-0.26167850417599997
ACH-000127,-0.159348918877
ACH-000128,-0.278811114232
ACH-000132,-0.3152639234
ACH-000133,-0.147822465142
ACH-000137,-0.21121691124400002
ACH-000138,-0.320009443569
ACH-000142,-0.473982969735
ACH-000143,-0.226259127852
ACH-000146,-0.0655107370865
ACH-000148,-0.0454621612634
ACH-000150,-0.041670285767099996
ACH-000152,-0.06681445870019999
ACH-000153,-0.48522998417700003
ACH-000159,-0.20427054743
ACH-000160,-0.432705232682
ACH-000163,-0.609878147691
ACH-000167,-0.266816005468
ACH-000168,-0.105582217797
ACH-000169,-0.141940937903
ACH-000178,-0.0373054147245
ACH-000182,-0.149706687856
ACH-000183,-0.119515094592
ACH-000188,-0.282668020209
ACH-000189,-0.104587025746
ACH-000190,-0.0137032260499
ACH-000198,-0.149799924968
ACH-000204,-0.23422741094799998
ACH-000206,-0.18916953494600003
ACH-000207,-0.34179090802
ACH-000211,0.0343203318323
ACH-000215,-0.17430957062199998
ACH-000221,-0.09825814666619999
ACH-000222,-0.136250639023
ACH-000223,-0.352644504335
ACH-000226,-0.452738688768
ACH-000227,-0.0023023347785200003
ACH-000228,-0.567202608829
ACH-000231,-0.222918506696
ACH-000232,-0.235080551245
ACH-000233,-0.114884822139
ACH-000234,-0.31427871232500004
ACH-000235,-0.18390774090300002
ACH-000237,-0.165796048104
ACH-000238,-0.0827325192447
ACH-000243,-0.7088199766050001
ACH-000244,-0.014940054432200001
ACH-000246,-0.185582843624
ACH-000248,-0.18272063784
ACH-000250,-0.37828674927199996
ACH-000251,-0.558990517931
ACH-000253,-0.0546470209322
ACH-000255,-0.225627123594
ACH-000256,-0.08660176301760002
ACH-000257,-0.186491033446
ACH-000258,0.019202885942299998
ACH-000259,-0.027111784930000004
ACH-000260,-0.269130729799
ACH-000261,-0.22430575198199998
ACH-000262,-0.202385971758
ACH-000263,0.104039371751
ACH-000264,-0.20731649900199997
ACH-000265,-0.408331859779
ACH-000266,-0.347983624203
ACH-000272,-0.09152404786530001
ACH-000273,-0.179389699113
ACH-000274,-0.0921148077556
ACH-000277,0.038291511735400005
ACH-000278,-0.36215187611199995
ACH-000279,-0.312434805535
ACH-000280,0.0672794157358
ACH-000281,-0.478215483618
ACH-000288,-0.07511451980480001
ACH-000291,-0.292967409014
ACH-000293,-0.400328243596
ACH-000294,-0.346223110796
ACH-000295,0.0089398673863
ACH-000296,-0.365184350761
ACH-000302,-0.07550383524
ACH-000304,-0.16731112740700002
ACH-000307,-0.810820514794
ACH-000308,-0.166364983163
ACH-000310,-0.20083021610399998
ACH-000311,-0.0977609463054
ACH-000312,-0.09438937624289999
ACH-000315,-0.42826428109
ACH-000316,-0.160716353675
ACH-000317,-0.09256006909719999
ACH-000318,-0.308696879845
ACH-000319,0.0363492425657
ACH-000320,-0.400420391329
ACH-000322,-0.07040750940280001
ACH-000323,-0.469968756744
ACH-000324,0.00763970478488
ACH-000329,-0.06621491206730001
ACH-000330,-0.14729690266200002
ACH-000331,-0.219057043453
ACH-000332,-0.203703533874
