,MMAB (326625)
ACH-000004,-0.23649966859000002
ACH-000007,-0.46168893342600004
ACH-000009,-0.324214635567
ACH-000011,-0.416239611041
ACH-000012,-0.36235386637199996
ACH-000013,-0.17589215747200002
ACH-000014,-0.157059799423
ACH-000015,-0.329568319767
ACH-000017,-0.348172638519
ACH-000018,-0.276364887444
ACH-000019,-0.045546131549500005
ACH-000021,-0.545997340998
ACH-000022,-0.276238384402
ACH-000025,-0.32436896413000005
ACH-000028,-0.295497436844
ACH-000030,-0.176928153703
ACH-000035,-0.30415551745
ACH-000036,-0.24514396987599998
ACH-000037,-0.45968193876100005
ACH-000039,0.0787180704871
ACH-000040,-0.355568445045
ACH-000041,-0.475576554653
ACH-000042,-0.343686545269
ACH-000045,-0.393892399362
ACH-000047,-0.20677558632800003
ACH-000052,0.0342650166487
ACH-000053,-0.22024430904199999
ACH-000054,-0.470717116388
ACH-000055,-0.0770409113413
ACH-000060,-0.39102318916100004
ACH-000067,-0.138614915283
ACH-000070,-0.29337795071999995
ACH-000075,-0.301202045961
ACH-000078,-0.305879987513
ACH-000082,-0.26703536377099996
ACH-000085,-0.534784025848
ACH-000086,-0.42428572519599994
ACH-000087,-0.302830787872
ACH-000092,-0.30839906505
ACH-000095,-0.414392606442
ACH-000097,-0.250875823191
ACH-000098,-0.36482089615999996
ACH-000099,-0.253015798124
ACH-000108,-0.17636132624
ACH-000113,-0.20581603363499998
ACH-000115,-0.6830648492329999
ACH-000116,-0.296873974024
ACH-000118,-0.263493871957
ACH-000120,-0.308191775364
ACH-000123,-0.44620000552
ACH-000127,-0.332850321083
ACH-000128,-0.43682843559100004
ACH-000132,-0.19266759326699998
ACH-000133,-0.343672788018
ACH-000137,-0.0889848473223
ACH-000138,-0.451839075589
ACH-000142,-0.327287269232
ACH-000143,-0.39300085962
ACH-000146,-0.16355867086200002
ACH-000148,-0.30930261292399996
ACH-000150,-0.35795258443800004
ACH-000152,-0.389832968798
ACH-000153,-0.195080962715
ACH-000159,-0.209347168761
ACH-000160,-0.365399051474
ACH-000163,-0.502072111051
ACH-000167,-0.32239358367300003
ACH-000168,-0.275913932202
ACH-000169,-0.465835155208
ACH-000178,-0.315561128931
ACH-000182,-0.276543717814
ACH-000183,-0.433005269739
ACH-000188,-0.103697100465
ACH-000189,-0.19263661747900002
ACH-000190,-0.08054997620939999
ACH-000198,-0.43927106043700004
ACH-000204,-0.37675356751100003
ACH-000206,-0.0422786685071
ACH-000207,0.11708353050300001
ACH-000211,-0.456547960599
ACH-000215,-0.46154305946400004
ACH-000221,-0.0752986095515
ACH-000222,-0.15748043768
ACH-000223,-0.23984210516600002
ACH-000226,-0.290121231358
ACH-000227,-0.45884069286799994
ACH-000228,-0.398420954882
ACH-000231,-0.35754929674400004
ACH-000232,-0.35321631061700004
ACH-000233,-0.40258418721
ACH-000234,-0.487181951425
ACH-000235,-0.32384360887200003
ACH-000237,-0.375121502536
ACH-000238,-0.414663699055
ACH-000243,-0.157791109569
ACH-000244,-0.229608377689
ACH-000246,-0.255408838233
ACH-000248,-0.0712357049954
ACH-000250,-0.363268627222
ACH-000251,-0.46115852999799994
ACH-000253,-0.20938231447500003
ACH-000255,-0.17253665616799999
ACH-000256,-0.393958479097
ACH-000257,0.18709704352499998
ACH-000258,-0.20812209641399998
ACH-000259,-0.45529124772699997
ACH-000260,-0.21542239069699998
ACH-000261,-0.48004903937
ACH-000262,-0.341067190459
ACH-000263,-0.521921936939
ACH-000264,-0.218462590089
ACH-000265,-0.286656060473
ACH-000266,-0.263317648038
ACH-000272,-0.243952151154
ACH-000273,-0.278770340628
ACH-000274,-0.31647259538600003
ACH-000277,-0.324907454556
ACH-000278,-0.655777770818
ACH-000279,-0.474183598288
ACH-000280,-0.166326533231
ACH-000281,-0.497301710086
ACH-000288,-0.37203297464199997
ACH-000291,-0.238323141725
ACH-000293,-0.18567255729200002
ACH-000294,-0.118978804619
ACH-000295,-0.240860513545
ACH-000296,-0.508160738989
ACH-000302,-0.305086194757
ACH-000304,-0.239692866076
ACH-000307,-0.17005930272300002
ACH-000308,-0.385197043525
ACH-000310,-0.41626841690099997
ACH-000311,-0.624855265031
ACH-000312,-0.311663514686
ACH-000315,-0.178200006613
ACH-000316,-0.041781091902
ACH-000317,-0.151048617781
ACH-000318,-0.261256732
ACH-000319,-0.09277239629079999
ACH-000320,-0.37444446122100006
