,FARS2 (10667)
ACH-000004,-1.06146857697
ACH-000007,-0.7931717452760001
ACH-000009,-0.654286733999
ACH-000011,-0.35036924648699996
ACH-000012,-1.05767957073
ACH-000013,-0.729520675762
ACH-000014,-0.609817197023
ACH-000015,-0.865209936154
ACH-000017,-0.652887638809
ACH-000018,-1.18372819725
ACH-000019,-1.0417275888700002
ACH-000021,-0.501742758886
ACH-000022,-0.849925984813
ACH-000025,-0.9316429754790001
ACH-000028,-0.9957749053849999
ACH-000030,-0.737655891101
ACH-000035,-1.0115421193
ACH-000036,-0.26530165158700003
ACH-000037,-0.738649354658
ACH-000039,-0.765941739985
ACH-000040,-0.44022479906
ACH-000041,-0.879970221541
ACH-000042,-0.531976459247
ACH-000045,-0.701044827164
ACH-000047,-0.842871140695
ACH-000052,-0.698105136171
ACH-000053,-0.466169325296
ACH-000054,-0.790370492261
ACH-000055,-0.595934034084
ACH-000060,-0.621033569903
ACH-000067,-0.945870812911
ACH-000070,-0.645423391108
ACH-000075,-0.322331477257
ACH-000078,-0.753847049724
ACH-000082,-0.6986323577500001
ACH-000085,-0.931887700494
ACH-000086,-1.0741862985500001
ACH-000087,-0.651612968986
ACH-000092,-0.411450330835
ACH-000095,-0.402728108665
ACH-000097,-0.6712334464759999
ACH-000098,-0.581282235241
ACH-000099,-0.801365103451
ACH-000108,-0.35718729341300004
ACH-000113,-0.706013797697
ACH-000115,-0.6952260208869999
ACH-000116,-0.70158269073
ACH-000118,-0.959339390598
ACH-000120,-0.6045634332240001
ACH-000123,-0.75898416537
ACH-000127,-0.900782715033
ACH-000128,-0.7993131666050001
ACH-000132,-0.536385044957
ACH-000133,-0.697477936313
ACH-000137,-0.482283203389
ACH-000138,-0.5514237536609999
ACH-000142,-0.426587520542
ACH-000143,-0.77874426212
ACH-000146,-1.0850117022799999
ACH-000148,-0.546094821177
ACH-000150,-0.900555430263
ACH-000152,-0.516218995659
ACH-000153,-1.0230838690200001
ACH-000159,-0.8157254929250001
ACH-000160,-0.7989808924349999
ACH-000163,-0.540717523432
ACH-000167,-0.720850832486
ACH-000168,-0.626341069254
ACH-000169,-0.7189540139399999
ACH-000178,-0.566278764499
ACH-000182,-1.41869785787
ACH-000183,-0.890979262197
ACH-000188,-0.511706058205
ACH-000189,-0.611779577896
ACH-000190,-0.8358470233740001
ACH-000198,-0.595035286492
ACH-000204,-0.5639603127480001
ACH-000206,-0.418035290106
ACH-000207,-0.979267697866
ACH-000211,-0.48573038506800004
ACH-000215,-0.770733643794
ACH-000221,-1.24988929484
ACH-000222,-0.563494066065
ACH-000223,-0.587089719781
ACH-000226,-0.567842076395
ACH-000227,-0.669846137364
ACH-000228,-0.756602872626
ACH-000231,-0.824398442859
ACH-000232,-0.631868225927
ACH-000233,-0.843665788819
ACH-000234,-0.589604991922
ACH-000235,-0.64033647367
ACH-000237,-0.41158484614
ACH-000238,-0.8123930356229999
ACH-000243,-0.41076481149599997
ACH-000244,-0.531157832626
ACH-000246,-0.9743402989759999
ACH-000248,-1.05631134887
ACH-000250,-0.294753005828
ACH-000251,-0.471845523251
ACH-000253,-0.53002040588
ACH-000255,-0.492136669511
ACH-000256,-0.47863851475100005
ACH-000257,-0.7629803357899999
ACH-000258,-0.840030303379
ACH-000259,-0.821611832626
ACH-000260,-0.497448437724
ACH-000261,-0.452001972699
ACH-000262,-0.7166217731460001
ACH-000263,-0.850146237852
ACH-000264,-0.52273848128
ACH-000265,-0.879602658141
ACH-000266,-0.366640450173
ACH-000272,-0.46584774093000003
ACH-000273,-0.8515913509209999
ACH-000274,-0.486610691947
ACH-000277,-0.9454241198190001
ACH-000278,-0.317268848009
ACH-000279,-1.26243702192
ACH-000280,-0.7723097461280001
ACH-000281,-1.05299149494
ACH-000288,-0.9819087995419999
ACH-000291,-0.549204497676
ACH-000293,-0.714606553126
ACH-000294,-0.932022918184
ACH-000295,-0.815179283803
ACH-000296,-0.7911258418709999
ACH-000302,-0.715459761557
ACH-000304,-0.913635533698
ACH-000307,-0.757127206593
ACH-000308,-0.749962492175
ACH-000310,-0.578598708652
ACH-000311,-0.421530920169
ACH-000312,-0.945281195923
ACH-000315,-1.02934867267
ACH-000316,-0.718401473767
ACH-000317,-1.51686494387
ACH-000318,-0.679273047231
ACH-000319,-0.383070628287
ACH-000320,-0.77176294508
ACH-000322,-0.668392810381
ACH-000323,-0.825265102669
ACH-000324,-0.780842375542
ACH-000329,-0.732192308203
ACH-000330,-0.861632444791
ACH-000331,-0.7735084845379999
ACH-000332,-0.23212710940200001
ACH-000334,-0.869468812355
ACH-000335,-0.760039197121
ACH-000336,-0.956366915094
ACH-000337,-0.6782965150579999
ACH-000339,-0.709923553116
ACH-000341,-0.622658092708
ACH-000348,-0.572655586734
ACH-000350,-0.568796068551
ACH-000352,-0.6462398822950001
ACH-000356,-0.791702109274
ACH-000361,-0.8252986966500001
ACH-000362,-0.610562478431
ACH-000363,-0.614457891326
ACH-000364,-0.8755871486419999
ACH-000365,-0.935060338707
ACH-000366,-0.716993978149
ACH-000368,-0.665489386348
ACH-000374,-1.3704969173800001
ACH-000375,-0.751418313208
ACH-000376,-1.10247902619
ACH-000381,-0.9595628670849999
ACH-000383,-0.840204058898
ACH-000387,-0.974818195378
ACH-000389,-0.28589223591699997
ACH-000390,-0.7843006435609999
ACH-000393,-0.462697522066
ACH-000395,-0.390028169499
ACH-000397,-0.329584823876
ACH-000401,-0.849151314621
ACH-000402,-1.02262281531
ACH-000403,-0.595140966875
ACH-000404,-0.851162021628
ACH-000406,-1.0146945789200001
ACH-000407,-0.59874545361
ACH-000408,-0.827852212121
ACH-000410,-0.8570673813259999
ACH-000411,-0.357290535467
ACH-000414,-0.667314085726
ACH-000415,-0.64145496426
ACH-000416,-0.5500844106580001
ACH-000420,-0.40872528368100003
ACH-000421,-0.48922244839400003
ACH-000424,-0.888501998137
ACH-000425,-0.6723408853049999
ACH-000426,-0.38849316032799996
ACH-000427,-0.884876096264
ACH-000433,-0.597873114708
ACH-000436,-0.44368187342
ACH-000444,-0.75175941366
ACH-000445,-0.646511900296
ACH-000448,-0.367607229242
ACH-000450,-0.5993995572909999
ACH-000452,-0.638156331785
ACH-000454,-1.4558321166
ACH-000458,-0.940254806493
ACH-000459,-1.62634656834
ACH-000460,-0.822390303226
ACH-000461,-0.8913419058740001
ACH-000463,-0.466326298345
ACH-000464,-0.374399315162
ACH-000466,-0.7838628746349999
ACH-000467,-0.983158386974
